subject,predicate,object,source_span
Cassava-cowpea and Cassava-peanut intercropping,influence on leaf area index,not well known,"Little is known about the influence of intercropping on leaf area index, dry matter production, or partitioning of dry matter to the harvestable plant part."
Cassava-cowpea and Cassava-peanut intercropping,influence on dry matter production,not well known,"Little is known about the influence of intercropping on leaf area index, dry matter production, or partitioning of dry matter to the harvestable plant part."
Cassava-cowpea and Cassava-peanut intercropping,influence on dry matter partitioning,not well known,"Little is known about the influence of intercropping on leaf area index, dry matter production, or partitioning of dry matter to the harvestable plant part."
Intercropping systems,often result in,better land use efficiencies than sole cropping systems,"INTERCROPPING systems often result in better land use efficiencies than do sole cropping systems, which usually is associated with greater production of total dry matter by the intercropping system (Natarajan and Willey, 1980a, 1980b; Sivakumar and Virmani, 1980)."
Cassava-cowpea and Cassava-peanut intercropping systems,produced,greater land use efficiencies than sole cropping systems,"Previous studies have reported cassava (Manihot esculenta Crantz)-cowpea [Vigna unguiculata (L.) Walp] and cassva-peanut (Arachis hypogaea L.) intercrop
ping systems produced greater land use efficiencies than do sole cropping systems of the same species (CIAT, 1979; Leihner, 1983; Mason et al., 1986)."
Intercropping systems,produced LAI's,0.6 to 1.9 greater than cassava sole cropping system between 30 and 65 DAP,"Between 30 and 65 days after planting (DAP), the intercropping systems produced LAI's 0.6 to 1.9 greater than those produced in the cassava sole cropping system."
Intercropping systems,produced LAI's,0.8 to 1.0 lower than sole cropped cassava at 150 DAP in 1981,"In 1981, the intercropping systems produced LAI's that were 0.8 to 1.0 lower than those of sole cropped cassava 150 DAP."
Cassava-cowpea and Cassava-peanut intercropping systems,produced,42 to 250 g m^-2 more dry matter than sole cropped cassava between 50 and 105 DAP,The cassava-cowpea and cassava-peanut intercropping systems produced 42 to $250	extrm{g}	extrm{m}^{-2}$ more dry matter than did the sole cropped cassava between 50 and 105 DAP.
Dry matter production at end of growing season,was similar for,intercropping systems and sole cropped cassava,"However, dry matter production at the end of the 11-month growing season was similar for intercropping systems and sole cropped cassava."
Intercropping with peanut in 1982,associated with,reduction in cassava LAI of 0.8 and production of 4.4 fewer storage roots per plant,"In this case, a reduction in LAI of 0.8 was associated with production of 4.4 fewer storage roots per plant."
Cowpea and peanut,were able to use,space between rows of cassava during the first 100 DAP with minimal effect on cassava growth,These data indicate that rapidly growing cowpea and peanut were able to use space between rows of cassava during the first 100 DAP with minimal effect on cassava growth.
Cassava-cowpea intercropping system,LAI was similar to,cowpea sole cropping system at certain growth stages,"In Exp. I, the LAI of the cassava-cowpea intercropping system was similar to that of the cowpea sole cropping system, while the LAI of sole cropped cassava was lower at 50 DAP both years and at 65 DAP in 1982 (Fig. 1)."
Sole cropped cassava,had lower LAI than,cassava-cowpea intercropping system at 50 DAP and 65 DAP in 1982,"In Exp. I, the LAI of the cassava-cowpea intercropping system was similar to that of the cowpea sole cropping system, while the LAI of sole cropped cassava was lower at 50 DAP both years and at 65 DAP in 1982 (Fig. 1)."
Cassava-cowpea intercropping system and cassava sole cropping system,had greater LAI than,sole cropped cowpeas by 80 DAP,"By 80 DAP, the LAI's of both the cassava-cowpea intercropping system and the cassava sole cropping system were similar, but were greater than that of sole cropped cowpeas both years."
Sole cropped cassava,reached LAI of,3.7 at 150 DAP in 1981,"In 1981 at 150 DAP (approximately 70 days after cowpea physiological maturity), LAI of the sole cropped cassava reached 3.7, which was greater than the LAI of 2.0 to 3.0 needed for maximum storage root growth (CIAT, 1976; Irikura et al., 1979; Cock et al., 1979)."
Intercropped cassava,had LAI of,3.0 at 150 DAP in 1981,"The LAI of 3.0 for intercropped cassava was lower than that of sole cropped cassava, but within the desired range for storage root growth."
Cassava-cowpea intercropping system,produced,"120 to 250 g m^-2 more dry matter than sole cropped cassava at 50, 65, and 80 DAP in 1981","However, both of these systems produced 120 to $250	extrm{g}	extrm{m}^{-2}$ more dry matter than the sole cropped cassava at 50, 65, and 80 DAP in 1981 and 42 to $90	extrm{g}	extrm{m}^{-2}$ more dry matter in 1982."
Cassava-cowpea intercropping system,produced,"42 to 90 g m^-2 more dry matter than sole cropped cassava at 50, 65, and 80 DAP in 1982","However, both of these systems produced 120 to $250	extrm{g}	extrm{m}^{-2}$ more dry matter than the sole cropped cassava at 50, 65, and 80 DAP in 1981 and 42 to $90	extrm{g}	extrm{m}^{-2}$ more dry matter in 1982."
Cassava-cowpea intercropping system and cassava sole cropping system,had similar dry matter production,at later dates,"At later dates, dry matter produced by the cassava-cowpea intercropping system and cassava sole cropping system was similar."
Intercropping with cowpea,did not influence,cassava total plant or storage root dry matter accumulation at final harvest,Intercropping did not influence cassava total plant or storage root dry matter accumulation at final harvest except when intercropped with peanut in 1982.
