Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,Lat,Lon,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,P input SC1,P input SC2,P input IC1,P input IC2,P total in IC,P Unit,K input SC1,K input SC2,K input IC1,K input IC2,K total in IC,K Unit,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit
2003-2005,2 growing seasons,Completely Randomized Block Design,Last week of November,,Mid May,,40.535922,22.985047,Wheat,,cereal,,,,,448 seeds m-2,,80,,,,,kg N ha-1,40,,,,,kg P2O5 ha-1,,,,,,,Table 1,30.49,,,,Mg ha-1
2003-2005,2 growing seasons,Completely Randomized Block Design,Last week of November,,Mid May,,40.535922,22.985047,Triticale,,cereal,,,,,459 seeds m-2,,80,,,,,kg N ha-1,40,,,,,kg P2O5 ha-1,,,,,,,Table 1,30.74,,,,Mg ha-1
2003-2005,2 growing seasons,Completely Randomized Block Design,Last week of November,,Mid May,,40.535922,22.985047,Barley,,cereal,,,,,455 seeds m-2,,80,,,,,kg N ha-1,40,,,,,kg P2O5 ha-1,,,,,,,Table 1,30.09,,,,Mg ha-1
2003-2005,2 growing seasons,Completely Randomized Block Design,Last week of November,,Mid May,,40.535922,22.985047,Oat,,cereal,,,,,455 seeds m-2,,80,,,,,kg N ha-1,40,,,,,kg P2O5 ha-1,,,,,,,Table 1,33.23,,,,Mg ha-1
2003-2005,2 growing seasons,Completely Randomized Block Design,Last week of November,,Mid May,,40.535922,22.985047,Common vetch,,legume,,,,,314 seeds m-2,,80,,,,,kg N ha-1,40,,,,,kg P2O5 ha-1,,,,,,,Table 1,20.49,,,,Mg ha-1
2003-2005,2 growing seasons,Completely Randomized Block Design,Last week of November,Last week of November,Mid May,Mid May,40.535922,22.985047,Common vetch,Wheat,legume,cereal,Mixed,198 seeds m-2,162 seeds m-2,314 seeds m-2,448 seeds m-2,80,80,80,80,80,kg N ha-1,40,40,40,40,40,kg P2O5 ha-1,,,,,,,Table 1,20.49,30.49,12.28,13.29,Mg ha-1
2003-2005,2 growing seasons,Completely Randomized Block Design,Last week of November,Last week of November,Mid May,Mid May,40.535922,22.985047,Common vetch,Wheat,legume,cereal,Mixed,234 seeds m-2,126 seeds m-2,314 seeds m-2,448 seeds m-2,80,80,80,80,80,kg N ha-1,40,40,40,40,40,kg P2O5 ha-1,,,,,,,Table 1,20.49,30.49,8.28,12.78,Mg ha-1
2003-2005,2 growing seasons,Completely Randomized Block Design,Last week of November,Last week of November,Mid May,Mid May,40.535922,22.985047,Common vetch,Triticale,legume,cereal,Mixed,198 seeds m-2,162 seeds m-2,314 seeds m-2,459 seeds m-2,80,80,80,80,80,kg N ha-1,40,40,40,40,40,kg P2O5 ha-1,,,,,,,Table 1,20.49,30.74,12.57,9.43,Mg ha-1
2003-2005,2 growing seasons,Completely Randomized Block Design,Last week of November,Last week of November,Mid May,Mid May,40.535922,22.985047,Common vetch,Triticale,legume,cereal,Mixed,234 seeds m-2,126 seeds m-2,314 seeds m-2,459 seeds m-2,80,80,80,80,80,kg N ha-1,40,40,40,40,40,kg P2O5 ha-1,,,,,,,Table 1,20.49,30.74,8.31,13.81,Mg ha-1
2003-2005,2 growing seasons,Completely Randomized Block Design,Last week of November,Last week of November,Mid May,Mid May,40.535922,22.985047,Common vetch,Barley,legume,cereal,Mixed,198 seeds m-2,162 seeds m-2,314 seeds m-2,455 seeds m-2,80,80,80,80,80,kg N ha-1,40,40,40,40,40,kg P2O5 ha-1,,,,,,,Table 1,20.49,30.09,19.55,6.85,Mg ha-1
2003-2005,2 growing seasons,Completely Randomized Block Design,Last week of November,Last week of November,Mid May,Mid May,40.535922,22.985047,Common vetch,Barley,legume,cereal,Mixed,234 seeds m-2,126 seeds m-2,314 seeds m-2,455 seeds m-2,80,80,80,80,80,kg N ha-1,40,40,40,40,40,kg P2O5 ha-1,,,,,,,Table 1,20.49,30.09,13.18,9.88,Mg ha-1
2003-2005,2 growing seasons,Completely Randomized Block Design,Last week of November,Last week of November,Mid May,Mid May,40.535922,22.985047,Common vetch,Oat,legume,cereal,Mixed,198 seeds m-2,162 seeds m-2,314 seeds m-2,455 seeds m-2,80,80,80,80,80,kg N ha-1,40,40,40,40,40,kg P2O5 ha-1,,,,,,,Table 1,20.49,33.23,19.7,7.67,Mg ha-1
2003-2005,2 growing seasons,Completely Randomized Block Design,Last week of November,Last week of November,Mid May,Mid May,40.535922,22.985047,Common vetch,Oat,legume,cereal,Mixed,234 seeds m-2,126 seeds m-2,314 seeds m-2,455 seeds m-2,80,80,80,80,80,kg N ha-1,40,40,40,40,40,kg P2O5 ha-1,,,,,,,Table 1,20.49,33.23,14.37,11.97,Mg ha-1
