Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,Lat,Lon,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,P input SC1,P input SC2,P input IC1,P input IC2,P total in IC,P Unit,K input SC1,K input SC2,K input IC1,K input IC2,K total in IC,K Unit,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit
"2003–2004, 2004–2005",2 growing seasons,completely randomized block with 13 treatments and 4 replications,within the last week of November of each growing season,within the last week of November of each growing season,about mid May of each year,about mid May of each year,40.536,22.985,wheat (cv. Yecora),,cereal,,,,,448 seeds m-2,,80,,,,,kg ha-1,40,,,,,kg P2O5 ha-1,,,,,,,Table 1,30.49,,,,Mg ha-1
"2003–2004, 2004–2005",2 growing seasons,completely randomized block with 13 treatments and 4 replications,within the last week of November of each growing season,within the last week of November of each growing season,about mid May of each year,about mid May of each year,40.536,22.985,common vetch (cv. Melissa),wheat (cv. Yecora),legume,cereal,Mixed,198 seeds m-2,162 seeds m-2,,,,,,,80,kg ha-1,,,,,40,kg P2O5 ha-1,,,,,,,Table 1,,,13.29,12.28,Mg ha-1
"2003–2004, 2004–2005",2 growing seasons,completely randomized block with 13 treatments and 4 replications,within the last week of November of each growing season,within the last week of November of each growing season,about mid May of each year,about mid May of each year,40.536,22.985,common vetch (cv. Melissa),wheat (cv. Yecora),legume,cereal,Mixed,234 seeds m-2,126 seeds m-2,,,,,,,80,kg ha-1,,,,,40,kg P2O5 ha-1,,,,,,,Table 1,,,12.78,8.28,Mg ha-1
"2003–2004, 2004–2005",2 growing seasons,completely randomized block with 13 treatments and 4 replications,within the last week of November of each growing season,within the last week of November of each growing season,about mid May of each year,about mid May of each year,40.536,22.985,triticale (cv. Thisvi),,cereal,,,,,459 seeds m-2,,80,,,,,kg ha-1,40,,,,,kg P2O5 ha-1,,,,,,,Table 1,30.74,,,,Mg ha-1
"2003–2004, 2004–2005",2 growing seasons,completely randomized block with 13 treatments and 4 replications,within the last week of November of each growing season,within the last week of November of each growing season,about mid May of each year,about mid May of each year,40.536,22.985,common vetch (cv. Melissa),triticale (cv. Thisvi),legume,cereal,Mixed,198 seeds m-2,162 seeds m-2,,,,,,,80,kg ha-1,,,,,40,kg P2O5 ha-1,,,,,,,Table 1,,,9.43,12.57,Mg ha-1
"2003–2004, 2004–2005",2 growing seasons,completely randomized block with 13 treatments and 4 replications,within the last week of November of each growing season,within the last week of November of each growing season,about mid May of each year,about mid May of each year,40.536,22.985,common vetch (cv. Melissa),triticale (cv. Thisvi),legume,cereal,Mixed,234 seeds m-2,126 seeds m-2,,,,,,,80,kg ha-1,,,,,40,kg P2O5 ha-1,,,,,,,Table 1,,,13.81,8.31,Mg ha-1
"2003–2004, 2004–2005",2 growing seasons,completely randomized block with 13 treatments and 4 replications,within the last week of November of each growing season,within the last week of November of each growing season,about mid May of each year,about mid May of each year,40.536,22.985,barley (cv. Thessaloniki),,cereal,,,,,455 seeds m-2,,80,,,,,kg ha-1,40,,,,,kg P2O5 ha-1,,,,,,,Table 1,30.09,,,,Mg ha-1
"2003–2004, 2004–2005",2 growing seasons,completely randomized block with 13 treatments and 4 replications,within the last week of November of each growing season,within the last week of November of each growing season,about mid May of each year,about mid May of each year,40.536,22.985,common vetch (cv. Melissa),barley (cv. Thessaloniki),legume,cereal,Mixed,198 seeds m-2,162 seeds m-2,,,,,,,80,kg ha-1,,,,,40,kg P2O5 ha-1,,,,,,,Table 1,,,6.85,19.55,Mg ha-1
"2003–2004, 2004–2005",2 growing seasons,completely randomized block with 13 treatments and 4 replications,within the last week of November of each growing season,within the last week of November of each growing season,about mid May of each year,about mid May of each year,40.536,22.985,common vetch (cv. Melissa),barley (cv. Thessaloniki),legume,cereal,Mixed,234 seeds m-2,126 seeds m-2,,,,,,,80,kg ha-1,,,,,40,kg P2O5 ha-1,,,,,,,Table 1,,,9.88,13.18,Mg ha-1
"2003–2004, 2004–2005",2 growing seasons,completely randomized block with 13 treatments and 4 replications,within the last week of November of each growing season,within the last week of November of each growing season,about mid May of each year,about mid May of each year,40.536,22.985,oat (cv. Pallini),,cereal,,,,,455 seeds m-2,,80,,,,,kg ha-1,40,,,,,kg P2O5 ha-1,,,,,,,Table 1,33.23,,,,Mg ha-1
"2003–2004, 2004–2005",2 growing seasons,completely randomized block with 13 treatments and 4 replications,within the last week of November of each growing season,within the last week of November of each growing season,about mid May of each year,about mid May of each year,40.536,22.985,common vetch (cv. Melissa),oat (cv. Pallini),legume,cereal,Mixed,198 seeds m-2,162 seeds m-2,,,,,,,80,kg ha-1,,,,,40,kg P2O5 ha-1,,,,,,,Table 1,,,7.67,19.7,Mg ha-1
"2003–2004, 2004–2005",2 growing seasons,completely randomized block with 13 treatments and 4 replications,within the last week of November of each growing season,within the last week of November of each growing season,about mid May of each year,about mid May of each year,40.536,22.985,common vetch (cv. Melissa),oat (cv. Pallini),legume,cereal,Mixed,234 seeds m-2,126 seeds m-2,,,,,,,80,kg ha-1,,,,,40,kg P2O5 ha-1,,,,,,,Table 1,,,11.97,14.37,Mg ha-1
"2003–2004, 2004–2005",2 growing seasons,completely randomized block with 13 treatments and 4 replications,within the last week of November of each growing season,within the last week of November of each growing season,about mid May of each year,about mid May of each year,40.536,22.985,common vetch (cv. Melissa),,legume,,,,,314 seeds m-2,,80,,,,,kg ha-1,40,,,,,kg P2O5 ha-1,,,,,,,Table 1,20.49,,,,Mg ha-1
