Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,Lat,Lon,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,P input SC1,P input SC2,P input IC1,P input IC2,P total in IC,P Unit,K input SC1,K input SC2,K input IC1,K input IC2,K total in IC,K Unit,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit
1997–1998,105 days,Completely randomized block design,First week of February,,105 days after sowing,,21.5167,70.6,Arachis hypogaea L.,,legume,,,,,300 x 10^3 ha^-1,,25,,,,,kg N ha−1,50,,,,,kg P2O5 ha−1,30,,,,,kg K2O ha−1,Table 2,2.43,,,,t ha−1
1997–1998,50 days (first cut),Completely randomized block design,,First week of February,,50 days after sowing,21.5167,70.6,,Zea mays L.,,cereal,,,,,50 x 10^3 ha^-1,,60,,,,kg N ha−1,,40,,,,kg P2O5 ha−1,,30,,,,kg K2O ha−1,Table 1,,10.25,,,t ha−1
1997–1998,50 days (first cut),Completely randomized block design,,First week of February,,50 days after sowing,21.5167,70.6,,Sorghum bicolor (L.) Moench,,cereal,,,,,50 x 10^3 ha^-1,,60,,,,kg N ha−1,,40,,,,kg P2O5 ha−1,,30,,,,kg K2O ha−1,Table 1,,9.10,,,t ha−1
1997–1998,50 days (first cut),Completely randomized block design,,First week of February,,50 days after sowing,21.5167,70.6,,Pennisetum glaucum L.,,cereal,,,,,50 x 10^3 ha^-1,,60,,,,kg N ha−1,,40,,,,kg P2O5 ha−1,,30,,,,kg K2O ha−1,Table 1,,12.60,,,t ha−1
1997–1998,95 days (second cut),Completely randomized block design,,First week of February,,95 days after sowing,21.5167,70.6,,Sorghum bicolor (L.) Moench,,cereal,,,,,50 x 10^3 ha^-1,,80,,,,kg N ha−1,,40,,,,kg P2O5 ha−1,,30,,,,kg K2O ha−1,Table 1,,14.96,,,t ha−1
1997–1998,95 days (second cut),Completely randomized block design,,First week of February,,95 days after sowing,21.5167,70.6,,Pennisetum glaucum L.,,cereal,,,,,50 x 10^3 ha^-1,,80,,,,kg N ha−1,,40,,,,kg P2O5 ha−1,,30,,,,kg K2O ha−1,Table 1,,17.72,,,t ha−1
1997–1998,105 days,Completely randomized block design,First week of February,First week of February,105 days after sowing,50 days after sowing,21.5167,70.6,Arachis hypogaea L.,Zea mays L.,legume,cereal,Row,,,300 x 10^3 ha^-1,50 x 10^3 ha^-1,25,60,25,60,85,kg N ha−1,50,40,50,40,90,kg P2O5 ha−1,30,30,30,30,60,kg K2O ha−1,"Table 1, Table 2",,,2.29,9.00,t ha−1
1997–1998,105 days,Completely randomized block design,First week of February,First week of February,105 days after sowing,50 days after sowing,21.5167,70.6,Arachis hypogaea L.,Sorghum bicolor (L.) Moench,legume,cereal,Row,,,300 x 10^3 ha^-1,50 x 10^3 ha^-1,25,60,25,60,85,kg N ha−1,50,40,50,40,90,kg P2O5 ha−1,30,30,30,30,60,kg K2O ha−1,"Table 1, Table 2",,,2.20,7.98,t ha−1
1997–1998,105 days,Completely randomized block design,First week of February,First week of February,105 days after sowing,50 days after sowing,21.5167,70.6,Arachis hypogaea L.,Pennisetum glaucum L.,legume,cereal,Row,,,300 x 10^3 ha^-1,50 x 10^3 ha^-1,25,60,25,60,85,kg N ha−1,50,40,50,40,90,kg P2O5 ha−1,30,30,30,30,60,kg K2O ha−1,"Table 1, Table 2",,,2.19,11.81,t ha−1
1997–1998,105 days,Completely randomized block design,First week of February,First week of February,105 days after sowing,95 days after sowing,21.5167,70.6,Arachis hypogaea L.,Sorghum bicolor (L.) Moench,legume,cereal,Row,,,300 x 10^3 ha^-1,50 x 10^3 ha^-1,25,60,25,80,105,kg N ha−1,50,40,50,40,90,kg P2O5 ha−1,30,30,30,30,60,kg K2O ha−1,"Table 1, Table 2",,,2.04,10.80,t ha−1
1997–1998,105 days,Completely randomized block design,First week of February,First week of February,105 days after sowing,95 days after sowing,21.5167,70.6,Arachis hypogaea L.,Pennisetum glaucum L.,legume,cereal,Row,,,300 x 10^3 ha^-1,50 x 10^3 ha^-1,25,60,25,80,105,kg N ha−1,50,40,50,40,90,kg P2O5 ha−1,30,30,30,30,60,kg K2O ha−1,"Table 1, Table 2",,,2.01,16.50,t ha−1
