paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,11,direct_llm,"Andersen 2004 Biomass production, symbiotic nitrogen fixation and inorganic N use",2000,112 days,Randomized split-plot design,27 April 2000,27 April 2000,,,,55.6667,12.3,Europe,Pea,Barley,legume,cereal,0,0,Row,42,172,75,312,,0.5,0.5,,,0.5,g N m-2,4,4,4,4,Table 2,394,210,,,g DM m-2,,,
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,11,direct_llm,"Andersen 2004 Biomass production, symbiotic nitrogen fixation and inorganic N use",2000,112 days,Randomized split-plot design,27 April 2000,27 April 2000,,,,55.6667,12.3,Europe,Pea,Barley,legume,cereal,0,0,Row,42,172,75,312,,4.0,4.0,,,4.0,g N m-2,4,4,4,4,Table 2,388,287,,,g DM m-2,,,
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,11,direct_llm,"Andersen 2004 Biomass production, symbiotic nitrogen fixation and inorganic N use",2000,112 days,Randomized split-plot design,27 April 2000,27 April 2000,,,,55.6667,12.3,Europe,Pea,Barley,legume,cereal,0,0,Row,42,172,75,312,,0.5,0.5,,,0.5,g N m-2,4,4,4,4,"Table 2, Table 3, Table 4",394,210,168.85,138.15,g DM m-2,,,
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,11,direct_llm,"Andersen 2004 Biomass production, symbiotic nitrogen fixation and inorganic N use",2000,112 days,Randomized split-plot design,27 April 2000,27 April 2000,,,,55.6667,12.3,Europe,Pea,Barley,legume,cereal,0,0,Row,42,172,75,312,,4.0,4.0,,,4.0,g N m-2,4,4,4,4,"Table 2, Table 3, Table 4",388,287,101.1,205.9,g DM m-2,,,
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,11,direct_llm,"Andersen 2004 Biomass production, symbiotic nitrogen fixation and inorganic N use",2000,112 days,Randomized split-plot design,27 April 2000,27 April 2000,,,,55.6667,12.3,Europe,Pea,Rape,legume,oilseed,0,0,Row,33,50,75,100,,0.5,0.5,,,0.5,g N m-2,4,4,4,4,Table 2,394,112,,,g DM m-2,,,
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,11,direct_llm,"Andersen 2004 Biomass production, symbiotic nitrogen fixation and inorganic N use",2000,112 days,Randomized split-plot design,27 April 2000,27 April 2000,,,,55.6667,12.3,Europe,Pea,Rape,legume,oilseed,0,0,Row,33,50,75,100,,4.0,4.0,,,4.0,g N m-2,4,4,4,4,Table 2,388,157,,,g DM m-2,,,
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,11,direct_llm,"Andersen 2004 Biomass production, symbiotic nitrogen fixation and inorganic N use",2000,112 days,Randomized split-plot design,27 April 2000,27 April 2000,,,,55.6667,12.3,Europe,Pea,Rape,legume,oilseed,0,0,Row,33,50,75,100,,0.5,0.5,,,0.5,g N m-2,4,4,4,4,"Table 2, Table 3, Table 4",394,112,164.58,29.42,g DM m-2,,,
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,11,direct_llm,"Andersen 2004 Biomass production, symbiotic nitrogen fixation and inorganic N use",2000,112 days,Randomized split-plot design,27 April 2000,27 April 2000,,,,55.6667,12.3,Europe,Pea,Rape,legume,oilseed,0,0,Row,33,50,75,100,,4.0,4.0,,,4.0,g N m-2,4,4,4,4,"Table 2, Table 3, Table 4",388,157,152.9,71.1,g DM m-2,,,
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,11,direct_llm,"Andersen 2004 Biomass production, symbiotic nitrogen fixation and inorganic N use",2000,112 days,Randomized split-plot design,27 April 2000,27 April 2000,,,,55.6667,12.3,Europe,Barley,Rape,cereal,oilseed,0,0,Row,167,43,312,100,,0.5,0.5,,,0.5,g N m-2,4,4,4,4,Table 2,210,112,,,g DM m-2,,,
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,11,direct_llm,"Andersen 2004 Biomass production, symbiotic nitrogen fixation and inorganic N use",2000,112 days,Randomized split-plot design,27 April 2000,27 April 2000,,,,55.6667,12.3,Europe,Barley,Rape,cereal,oilseed,0,0,Row,167,43,312,100,,4.0,4.0,,,4.0,g N m-2,4,4,4,4,Table 2,287,157,,,g DM m-2,,,
