paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
063_Mustsaers_1978_Mixed_cropping_experiements_with_ma,63,63,direct_llm,18. Mustsaers 1978 Mixed cropping experiements with maize and groudnuts,1975,Sep. - Dec. 1975,Split-plot design (RCBD with orientations as main units),26/8 - 28/8,26/8 - 28/8,29/12 - 31/12,17/12 - 24/12,,,,Africa,Maize,Groundnuts,cereal,legume,0,0,Row,13889,250000,41666,250000,,0,0,0,0,0,kg N ha-1,6,6,6,6,"Table 3a, Table 3b, Fig 2",,,,,,,,
063_Mustsaers_1978_Mixed_cropping_experiements_with_ma,63,63,direct_llm,18. Mustsaers 1978 Mixed cropping experiements with maize and groudnuts,1975,Sep. - Dec. 1975,Split-plot design (RCBD with orientations as main units),26/8 - 28/8,26/8 - 28/8,29/12 - 31/12,17/12 - 24/12,,,,Africa,Maize,Groundnuts,cereal,legume,0,0,Row,27778,250000,41666,250000,,0,0,0,0,0,kg N ha-1,6,6,6,6,"Table 3a, Table 3b, Fig 2",,,,,,,,
063_Mustsaers_1978_Mixed_cropping_experiements_with_ma,63,63,direct_llm,18. Mustsaers 1978 Mixed cropping experiements with maize and groudnuts,1975,Sep. - Dec. 1975,Split-plot design (RCBD with orientations as main units),26/8 - 28/8,26/8 - 28/8,29/12 - 31/12,17/12 - 24/12,,,,Africa,Maize,Groundnuts,cereal,legume,0,0,Row,13889,166667,41666,250000,,0,0,0,0,0,kg N ha-1,6,6,6,6,"Table 3a, Table 3b, Fig 2",,,,,,,,
063_Mustsaers_1978_Mixed_cropping_experiements_with_ma,63,63,direct_llm,18. Mustsaers 1978 Mixed cropping experiements with maize and groudnuts,1975,Sep. - Dec. 1975,Split-plot design (RCBD with orientations as main units),26/8 - 28/8,26/8 - 28/8,29/12 - 31/12,17/12 - 24/12,,,,Africa,Maize,Groundnuts,cereal,legume,0,0,Row,27778,83333,41666,250000,,0,0,0,0,0,kg N ha-1,6,6,6,6,"Table 3a, Table 3b, Fig 2",,,,,,,,
063_Mustsaers_1978_Mixed_cropping_experiements_with_ma,63,63,direct_llm,18. Mustsaers 1978 Mixed cropping experiements with maize and groudnuts,1976,Mar. - July 1976,Split-plot design (RCBD with orientations as main units),18/3 - 20/3,18/3 - 20/3,5/7 - 7/7,17/6 - 22/6,,,,Africa,Maize,Groundnuts,cereal,legume,0,0,Row,13889,250000,41666,250000,,0,0,0,0,0,kg N ha-1,6,6,6,6,"Table 4a, Table 4b, Fig 2",,,,,,,,
063_Mustsaers_1978_Mixed_cropping_experiements_with_ma,63,63,direct_llm,18. Mustsaers 1978 Mixed cropping experiements with maize and groudnuts,1976,Mar. - July 1976,Split-plot design (RCBD with orientations as main units),18/3 - 20/3,18/3 - 20/3,5/7 - 7/7,17/6 - 22/6,,,,Africa,Maize,Groundnuts,cereal,legume,0,0,Row,27778,250000,41666,250000,,0,0,0,0,0,kg N ha-1,6,6,6,6,"Table 4a, Table 4b, Fig 2",,,,,,,,
063_Mustsaers_1978_Mixed_cropping_experiements_with_ma,63,63,direct_llm,18. Mustsaers 1978 Mixed cropping experiements with maize and groudnuts,1976,Mar. - July 1976,Split-plot design (RCBD with orientations as main units),18/3 - 20/3,18/3 - 20/3,5/7 - 7/7,17/6 - 22/6,,,,Africa,Maize,Groundnuts,cereal,legume,0,0,Row,13889,166667,41666,250000,,0,0,0,0,0,kg N ha-1,6,6,6,6,"Table 4a, Table 4b, Fig 2",,,,,,,,
063_Mustsaers_1978_Mixed_cropping_experiements_with_ma,63,63,direct_llm,18. Mustsaers 1978 Mixed cropping experiements with maize and groudnuts,1976,Mar. - July 1976,Split-plot design (RCBD with orientations as main units),18/3 - 20/3,18/3 - 20/3,5/7 - 7/7,17/6 - 22/6,,,,Africa,Maize,Groundnuts,cereal,legume,0,0,Row,27778,83333,41666,250000,,0,0,0,0,0,kg N ha-1,6,6,6,6,"Table 4a, Table 4b, Fig 2",,,,,,,,
063_Mustsaers_1978_Mixed_cropping_experiements_with_ma,63,63,direct_llm,18. Mustsaers 1978 Mixed cropping experiements with maize and groudnuts,1976,Sep. - Dec. 1976,RCBD (4 replications),10/9 - 11/9,10/9 - 11/9,30/12 - 31/12,9/12 - 11/12,,,,Africa,Maize,Groundnuts,cereal,legume,0,0,Row,13889,250000,41666,250000,,0,0,0,0,0,kg N ha-1,4,4,4,4,Table 6,1380.6,613.9,769.5,417.0,kg/ha,,,1.53
063_Mustsaers_1978_Mixed_cropping_experiements_with_ma,63,63,direct_llm,18. Mustsaers 1978 Mixed cropping experiements with maize and groudnuts,1976,Sep. - Dec. 1976,RCBD (4 replications),10/9 - 11/9,10/9 - 11/9,30/12 - 31/12,9/12 - 11/12,,,,Africa,Maize,Groundnuts,cereal,legume,0,0,Row,27778,250000,41666,250000,,0,0,0,0,0,kg N ha-1,4,4,4,4,Table 6,1380.6,613.9,861.9,442.7,kg/ha,,,1.7
