paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
075_Prasad_et_al_1991_Pigeonpea_and_soybean_intercropp,75,75,static_workflow,33. Prasad et al 1991 Pigeonpea and soybean intercropping systems under rainfed situation,1986–1987,,randomized block design,first week of July,first week of July,27 December 1986; 30 December 1987,12 October 1986; 20 October 1987,,,,Asia,Pigeonpea,Soybean,legume,legume,0,0,Row,,,60,,,20,,,,,kg N ha−1,3,3,3,3,Table 2,1694,,,,kg/ha,,,1.0
075_Prasad_et_al_1991_Pigeonpea_and_soybean_intercropp,75,75,static_workflow,33. Prasad et al 1991 Pigeonpea and soybean intercropping systems under rainfed situation,1986–1987,,randomized block design,first week of July,first week of July,27 December 1986; 30 December 1987,12 October 1986; 20 October 1987,,,,Asia,Pigeonpea,Soybean,legume,legume,0,0,Row,,,30,,,20,,,,,kg N ha−1,3,3,3,3,Table 2,1811,,,,kg/ha,,,1.0
075_Prasad_et_al_1991_Pigeonpea_and_soybean_intercropp,75,75,static_workflow,33. Prasad et al 1991 Pigeonpea and soybean intercropping systems under rainfed situation,1986–1987,,randomized block design,first week of July,first week of July,27 December 1986; 30 December 1987,12 October 1986; 20 October 1987,,,,Asia,Pigeonpea,Soybean,legume,legume,0,0,Row,60,1,,,,,,20,20,20,kg N ha−1,3,3,3,3,Table 2,,,1707,1107,kg/ha,,,1.61
075_Prasad_et_al_1991_Pigeonpea_and_soybean_intercropp,75,75,static_workflow,33. Prasad et al 1991 Pigeonpea and soybean intercropping systems under rainfed situation,1986–1987,,randomized block design,first week of July,first week of July,27 December 1986; 30 December 1987,12 October 1986; 20 October 1987,,,,Asia,Pigeonpea,Soybean,legume,legume,0,0,Row,60,1,,,,,,20,20,20,kg N ha−1,3,3,3,3,Table 2,,,1747,1545,kg/ha,,,1.68
075_Prasad_et_al_1991_Pigeonpea_and_soybean_intercropp,75,75,static_workflow,33. Prasad et al 1991 Pigeonpea and soybean intercropping systems under rainfed situation,1986–1987,,randomized block design,first week of July,first week of July,27 December 1986; 30 December 1987,12 October 1986; 20 October 1987,,,,Asia,Pigeonpea,Soybean,legume,legume,0,0,Row,60,1,,,,,,20,20,20,kg N ha−1,3,3,3,3,Table 2,,,1534,1186,kg/ha,,,1.48
075_Prasad_et_al_1991_Pigeonpea_and_soybean_intercropp,75,75,static_workflow,33. Prasad et al 1991 Pigeonpea and soybean intercropping systems under rainfed situation,1986–1987,,randomized block design,first week of July,first week of July,27 December 1986; 30 December 1987,12 October 1986; 20 October 1987,,,,Asia,Pigeonpea,Soybean,legume,legume,0,0,Row,30,2,,,,,,20,20,20,kg N ha−1,3,3,3,3,Table 2,,,1534,964,kg/ha,,,1.37
075_Prasad_et_al_1991_Pigeonpea_and_soybean_intercropp,75,75,static_workflow,33. Prasad et al 1991 Pigeonpea and soybean intercropping systems under rainfed situation,1986–1987,,randomized block design,first week of July,first week of July,27 December 1986; 30 December 1987,12 October 1986; 20 October 1987,,,,Asia,Pigeonpea,Soybean,legume,legume,0,0,Row,30,2,,,,,,20,20,20,kg N ha−1,3,3,3,3,Table 2,,,1748,1180,kg/ha,,,1.46
075_Prasad_et_al_1991_Pigeonpea_and_soybean_intercropp,75,75,static_workflow,33. Prasad et al 1991 Pigeonpea and soybean intercropping systems under rainfed situation,1986–1987,,randomized block design,first week of July,first week of July,27 December 1986; 30 December 1987,12 October 1986; 20 October 1987,,,,Asia,Pigeonpea,Soybean,legume,legume,0,0,Row,30,2,,,,,,20,20,20,kg N ha−1,3,3,3,3,Table 2,,,1597,967,kg/ha,,,1.35
075_Prasad_et_al_1991_Pigeonpea_and_soybean_intercropp,75,75,static_workflow,33. Prasad et al 1991 Pigeonpea and soybean intercropping systems under rainfed situation,1986–1987,,randomized block design,first week of July,first week of July,27 December 1986; 30 December 1987,12 October 1986; 20 October 1987,,,,Asia,Pigeonpea,Soybean,legume,legume,0,0,Row,,,,30,,,20,,,,kg N ha−1,3,3,3,3,Table 2,,1819,,,kg/ha,,,1.0
075_Prasad_et_al_1991_Pigeonpea_and_soybean_intercropp,75,75,static_workflow,33. Prasad et al 1991 Pigeonpea and soybean intercropping systems under rainfed situation,1986–1987,,randomized block design,first week of July,first week of July,27 December 1986; 30 December 1987,12 October 1986; 20 October 1987,,,,Asia,Pigeonpea,Soybean,legume,legume,0,0,Row,,,,30,,,20,,,,kg N ha−1,3,3,3,3,Table 2,,2373,,,kg/ha,,,1.0
075_Prasad_et_al_1991_Pigeonpea_and_soybean_intercropp,75,75,static_workflow,33. Prasad et al 1991 Pigeonpea and soybean intercropping systems under rainfed situation,1986–1987,,randomized block design,first week of July,first week of July,27 December 1986; 30 December 1987,12 October 1986; 20 October 1987,,,,Asia,Pigeonpea,Soybean,legume,legume,0,0,Row,,,,30,,,20,,,,kg N ha−1,3,3,3,3,Table 2,,2051,,,kg/ha,,,1.0
