paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,static_workflow,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994,,split-plot design,first week of February,first week of February,third week of May,second week of May,,23.5,89,Asia,Soya bean,Sesame,legume,oilseed,0,0,,,,,,,20,20,20,20,20,kg ha-1,3,3,3,3,"Table 1, Table 2, Table 3",1.06,0.78,0.62,0.52,t ha-1,0.59,0.66,1.25
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,static_workflow,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994,,split-plot design,first week of February,first week of February,third week of May,second week of May,,23.5,89,Asia,Soya bean,Sesame,legume,oilseed,0,0,,,,,,,20,20,20,20,20,kg ha-1,3,3,3,3,"Table 1, Table 2, Table 3",1.21,0.93,0.82,0.7,t ha-1,0.68,0.75,1.42
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,static_workflow,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994,,split-plot design,first week of February,first week of February,third week of May,second week of May,,23.5,89,Asia,Soya bean,Sesame,legume,oilseed,0,0,,,,,,,20,20,20,20,20,kg ha-1,3,3,3,3,"Table 1, Table 2, Table 3",1.27,0.96,0.81,0.7,t ha-1,0.64,0.73,1.37
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,static_workflow,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994,,split-plot design,first week of February,first week of February,third week of May,second week of May,,23.5,89,Asia,Soya bean,Sesame,legume,oilseed,0,0,,,,,,,40,40,40,40,40,kg ha-1,3,3,3,3,"Table 1, Table 2, Table 3",1.09,0.89,0.68,0.62,t ha-1,0.62,0.69,1.32
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,static_workflow,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994,,split-plot design,first week of February,first week of February,third week of May,second week of May,,23.5,89,Asia,Soya bean,Sesame,legume,oilseed,0,0,,,,,,,40,40,40,40,40,kg ha-1,3,3,3,3,"Table 1, Table 2, Table 3",1.73,1.11,1.32,0.87,t ha-1,0.77,0.78,1.54
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,static_workflow,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994,,split-plot design,first week of February,first week of February,third week of May,second week of May,,23.5,89,Asia,Soya bean,Sesame,legume,oilseed,0,0,,,,,,,40,40,40,40,40,kg ha-1,3,3,3,3,"Table 1, Table 2, Table 3",1.76,1.16,1.33,0.88,t ha-1,0.75,0.76,1.51
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,static_workflow,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1995,,split-plot design,first week of June,first week of June,fourth week of September,second week of September,,23.5,89,Asia,Soya bean,Sesame,legume,oilseed,0,0,,,,,,,20,20,20,20,20,kg ha-1,3,3,3,3,"Table 1, Table 2, Table 3",1.23,0.7,0.78,0.48,t ha-1,0.63,0.67,1.31
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,static_workflow,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1995,,split-plot design,first week of June,first week of June,fourth week of September,second week of September,,23.5,89,Asia,Soya bean,Sesame,legume,oilseed,0,0,,,,,,,20,20,20,20,20,kg ha-1,3,3,3,3,"Table 1, Table 2, Table 3",1.36,0.81,1.01,0.6,t ha-1,0.75,0.74,1.48
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,static_workflow,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1995,,split-plot design,first week of June,first week of June,fourth week of September,second week of September,,23.5,89,Asia,Soya bean,Sesame,legume,oilseed,0,0,,,,,,,20,20,20,20,20,kg ha-1,3,3,3,3,"Table 1, Table 2, Table 3",1.39,0.84,1.01,0.6,t ha-1,0.72,0.71,1.44
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,static_workflow,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1995,,split-plot design,first week of June,first week of June,fourth week of September,second week of September,,23.5,89,Asia,Soya bean,Sesame,legume,oilseed,0,0,,,,,,,40,40,40,40,40,kg ha-1,3,3,3,3,"Table 1, Table 2, Table 3",1.22,0.72,0.82,0.49,t ha-1,0.67,0.68,1.35
