paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,Randomized split-plot design,16 April 1980,16 April 1980,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,30.0,154.0,63.0,275.0,,0.0,0.0,0.0,0.0,0.0,g N m-2,3.0,3.0,3.0,3.0,Table 3,456.0,412.0,,,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,Randomized split-plot design,16 April 1980,16 April 1980,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,30.0,154.0,63.0,275.0,,0.0,5.0,0.0,5.0,5.0,g N m-2,3.0,3.0,3.0,3.0,Table 3,357.0,550.0,,,g DM m-2,,,1.06
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,Randomized split-plot design,13 April 1981,13 April 1981,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,35.0,185.0,65.0,381.0,,0.0,0.0,0.0,0.0,0.0,g N m-2,3.0,3.0,3.0,3.0,Table 3,437.0,355.0,,,g DM m-2,,,1.31
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,Randomized split-plot design,13 April 1981,13 April 1981,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,35.0,185.0,65.0,381.0,,0.0,5.0,0.0,5.0,5.0,g N m-2,3.0,3.0,3.0,3.0,Table 3,456.0,467.0,,,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,Randomized split-plot design,7 April 1982,7 April 1982,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,45.0,167.0,88.0,299.0,,0.0,0.0,0.0,0.0,0.0,g N m-2,3.0,3.0,3.0,3.0,Table 3,714.0,473.0,,,g DM m-2,,,1.17
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,Randomized split-plot design,7 April 1982,7 April 1982,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,45.0,167.0,88.0,299.0,,0.0,5.0,0.0,5.0,5.0,g N m-2,3.0,3.0,3.0,3.0,Table 3,767.0,615.0,,,g DM m-2,,,1.02
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,Randomized split-plot design,16 April 1984,16 April 1984,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,48.0,178.0,88.0,356.0,,0.0,0.0,0.0,0.0,0.0,g N m-2,4.0,4.0,4.0,4.0,Table 3,659.0,332.0,,,g DM m-2,,,1.12
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,Randomized split-plot design,16 April 1984,16 April 1984,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,48.0,178.0,88.0,356.0,,0.0,5.0,0.0,5.0,5.0,g N m-2,4.0,4.0,4.0,4.0,Table 3,661.0,579.0,,,g DM m-2,,,1.0
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,2,direct_llm,"Hauggaard-Nielsen 2001 Interspecific competition, N use and interference with weeds in pea-barley",1998,111 days,Randomized Complete Block Design,23 April 1998,23 April 1998,,,,55.6833,12.0833,Europe,Field pea (Pisum sativum),Spring barley (Hordeum vulgare),legume,cereal,0.0,0.0,Mixed,35.0,150.0,70.0,300.0,,10.0,10.0,10.0,10.0,10.0,kg N ha-1,8.0,8.0,8.0,8.0,Table 2,2630.0,3927.0,604.0,3974.0,kg DM ha-1,,,
004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr,4,4,direct_llm,Li 2001 Wheat-maize or wheat-soybean strip intercropping I. Yield advantage and inerspecific interactions,1997–1998,,Split-split-plot,20 March,16 April,15 July,24 September,,38.6167,102.6667,Asia,Wheat,Maize,cereal,cereal,0.0,0.0,Strip,7500000.0,126000.0,7500000.0,126000.0,,300.0,300.0,300.0,300.0,300.0,kg N ha-1,3.0,3.0,3.0,3.0,Table 1,5.5,12.2,8.1,11.8,t ha-1,,,
