paper_id,study_id,method,status,n_records,path
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,direct_llm,skipped,8,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-27B-FP8_42fields/by_paper/001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and___direct_llm.csv
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,static_workflow,skipped,8,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-27B-FP8_42fields/by_paper/001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and___static_workflow.csv
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,mas,skipped,8,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-27B-FP8_42fields/by_paper/001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and___mas.csv
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,direct_llm,skipped,1,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-27B-FP8_42fields/by_paper/002_Hauggaard_Nielsen_2001_Interspecific_competition_N__direct_llm.csv
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,static_workflow,skipped,2,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-27B-FP8_42fields/by_paper/002_Hauggaard_Nielsen_2001_Interspecific_competition_N__static_workflow.csv
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,mas,skipped,1,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-27B-FP8_42fields/by_paper/002_Hauggaard_Nielsen_2001_Interspecific_competition_N__mas.csv
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,direct_llm,skipped_gap,0,
004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr,4,direct_llm,skipped,6,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-27B-FP8_42fields/by_paper/004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr__direct_llm.csv
004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr,4,static_workflow,skipped,0,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-27B-FP8_42fields/by_paper/004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr__static_workflow.csv
004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr,4,mas,skipped,6,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-27B-FP8_42fields/by_paper/004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr__mas.csv
005_Li_1999_Interspecific_complementary_and_competitiv,5,direct_llm,skipped,9,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-27B-FP8_42fields/by_paper/005_Li_1999_Interspecific_complementary_and_competitiv__direct_llm.csv
005_Li_1999_Interspecific_complementary_and_competitiv,5,static_workflow,skipped,15,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-27B-FP8_42fields/by_paper/005_Li_1999_Interspecific_complementary_and_competitiv__static_workflow.csv
