paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,randomized split-plot designs,16 April 1980,16 April 1980,,,,55.6833,12.0833,Europe,Pisum sativum L.,Hordeum vulgare L.,legume,cereal,0.0,0.0,Mixed,30.0,154.0,63.0,275.0,,0.0,0.0,0.0,0.0,0.0,g N m-2,3.0,3.0,3.0,3.0,"Table 2, Table 3",456.0,412.0,479.0,,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,randomized split-plot designs,16 April 1980,16 April 1980,,,,55.6833,12.0833,Europe,Pisum sativum L.,Hordeum vulgare L.,legume,cereal,0.0,0.0,Mixed,30.0,154.0,63.0,275.0,,5.0,5.0,5.0,5.0,5.0,g N m-2,3.0,3.0,3.0,3.0,"Table 2, Table 3",357.0,550.0,541.0,,g DM m-2,,,1.06
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,randomized split-plot designs,13 April 1981,13 April 1981,,,,55.6833,12.0833,Europe,Pisum sativum L.,Hordeum vulgare L.,legume,cereal,0.0,0.0,Mixed,35.0,185.0,65.0,381.0,,0.0,0.0,0.0,0.0,0.0,g N m-2,3.0,3.0,3.0,3.0,"Table 2, Table 3",437.0,355.0,509.0,,g DM m-2,,,1.31
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,randomized split-plot designs,13 April 1981,13 April 1981,,,,55.6833,12.0833,Europe,Pisum sativum L.,Hordeum vulgare L.,legume,cereal,0.0,0.0,Mixed,35.0,185.0,65.0,381.0,,5.0,5.0,5.0,5.0,5.0,g N m-2,3.0,3.0,3.0,3.0,"Table 2, Table 3",456.0,467.0,519.0,,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,randomized split-plot designs,7 April 1982,7 April 1982,,,,55.6833,12.0833,Europe,Pisum sativum L.,Hordeum vulgare L.,legume,cereal,0.0,0.0,Mixed,45.0,167.0,88.0,299.0,,0.0,0.0,0.0,0.0,0.0,g N m-2,3.0,3.0,3.0,3.0,"Table 2, Table 3",714.0,473.0,658.0,,g DM m-2,,,1.17
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,randomized split-plot designs,7 April 1982,7 April 1982,,,,55.6833,12.0833,Europe,Pisum sativum L.,Hordeum vulgare L.,legume,cereal,0.0,0.0,Mixed,45.0,167.0,88.0,299.0,,5.0,5.0,5.0,5.0,5.0,g N m-2,3.0,3.0,3.0,3.0,"Table 2, Table 3",767.0,615.0,665.0,,g DM m-2,,,1.02
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,randomized split-plot designs,16 April 1984,16 April 1984,,,,55.6833,12.0833,Europe,Pisum sativum L.,Hordeum vulgare L.,legume,cereal,0.0,0.0,Mixed,48.0,178.0,88.0,356.0,,0.0,0.0,0.0,0.0,0.0,g N m-2,4.0,4.0,4.0,4.0,"Table 2, Table 3",659.0,332.0,561.0,,g DM m-2,,,1.12
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,randomized split-plot designs,16 April 1984,16 April 1984,,,,55.6833,12.0833,Europe,Pisum sativum L.,Hordeum vulgare L.,legume,cereal,0.0,0.0,Mixed,48.0,178.0,88.0,356.0,,5.0,5.0,5.0,5.0,5.0,g N m-2,4.0,4.0,4.0,4.0,"Table 2, Table 3",661.0,579.0,607.0,,g DM m-2,,,1.0
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,2,static_workflow,"Hauggaard-Nielsen 2001 Interspecific competition, N use and interference with weeds in pea-barley",1998,111 days,complete one-factorial randomised design,23 April,23 April,,,,55.6833,12.0833,Europe,Pisum sativum L.,Hordeum vulgare L.,legume,cereal,0.0,0.0,Mixed,31.5,135.0,70.0,300.0,,,,10.0,,10.0,kg N ha−1,8.0,8.0,8.0,8.0,Table 2,2630.0,3927.0,604.0,3974.0,kg DM ha-1,,,1.25
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,2,static_workflow,"Hauggaard-Nielsen 2001 Interspecific competition, N use and interference with weeds in pea-barley",1998,111 days,complete one-factorial randomised design,23 April,23 April,,,,55.6833,12.0833,Europe,Pisum sativum L.,Hordeum vulgare L.,legume,cereal,0.0,0.0,Mixed,31.5,135.0,70.0,300.0,,,,10.0,,10.0,kg N ha−1,8.0,8.0,8.0,8.0,Abstract,,,4.6,,t ha−1,,,
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,static_workflow,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,,factorial experiment,,,,,,,,Europe,Triticum aestivum,Vicia faba,cereal,legume,0.0,0.0,,75.0,75.0,,,,,,,,,,,,,,Abstract,,,,,,,,1.29
005_Li_1999_Interspecific_complementary_and_competitiv,5,5,static_workflow,Li 1999 Interspecific complementary and competitive interactions between intercropped maize and faba bean,1997,,split-plot,16 April,27 March,20 September,25 July,,37.0833,104.6667,Asia,Zea mays L. cv. Zhongdan No. 2,Vicia faba L. cv. Linxia Dacaidou,cereal,legume,0.0,0.0,Strip,6.75,7.64,10.12,22.95,,225.0,225.0,225.0,225.0,225.0,kg ha−1,3.0,3.0,3.0,3.0,Table 1,23622.0,10870.0,27338.0,14222.0,kg ha−1,,,1.23
005_Li_1999_Interspecific_complementary_and_competitiv,5,5,static_workflow,Li 1999 Interspecific complementary and competitive interactions between intercropped maize and faba bean,1997,,split-plot,16 April,27 March,20 September,25 July,,37.0833,104.6667,Asia,Zea mays L. cv. Zhongdan No. 2,Vicia faba L. cv. Linxia Dacaidou,cereal,legume,0.0,0.0,Strip,6.75,7.64,10.12,22.95,,225.0,225.0,225.0,225.0,225.0,kg ha−1,3.0,3.0,3.0,3.0,Table 1,30799.0,10914.0,33031.0,15976.0,kg ha−1,,,1.21
005_Li_1999_Interspecific_complementary_and_competitiv,5,5,static_workflow,Li 1999 Interspecific complementary and competitive interactions between intercropped maize and faba bean,1997,,split-plot,16 April,27 March,20 September,25 July,,37.0833,104.6667,Asia,Zea mays L. cv. Zhongdan No. 2,Vicia faba L. cv. Linxia Dacaidou,cereal,legume,0.0,0.0,Strip,6.75,7.64,10.12,22.95,,225.0,225.0,225.0,225.0,225.0,kg ha−1,3.0,3.0,3.0,3.0,Table 2,8282.0,5259.0,8928.0,6508.0,kg ha−1,,,1.23
