paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1995,105 d,Factorial block design with 4 replicates,19 June 1995,19 June 1995,,,,47.13,8.4,Europe,Leek,Celeriac,vegetable,vegetable,0,0,Row,5.5,2,11,4,,,,,,,,4,4,4,4,"Table 2, Table 4",566,359,288,203,g m-2,,,1.19
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1995,105 d,Factorial block design with 4 replicates,19 June 1995,19 June 1995,,,,47.13,8.4,Europe,Leek,Celeriac,vegetable,vegetable,0,0,Row,5.5,4,11,8,,,,,,,,4,4,4,4,"Table 2, Table 4",837,577,257,279,g m-2,,,1.56
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1995,105 d,Factorial block design with 4 replicates,19 June 1995,19 June 1995,,,,47.13,8.4,Europe,Leek,Celeriac,vegetable,vegetable,0,0,Row,11,2,22,4,,,,,,,,4,4,4,4,"Table 2, Table 4",837,359,408,169,g m-2,,,1.19
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1995,105 d,Factorial block design with 4 replicates,19 June 1995,19 June 1995,,,,47.13,8.4,Europe,Leek,Celeriac,vegetable,vegetable,0,0,Row,11,4,22,8,,,,,,,,4,4,4,4,"Table 2, Table 4",837,577,408,302,g m-2,,,1.56
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1996,105 d,Factorial block design with 4 replicates,30 May 1996,30 May 1996,,,,47.13,8.4,Europe,Leek,Celery,vegetable,vegetable,0,0,Row,10,5,20,10,,,,,,,,4,4,4,4,"Table 6, Table 4",809,1047,279,780,g m-2,,,1.1
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1996,105 d,Factorial block design with 4 replicates,30 May 1996,30 May 1996,,,,47.13,8.4,Europe,Leek,Celery,vegetable,vegetable,0,0,Row,20,10,40,20,,,,,,,,4,4,4,4,"Table 6, Table 4",995,1109,328,728,g m-2,,,1.1
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1996,105 d,Factorial block design with 4 replicates,30 May 1996,30 May 1996,,,,47.13,8.4,Europe,Leek,Celery,vegetable,vegetable,0,0,Row,30,10,60,20,,,,,,,,4,4,4,4,"Table 6, Table 4",1080,1109,379,686,g m-2,,,1.1
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1996,105 d,Factorial block design with 4 replicates,30 May 1996,30 May 1996,,,,47.13,8.4,Europe,Leek,Celery,vegetable,vegetable,0,0,Row,30,15,60,30,,,,,,,,4,4,4,4,"Table 6, Table 4",1080,1200,414,768,g m-2,,,1.1
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1997,90 d,Randomized block design with 4 replicates,3 June 1997,3 June 1997,,,,47.13,8.4,Europe,Leek,Celery,vegetable,vegetable,0,0,Row,9,4.5,18,9,,0,0,0,0,0,kg N ha-1,4,4,4,4,"Table 8, Table 4",302,397,81,281,g m-2,,,
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1997,90 d,Randomized block design with 4 replicates,3 June 1997,3 June 1997,,,,47.13,8.4,Europe,Leek,Celery,vegetable,vegetable,0,0,Row,9,4.5,18,9,,50,50,50,50,50,kg N ha-1,4,4,4,4,"Table 8, Table 4",497,671,140,462,g m-2,,,
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1997,90 d,Randomized block design with 4 replicates,3 June 1997,3 June 1997,,,,47.13,8.4,Europe,Leek,Celery,vegetable,vegetable,0,0,Row,9,4.5,18,9,,200,200,200,200,200,kg N ha-1,4,4,4,4,"Table 8, Table 4",597,926,183,541,g m-2,,,
