paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,direct_llm,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997–2001,5 winter seasons,Randomized Complete Block Design (RCBD),16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.132,86.312,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,60,20,80,kg N ha−1,3,3,3,3,Table 1,1666,,,,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,direct_llm,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997–2001,5 winter seasons,Randomized Complete Block Design (RCBD),16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.132,86.312,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,60,20,80,kg N ha−1,3,3,3,3,Table 1,1604,,,,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,direct_llm,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997–2001,5 winter seasons,Randomized Complete Block Design (RCBD),16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.132,86.312,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,60,20,80,kg N ha−1,3,3,3,3,Table 1,2360,,,,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,direct_llm,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997–2001,5 winter seasons,Randomized Complete Block Design (RCBD),16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.132,86.312,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,60,20,80,kg N ha−1,3,3,3,3,Table 1,2341,,,,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,direct_llm,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997–2001,5 winter seasons,Randomized Complete Block Design (RCBD),16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.132,86.312,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,60,20,80,kg N ha−1,3,3,3,3,Table 1,2902,,,,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,direct_llm,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997–2001,5 winter seasons,Randomized Complete Block Design (RCBD),16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.132,86.312,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,60,20,80,kg N ha−1,3,3,3,3,Table 1,2671,,,,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,direct_llm,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997–2001,5 winter seasons,Randomized Complete Block Design (RCBD),16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.132,86.312,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,60,20,80,kg N ha−1,3,3,3,3,Table 1,,789,,,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,direct_llm,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997–2001,5 winter seasons,Randomized Complete Block Design (RCBD),16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.132,86.312,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,60,20,80,kg N ha−1,3,3,3,3,Table 1,,961,,,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,direct_llm,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997–2001,5 winter seasons,Randomized Complete Block Design (RCBD),16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.132,86.312,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,60,20,80,kg N ha−1,3,3,3,3,Table 1,,1342,,,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,direct_llm,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997–2001,5 winter seasons,Randomized Complete Block Design (RCBD),16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.132,86.312,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,60,20,80,kg N ha−1,3,3,3,3,Table 1,,1604,,,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,direct_llm,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997–2001,5 winter seasons,Randomized Complete Block Design (RCBD),16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.132,86.312,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,60,20,80,kg N ha−1,3,3,3,3,Table 1,,1999,,,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,direct_llm,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997–2001,5 winter seasons,Randomized Complete Block Design (RCBD),16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.132,86.312,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,60,20,80,kg N ha−1,3,3,3,3,Table 1,,2369,,,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,direct_llm,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997–2001,5 winter seasons,Randomized Complete Block Design (RCBD),16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.132,86.312,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,60,20,80,kg N ha−1,3,3,3,3,Table 1,1335,,1335,232,kg ha−1,,,1.548
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,direct_llm,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997–2001,5 winter seasons,Randomized Complete Block Design (RCBD),16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.132,86.312,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,60,20,80,kg N ha−1,3,3,3,3,Table 1,1374,,1374,277,kg ha−1,,,1.482
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,direct_llm,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997–2001,5 winter seasons,Randomized Complete Block Design (RCBD),16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.132,86.312,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,60,20,80,kg N ha−1,3,3,3,3,Table 1,1918,,1918,378,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,direct_llm,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997–2001,5 winter seasons,Randomized Complete Block Design (RCBD),16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.132,86.312,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,60,20,80,kg N ha−1,3,3,3,3,Table 1,1895,,1895,427,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,direct_llm,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997–2001,5 winter seasons,Randomized Complete Block Design (RCBD),16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.132,86.312,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,60,20,80,kg N ha−1,3,3,3,3,Table 1,2533,,2533,719,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,direct_llm,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997–2001,5 winter seasons,Randomized Complete Block Design (RCBD),16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.132,86.312,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,60,20,80,kg N ha−1,3,3,3,3,Table 1,2442,,2442,887,kg ha−1,,,
