paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,mas,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2018,120 days,Randomized Complete Block Design (RCBD),Zea mays sown 15 May 2018,Glycine max sown 20 May 2018,Zea mays harvested 12 September 2018,Glycine max harvested 25 August 2018,,35.12,-1.56,Asia,Zea mays,Glycine max,cereal,legume,0,0,Row,5,20,8,30,1.05,120,30,60,30,90,kg N ha−1,4,4,4,4,Table 1,8.5,2.4,3.4,1.4,t/ha,0.72,0.53,1.25
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,mas,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2018,120 days,Randomized Complete Block Design (RCBD),Zea mays sown 15 May 2018,Glycine max sown 20 May 2018,Zea mays harvested 12 September 2018,Glycine max harvested 25 August 2018,,35.12,-1.56,Asia,Zea mays,Glycine max,cereal,legume,0,0,Row,5,20,8,30,1.05,120,30,60,30,90,kg N ha−1,4,4,4,4,Table 1,8.5,2.4,3.4,1.4,t/ha,0.72,0.53,1.25
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,mas,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2018,120 days,Randomized Complete Block Design (RCBD),Zea mays sown 15 May 2018,Glycine max sown 20 May 2018,Zea mays harvested 12 September 2018,Glycine max harvested 25 August 2018,,35.12,-1.56,Asia,Zea mays,Glycine max,cereal,legume,0,0,Row,5,20,8,30,1.05,120,30,60,30,90,kg N ha−1,4,4,4,4,Table 1,8.5,2.4,3.4,1.4,t/ha,0.72,0.53,1.25
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,mas,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2018,120 days,Randomized Complete Block Design (RCBD),Zea mays sown 15 May 2018,Glycine max sown 20 May 2018,Zea mays harvested 12 September 2018,Glycine max harvested 25 August 2018,,35.12,-1.56,Asia,Zea mays,Glycine max,cereal,legume,0,0,Row,5,20,8,30,1.05,120,30,60,30,90,kg N ha−1,4,4,4,4,Table 1,8.5,2.4,3.4,1.4,t/ha,0.72,0.53,1.25
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,mas,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2019,120 days,Randomized Complete Block Design (RCBD),Zea mays sown 15 May 2019,Glycine max sown 20 May 2019,Zea mays harvested 12 September 2019,Glycine max harvested 25 August 2019,,35.12,-1.56,Asia,Zea mays,Glycine max,cereal,legume,0,0,Row,5,20,8,30,1.05,120,30,60,30,90,kg N ha−1,4,4,4,4,Table 2,8.2,2.3,3.3,1.3,t/ha,0.71,0.52,1.23
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,mas,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2019,120 days,Randomized Complete Block Design (RCBD),Zea mays sown 15 May 2019,Glycine max sown 20 May 2019,Zea mays harvested 12 September 2019,Glycine max harvested 25 August 2019,,35.12,-1.56,Asia,Zea mays,Glycine max,cereal,legume,0,0,Row,5,20,8,30,1.05,120,30,60,30,90,kg N ha−1,4,4,4,4,Table 2,8.2,2.3,3.3,1.3,t/ha,0.71,0.52,1.23
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,mas,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2019,120 days,Randomized Complete Block Design (RCBD),Zea mays sown 15 May 2019,Glycine max sown 20 May 2019,Zea mays harvested 12 September 2019,Glycine max harvested 25 August 2019,,35.12,-1.56,Asia,Zea mays,Glycine max,cereal,legume,0,0,Row,5,20,8,30,1.05,120,30,60,30,90,kg N ha−1,4,4,4,4,Table 2,8.2,2.3,3.3,1.3,t/ha,0.71,0.52,1.23
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,mas,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2019,120 days,Randomized Complete Block Design (RCBD),Zea mays sown 15 May 2019,Glycine max sown 20 May 2019,Zea mays harvested 12 September 2019,Glycine max harvested 25 August 2019,,35.12,-1.56,Asia,Zea mays,Glycine max,cereal,legume,0,0,Row,5,20,8,30,1.05,120,30,60,30,90,kg N ha−1,4,4,4,4,Table 2,8.2,2.3,3.3,1.3,t/ha,0.71,0.52,1.23
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,mas,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2018,120 days,Randomized Complete Block Design (RCBD),Triticum aestivum sown 15 October 2018,Pisum sativum sown 20 October 2018,Triticum aestivum harvested 15 June 2019,Pisum sativum harvested 10 June 2019,,35.12,-1.56,Asia,Triticum aestivum,Pisum sativum,cereal,legume,0,0,Row,150,50,200,100,1.1,100,20,50,20,70,kg N ha−1,4,4,4,4,Table 3,4.5,1.8,2.1,0.9,t/ha,0.65,0.5,1.15
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,mas,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2018,120 days,Randomized Complete Block Design (RCBD),Triticum aestivum sown 15 October 2018,Pisum sativum sown 20 October 2018,Triticum aestivum harvested 15 June 2019,Pisum sativum harvested 10 June 2019,,35.12,-1.56,Asia,Triticum aestivum,Pisum sativum,cereal,legume,0,0,Row,150,50,200,100,1.1,100,20,50,20,70,kg N ha−1,4,4,4,4,Table 3,4.5,1.8,2.1,0.9,t/ha,0.65,0.5,1.15
