paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1991-1992,Autumn 1991 to Summer 1992,Randomised complete block design,16 October 1991,16 October 1991,6 August 1992,6 August 1992,,51.19,0.95,Europe,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,,,,,3,3,3,3,Table 1; Section 3.1,4.3,,1.1,,t/ha,,,1.08
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1991-1992,Autumn 1991 to Summer 1992,Randomised complete block design,16 October 1991,16 October 1991,6 August 1992,6 August 1992,,51.19,0.95,Europe,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,,,,,3,3,3,3,Table 1; Section 3.1,4.3,,1.1,,t/ha,,,1.4
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1991-1992,Autumn 1991 to Summer 1992,Randomised complete block design,16 October 1991,16 October 1991,6 August 1992,6 August 1992,,51.19,0.95,Europe,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,,,,,3,3,3,3,Table 1; Section 3.1,4.3,,1.1,,t/ha,,,0.82
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1991-1992,Autumn 1991 to Summer 1992,Randomised complete block design,16 October 1991,16 October 1991,6 August 1992,6 August 1992,,51.19,0.95,Europe,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,,,,,3,3,3,3,Table 1; Section 3.1,4.3,,1.1,,t/ha,,,1.17
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1991-1992,Autumn 1991 to Summer 1992,Randomised complete block design,16 October 1991,16 October 1991,6 August 1992,6 August 1992,,51.19,0.95,Europe,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,,,,,3,3,3,3,Table 1; Section 3.1,4.3,,1.1,,t/ha,,,1.07
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1991-1992,Autumn 1991 to Summer 1992,Randomised complete block design,16 October 1991,16 October 1991,6 August 1992,6 August 1992,,51.19,0.95,Europe,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,,,,,3,3,3,3,Table 1; Section 3.1,4.3,,1.1,,t/ha,,,0.9
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1991-1992,Autumn 1991 to Summer 1992,Randomised complete block design,16 October 1991,16 October 1991,6 August 1992,6 August 1992,,51.19,0.95,Europe,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,,,,,3,3,3,3,Table 1; Section 3.1,4.3,,1.1,,t/ha,,,0.85
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1991-1992,Autumn 1991 to Summer 1992,Randomised complete block design,16 October 1991,16 October 1991,6 August 1992,6 August 1992,,51.19,0.95,Europe,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,,,,,3,3,3,3,Table 1; Section 3.1,4.3,,1.1,,t/ha,,,1.34
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1992,Spring 1992 to Summer 1992,Randomised complete block design,8 March 1992,8 March 1992,9 September 1992,9 September 1992,,51.19,0.95,Europe,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,,,,,4,4,4,4,Table 2; Section 3.2,,2.2,,0.7,t/ha,,,1.21
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1992,Spring 1992 to Summer 1992,Randomised complete block design,8 March 1992,8 March 1992,9 September 1992,9 September 1992,,51.19,0.95,Europe,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,,,,,4,4,4,4,Table 2; Section 3.2,,2.2,,0.7,t/ha,,,1.05
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1992,Spring 1992 to Summer 1992,Randomised complete block design,8 March 1992,8 March 1992,9 September 1992,9 September 1992,,51.19,0.95,Europe,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,,,,,4,4,4,4,Table 2; Section 3.2,,2.2,,0.7,t/ha,,,1.0
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1992,Spring 1992 to Summer 1992,Randomised complete block design,8 March 1992,8 March 1992,9 September 1992,9 September 1992,,51.19,0.95,Europe,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,,,,,4,4,4,4,Table 2; Section 3.2,,2.2,,0.7,t/ha,,,1.04
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1993,Spring 1993 to Summer 1993,Randomised complete block design,8 March 1993,8 March 1993,28 August 1993,28 August 1993,,51.19,0.95,Europe,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,,,,,,,,,Table 3; Section 3.3,,,,,t/ha,,,1.21
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1993,Spring 1993 to Summer 1993,Randomised complete block design,8 March 1993,8 March 1993,28 August 1993,28 August 1993,,51.19,0.95,Europe,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,,,,,,,,,Table 3; Section 3.3,,,,,t/ha,,,1.11
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1993,Spring 1993 to Summer 1993,Randomised complete block design,8 March 1993,8 March 1993,28 August 1993,28 August 1993,,51.19,0.95,Europe,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,,,,,,,,,Table 3; Section 3.3,,,,,t/ha,,,1.28
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1993,Spring 1993 to Summer 1993,Randomised complete block design,8 March 1993,8 March 1993,28 August 1993,28 August 1993,,51.19,0.95,Europe,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,,,,,,,,,Table 3; Section 3.3,,,,,t/ha,,,1.29
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1993,Spring 1993 to Summer 1993,Randomised complete block design,8 March 1993,8 March 1993,28 August 1993,28 August 1993,,51.19,0.95,Europe,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,,,,,,,,,Table 3; Section 3.3,,,,,t/ha,,,1.12
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1993,Spring 1993 to Summer 1993,Randomised complete block design,8 March 1993,8 March 1993,28 August 1993,28 August 1993,,51.19,0.95,Europe,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,,,,,,,,,Table 3; Section 3.3,,,,,t/ha,,,1.23
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1993,Spring 1993 to Summer 1993,Randomised complete block design,8 March 1993,8 March 1993,28 August 1993,28 August 1993,,51.19,0.95,Europe,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,,,,,,,,,Table 3; Section 3.3,,,,,t/ha,,,1.28
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1993,Spring 1993 to Summer 1993,Randomised complete block design,8 March 1993,8 March 1993,28 August 1993,28 August 1993,,51.19,0.95,Europe,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,,,,,,,,,Table 3; Section 3.3,,,,,t/ha,,,1.18
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1993,Spring 1993 to Summer 1993,Randomised complete block design,8 March 1993,8 March 1993,28 August 1993,28 August 1993,,51.19,0.95,Europe,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,,,,,,,,,Table 3; Section 3.3,,,,,t/ha,,,1.15
