paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
029_Tobita_et_al_1994_Field_evaluation_of_nitrogen_fix,29,29,direct_llm,Tobita et al 1994 Field evaluation of nitrogen fixation and use of nitrogen fertilizer,1991,200 days,Split-plot design,20 June 1991,20 June 1991,110 days after sowing,200 days after sowing,,18.0,78.0,Asia,Sorghum bicolor,Cajanus cajan,cereal,legume,0,0,Row,,,,,,0,0,,,0,kg N ha-1,3,3,3,3,Table 1,5290,10770,3750,7530,kg ha-1,,,
029_Tobita_et_al_1994_Field_evaluation_of_nitrogen_fix,29,29,direct_llm,Tobita et al 1994 Field evaluation of nitrogen fixation and use of nitrogen fertilizer,1991,200 days,Split-plot design,20 June 1991,20 June 1991,110 days after sowing,200 days after sowing,,18.0,78.0,Asia,Sorghum bicolor,Cajanus cajan,cereal,legume,0,0,Row,,,,,,25,25,,,25,kg N ha-1,3,3,3,3,Table 1,6690,10460,6450,7660,kg ha-1,,,
029_Tobita_et_al_1994_Field_evaluation_of_nitrogen_fix,29,29,direct_llm,Tobita et al 1994 Field evaluation of nitrogen fixation and use of nitrogen fertilizer,1991,200 days,Split-plot design,20 June 1991,20 June 1991,110 days after sowing,200 days after sowing,,18.0,78.0,Asia,Sorghum bicolor,Cajanus cajan,cereal,legume,0,0,Row,,,,,,50,50,,,50,kg N ha-1,3,3,3,3,Table 1,11460,13000,8670,7270,kg ha-1,,,
029_Tobita_et_al_1994_Field_evaluation_of_nitrogen_fix,29,29,direct_llm,Tobita et al 1994 Field evaluation of nitrogen fixation and use of nitrogen fertilizer,1991,200 days,Split-plot design,20 June 1991,20 June 1991,110 days after sowing,200 days after sowing,,18.0,78.0,Asia,Sorghum bicolor,Cajanus cajan,cereal,legume,0,0,Row,,,,,,100,100,,,100,kg N ha-1,3,3,3,3,Table 1,11510,12860,8920,6790,kg ha-1,,,
029_Tobita_et_al_1994_Field_evaluation_of_nitrogen_fix,29,29,direct_llm,Tobita et al 1994 Field evaluation of nitrogen fixation and use of nitrogen fertilizer,1991,200 days,Split-plot design,20 June 1991,20 June 1991,110 days after sowing,200 days after sowing,,18.0,78.0,Asia,Sorghum bicolor,Cajanus cajan,cereal,legume,0,0,Row,,,,,,0,0,,,0,kg N ha-1,3,3,3,3,Table 2,,,,,,0.71,0.7,1.41
029_Tobita_et_al_1994_Field_evaluation_of_nitrogen_fix,29,29,direct_llm,Tobita et al 1994 Field evaluation of nitrogen fixation and use of nitrogen fertilizer,1991,200 days,Split-plot design,20 June 1991,20 June 1991,110 days after sowing,200 days after sowing,,18.0,78.0,Asia,Sorghum bicolor,Cajanus cajan,cereal,legume,0,0,Row,,,,,,25,25,,,25,kg N ha-1,3,3,3,3,Table 2,,,,,,0.96,0.73,1.7
029_Tobita_et_al_1994_Field_evaluation_of_nitrogen_fix,29,29,direct_llm,Tobita et al 1994 Field evaluation of nitrogen fixation and use of nitrogen fertilizer,1991,200 days,Split-plot design,20 June 1991,20 June 1991,110 days after sowing,200 days after sowing,,18.0,78.0,Asia,Sorghum bicolor,Cajanus cajan,cereal,legume,0,0,Row,,,,,,50,50,,,50,kg N ha-1,3,3,3,3,Table 2,,,,,,0.76,0.56,1.32
029_Tobita_et_al_1994_Field_evaluation_of_nitrogen_fix,29,29,direct_llm,Tobita et al 1994 Field evaluation of nitrogen fixation and use of nitrogen fertilizer,1991,200 days,Split-plot design,20 June 1991,20 June 1991,110 days after sowing,200 days after sowing,,18.0,78.0,Asia,Sorghum bicolor,Cajanus cajan,cereal,legume,0,0,Row,,,,,,100,100,,,100,kg N ha-1,3,3,3,3,Table 2,,,,,,0.78,0.53,1.3
029_Tobita_et_al_1994_Field_evaluation_of_nitrogen_fix,29,29,direct_llm,Tobita et al 1994 Field evaluation of nitrogen fixation and use of nitrogen fertilizer,1991,200 days,Split-plot design,20 June 1991,20 June 1991,110 days after sowing,200 days after sowing,,18.0,78.0,Asia,Sorghum bicolor,Cajanus cajan,cereal,legume,0,0,Row,,,,,,0,0,,,0,kg N ha-1,3,3,3,3,Table 2,,,,,,0.8,0.81,1.62
029_Tobita_et_al_1994_Field_evaluation_of_nitrogen_fix,29,29,direct_llm,Tobita et al 1994 Field evaluation of nitrogen fixation and use of nitrogen fertilizer,1991,200 days,Split-plot design,20 June 1991,20 June 1991,110 days after sowing,200 days after sowing,,18.0,78.0,Asia,Sorghum bicolor,Cajanus cajan,cereal,legume,0,0,Row,,,,,,25,25,,,25,kg N ha-1,3,3,3,3,Table 2,,,,,,1.13,0.75,1.88
