paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,110 days,randomized complete block design,,,,,,4.0833,11.55,Africa,Zea mays,Manihot esculenta,cereal,root crop,0,0,Row,20000,5000,53333,10000,,,,,,,,4,4,4,4,"Table 4, Table 6, Table 7",3.88,3.96,2.15,3.64,t ha-1,,,1.48
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,110 days,randomized complete block design,,,,,,4.0833,11.55,Africa,Zea mays,Manihot esculenta,cereal,root crop,0,0,Row,20000,5000,53333,10000,,,,,,,,4,4,4,4,"Table 4, Table 6, Table 7",4.15,4.67,2.55,4.17,t ha-1,,,1.77
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,110 days,randomized complete block design,,,,,,4.0833,11.55,Africa,Zea mays,Manihot esculenta,cereal,root crop,0,0,Row,26667,4444,53333,10000,,,,,,,,4,4,4,4,"Table 4, Table 6, Table 7",3.88,3.96,1.91,3.65,t ha-1,,,1.41
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,110 days,randomized complete block design,,,,,,4.0833,11.55,Africa,Zea mays,Manihot esculenta,cereal,root crop,0,0,Row,26667,4444,53333,10000,,,,,,,,4,4,4,4,"Table 4, Table 6, Table 7",4.15,4.67,2.19,4.1,t ha-1,,,1.41
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,110 days,randomized complete block design,,,,,,4.0833,11.55,Africa,Zea mays,Vigna unguiculata,cereal,legume,0,0,Row,26667,53333,53333,106667,,,,,,,,4,4,4,4,"Table 4, Table 6, Table 7",3.88,1.19,1.87,0.77,t ha-1,,,1.13
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,110 days,randomized complete block design,,,,,,4.0833,11.55,Africa,Zea mays,Vigna unguiculata,cereal,legume,0,0,Row,26667,53333,53333,106667,,,,,,,,4,4,4,4,"Table 4, Table 6, Table 7",4.15,0.91,1.88,0.6,t ha-1,,,1.11
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,110 days,randomized complete block design,,,,,,4.0833,11.55,Africa,Zea mays,Vigna unguiculata,cereal,legume,0,0,Row,26667,53333,53333,106667,,,,,,,,4,4,4,4,"Table 4, Table 6, Table 7",3.88,1.19,1.91,0.92,t ha-1,,,1.26
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,110 days,randomized complete block design,,,,,,4.0833,11.55,Africa,Zea mays,Vigna unguiculata,cereal,legume,0,0,Row,26667,53333,53333,106667,,,,,,,,4,4,4,4,"Table 4, Table 6, Table 7",4.15,0.91,1.91,0.64,t ha-1,,,1.16
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,110 days,randomized complete block design,,,,,,4.0833,11.55,Africa,Zea mays,Glycine max,cereal,legume,0,0,Row,26667,106667,53333,266667,,,,,,,,4,4,4,4,"Table 4, Table 6, Table 7",3.88,1.54,1.92,0.79,t ha-1,,,1.01
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,110 days,randomized complete block design,,,,,,4.0833,11.55,Africa,Zea mays,Glycine max,cereal,legume,0,0,Row,26667,106667,53333,266667,,,,,,,,4,4,4,4,"Table 4, Table 6, Table 7",4.15,1.28,1.95,0.74,t ha-1,,,1.05
