paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,null,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,null,null,null,61.2,null,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Row,null,null,null,null,null,80,40,null,null,40,kg N ha-1,4,4,4,4,"Table 4, Table 5, Table 1",1155.4,698.8,null,null,g/m2,null,null,null
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,null,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,null,null,null,61.2,null,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Row,null,null,null,null,null,80,40,null,null,40,kg N ha-1,4,4,4,4,"Table 4, Table 5, Table 1",998.1,620.1,null,null,g/m2,null,null,null
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,null,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,null,null,null,61.2,null,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Row,null,null,null,null,null,80,40,null,null,40,kg N ha-1,4,4,4,4,"Table 4, Table 5, Table 1",975.1,516.7,null,null,g/m2,null,null,null
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,null,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,null,null,null,61.2,null,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Row,null,null,null,null,null,80,40,null,null,40,kg N ha-1,4,4,4,4,"Table 4, Table 5, Table 1",962.2,440.1,null,null,g/m2,null,null,null
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,null,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,null,null,null,61.2,null,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Row,null,null,null,null,null,80,40,null,null,40,kg N ha-1,4,4,4,4,"Table 4, Table 5, Table 1",904.0,298.4,null,null,g/m2,null,null,null
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,null,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,null,null,null,61.2,null,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Row,99.2,17.5,null,null,null,80,40,null,null,40,kg N ha-1,4,4,4,4,"Table 4, Table 5, Table 1",1155.4,698.8,760.3,134.0,g/m2,0.66,0.19,0.85
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,null,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,null,null,null,61.2,null,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Row,98.0,34.2,null,null,null,80,40,null,null,40,kg N ha-1,4,4,4,4,"Table 4, Table 5, Table 1",1155.4,698.8,700.0,188.5,g/m2,0.60,0.27,0.87
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,null,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,null,null,null,61.2,null,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Row,92.0,52.5,null,null,null,80,40,null,null,40,kg N ha-1,4,4,4,4,"Table 4, Table 5, Table 1",1155.4,698.8,759.1,253.2,g/m2,0.66,0.36,1.02
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,null,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,null,null,null,61.2,null,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Row,89.0,63.2,null,null,null,80,40,null,null,40,kg N ha-1,4,4,4,4,"Table 4, Table 5, Table 1",1155.4,698.8,672.9,286.7,g/m2,0.58,0.41,0.99
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,null,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,null,null,null,61.2,null,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Row,229.8,19.8,null,null,null,80,40,null,null,40,kg N ha-1,4,4,4,4,"Table 4, Table 5, Table 1",1155.4,698.8,891.7,77.2,g/m2,0.77,0.11,0.88
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,null,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,null,null,null,61.2,null,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Row,225.2,35.2,null,null,null,80,40,null,null,40,kg N ha-1,4,4,4,4,"Table 4, Table 5, Table 1",1155.4,698.8,954.6,107.4,g/m2,0.83,0.15,0.98
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,null,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,null,null,null,61.2,null,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Row,227.0,53.2,null,null,null,80,40,null,null,40,kg N ha-1,4,4,4,4,"Table 4, Table 5, Table 1",1155.4,698.8,898.4,141.6,g/m2,0.78,0.20,0.98
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,null,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,null,null,null,61.2,null,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Row,375.2,18.8,null,null,null,80,40,null,null,40,kg N ha-1,4,4,4,4,"Table 4, Table 5, Table 1",1155.4,698.8,989.2,53.2,g/m2,0.86,0.08,0.94
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,null,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,null,null,null,61.2,null,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Row,393.0,39.2,null,null,null,80,40,null,null,40,kg N ha-1,4,4,4,4,"Table 4, Table 5, Table 1",1155.4,698.8,1042.0,107.9,g/m2,0.90,0.15,1.05
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,null,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,null,null,null,61.2,null,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Row,360.5,49.8,null,null,null,80,40,null,null,40,kg N ha-1,4,4,4,4,"Table 4, Table 5, Table 1",1155.4,698.8,923.5,115.5,g/m2,0.80,0.16,0.96
