paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,90 days,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,,,,61.2,,Europe,Oats,Faba bean,cereal,legume,0,0,Mixed,100,20,150,20,,80,40,40,40,40,kg N ha-1,4,4,4,4,"Table 4, Table 5",904.0,298.4,760.3,134.0,g/m2,0.66,0.19,0.85
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,90 days,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,,,,61.2,,Europe,Oats,Faba bean,cereal,legume,0,0,Mixed,100,40,300,40,,80,40,40,40,40,kg N ha-1,4,4,4,4,"Table 4, Table 5",998.1,440.1,700.0,188.5,g/m2,0.6,0.27,0.87
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,90 days,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,,,,61.2,,Europe,Oats,Faba bean,cereal,legume,0,0,Mixed,100,60,450,70,,80,40,40,40,40,kg N ha-1,4,4,4,4,"Table 4, Table 5",962.2,516.7,759.1,253.2,g/m2,0.66,0.36,1.02
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,90 days,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,,,,61.2,,Europe,Oats,Faba bean,cereal,legume,0,0,Mixed,100,80,600,100,,80,40,40,40,40,kg N ha-1,4,4,4,4,"Table 4, Table 5",1155.4,620.1,672.9,286.7,g/m2,0.58,0.41,0.99
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,90 days,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,,,,61.2,,Europe,Oats,Faba bean,cereal,legume,0,0,Mixed,250,20,750,130,,80,40,40,40,40,kg N ha-1,4,4,4,4,"Table 4, Table 5",975.1,698.8,891.7,77.2,g/m2,0.77,0.11,0.88
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,90 days,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,,,,61.2,,Europe,Oats,Faba bean,cereal,legume,0,0,Mixed,250,40,750,130,,80,40,40,40,40,kg N ha-1,4,4,4,4,"Table 4, Table 5",975.1,698.8,954.6,107.4,g/m2,0.83,0.15,0.98
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,90 days,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,,,,61.2,,Europe,Oats,Faba bean,cereal,legume,0,0,Mixed,250,60,750,130,,80,40,40,40,40,kg N ha-1,4,4,4,4,"Table 4, Table 5",975.1,698.8,898.4,141.6,g/m2,0.78,0.2,0.98
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,90 days,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,,,,61.2,,Europe,Oats,Faba bean,cereal,legume,0,0,Mixed,400,20,750,130,,80,40,40,40,40,kg N ha-1,4,4,4,4,"Table 4, Table 5",975.1,698.8,989.2,53.2,g/m2,0.86,0.08,0.94
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,90 days,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,,,,61.2,,Europe,Oats,Faba bean,cereal,legume,0,0,Mixed,400,40,750,130,,80,40,40,40,40,kg N ha-1,4,4,4,4,"Table 4, Table 5",975.1,698.8,1042.0,107.9,g/m2,0.9,0.15,1.05
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,90 days,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,,,,61.2,,Europe,Oats,Faba bean,cereal,legume,0,0,Mixed,400,60,750,130,,80,40,40,40,40,kg N ha-1,4,4,4,4,"Table 4, Table 5",975.1,698.8,923.5,115.5,g/m2,0.8,0.16,0.96
