paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,null,Split-split plot design with three replications,20 June 1985,20 June 1985,null,null,,13.25,2.3,Africa,Vigna unguiculata,Pennisetum glaucum,legume,cereal,1,0,Row,,,,,,,,,,,,3,3,3,3,Table 1,0.6,1.38,0.35,1.06,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,null,Split-split plot design with three replications,26 June 1985,20 June 1985,null,null,,13.25,2.3,Africa,Vigna unguiculata,Pennisetum glaucum,legume,cereal,1,0,Row,,,,,,,,,,,,3,3,3,3,Table 1,0.6,1.38,0.2,1.26,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,null,Split-split plot design with three replications,15 July 1985,20 June 1985,null,null,,13.25,2.3,Africa,Vigna unguiculata,Pennisetum glaucum,legume,cereal,1,0,Row,,,,,,,,,,,,3,3,3,3,Table 1,0.6,1.38,0.07,1.32,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,null,Split-split plot design with three replications,20 June 1985,20 June 1985,null,null,,13.25,2.3,Africa,Vigna unguiculata,Pennisetum glaucum,legume,cereal,1,0,Row,,,,,,,,,,,,3,3,3,3,Table 1,0.93,1.38,0.49,1.04,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,null,Split-split plot design with three replications,26 June 1985,20 June 1985,null,null,,13.25,2.3,Africa,Vigna unguiculata,Pennisetum glaucum,legume,cereal,1,0,Row,,,,,,,,,,,,3,3,3,3,Table 1,0.93,1.38,0.24,1.21,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,null,Split-split plot design with three replications,15 July 1985,20 June 1985,null,null,,13.25,2.3,Africa,Vigna unguiculata,Pennisetum glaucum,legume,cereal,1,0,Row,,,,,,,,,,,,3,3,3,3,Table 1,0.93,1.38,0.08,1.31,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,null,Split-split plot design with three replications,20 June 1985,20 June 1985,null,null,,13.25,2.3,Africa,Vigna unguiculata,Pennisetum glaucum,legume,cereal,1,0,Row,,,,,,,,,,,,3,3,3,3,Table 1,,1.38,,2.27,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,null,Split-split plot design with three replications,26 June 1985,20 June 1985,null,null,,13.25,2.3,Africa,Vigna unguiculata,Pennisetum glaucum,legume,cereal,1,0,Row,,,,,,,,,,,,3,3,3,3,Table 1,,1.38,,1.97,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,null,Split-split plot design with three replications,15 July 1985,20 June 1985,null,null,,13.25,2.3,Africa,Vigna unguiculata,Pennisetum glaucum,legume,cereal,1,0,Row,,,,,,,,,,,,3,3,3,3,Table 1,,1.38,,0.59,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1986,null,Split-split plot design with three replications,17 June 1986,17 June 1986,null,null,,13.25,2.3,Africa,Vigna unguiculata,Pennisetum glaucum,legume,cereal,1,0,Row,,,,,,,,,,,,3,3,3,3,Table 1,0.4,1.1,0.15,0.98,t/ha,,,
