paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,mas,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1997,3-year period,Randomized Complete Block Design (RCBD),Oryza sativa sown 18 June 1997,Cajanus cajan sown 18 June 1997,null,null,,7.87,-5.1,Africa,Oryza sativa,Cajanus cajan,cereal,legume,0,1,Row,60,40,60,40,,30,,30,,30,kg N ha−1,3,3,3,3,"Table 1, Figure 1, Figure 3, Section 3.1, Section 3.2",,,,,kg ha−1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,mas,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1997,3-year period,Randomized Complete Block Design (RCBD),Oryza sativa sown 18 June 1997,Cajanus cajan sown 16 June 1997,null,null,,7.87,-5.1,Africa,Oryza sativa,Cajanus cajan,cereal,legume,0,1,Row,60,40,60,40,,30,,30,,30,kg N ha−1,3,3,3,3,"Table 1, Figure 1, Figure 3, Section 3.1, Section 3.2",,,,,kg ha−1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,mas,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1997,3-year period,Randomized Complete Block Design (RCBD),Oryza sativa sown 18 June 1997,Stylosanthes hamata sown 18 June 1997,null,null,,7.87,-5.1,Africa,Oryza sativa,Stylosanthes hamata,cereal,legume,0,1,Row,60,160,60,160,,30,,30,,30,kg N ha−1,3,3,3,3,"Table 1, Figure 1, Figure 3, Section 3.1, Section 3.2",,,,,kg ha−1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,mas,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1997,3-year period,Randomized Complete Block Design (RCBD),Oryza sativa sown 18 June 1997,Stylosanthes hamata sown 16 June 1997,null,null,,7.87,-5.1,Africa,Oryza sativa,Stylosanthes hamata,cereal,legume,0,1,Row,60,160,60,160,,30,,30,,30,kg N ha−1,3,3,3,3,"Table 1, Figure 1, Figure 3, Section 3.1, Section 3.2",,,,,kg ha−1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,mas,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1997,3-year period,Randomized Complete Block Design (RCBD),Oryza sativa sown 18 June 1997,Cajanus cajan sown 16 July 1997,null,null,,7.87,-5.1,Africa,Oryza sativa,Cajanus cajan,cereal,legume,0,1,Row,60,40,60,40,,30,,30,,30,kg N ha−1,3,3,3,3,"Table 1, Figure 1, Figure 3, Section 3.1, Section 3.2",,,,,kg ha−1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,mas,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1997,3-year period,Randomized Complete Block Design (RCBD),Oryza sativa sown 18 June 1997,Cajanus cajan sown 14 July 1997,null,null,,7.87,-5.1,Africa,Oryza sativa,Cajanus cajan,cereal,legume,0,1,Row,60,40,60,40,,30,,30,,30,kg N ha−1,3,3,3,3,"Table 1, Figure 1, Figure 3, Section 3.1, Section 3.2",,,,,kg ha−1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,mas,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1997,3-year period,Randomized Complete Block Design (RCBD),Oryza sativa sown 18 June 1997,Stylosanthes hamata sown 16 July 1997,null,null,,7.87,-5.1,Africa,Oryza sativa,Stylosanthes hamata,cereal,legume,0,1,Row,60,160,60,160,,30,,30,,30,kg N ha−1,3,3,3,3,"Table 1, Figure 1, Figure 3, Section 3.1, Section 3.2",,,,,kg ha−1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,mas,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1997,3-year period,Randomized Complete Block Design (RCBD),Oryza sativa sown 18 June 1997,Stylosanthes hamata sown 14 July 1997,null,null,,7.87,-5.1,Africa,Oryza sativa,Stylosanthes hamata,cereal,legume,0,1,Row,60,160,60,160,,30,,30,,30,kg N ha−1,3,3,3,3,"Table 1, Figure 1, Figure 3, Section 3.1, Section 3.2",,,,,kg ha−1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,mas,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1997,3-year period,Randomized Complete Block Design (RCBD),Oryza sativa sown 18 June 1997,Cajanus cajan sown 13 August 1997,null,null,,7.87,-5.1,Africa,Oryza sativa,Cajanus cajan,cereal,legume,0,1,Row,60,40,60,40,,30,,30,,30,kg N ha−1,3,3,3,3,"Table 1, Figure 1, Figure 3, Section 3.1, Section 3.2",,,,,kg ha−1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,mas,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1997,3-year period,Randomized Complete Block Design (RCBD),Oryza sativa sown 18 June 1997,Cajanus cajan sown 11 August 1997,null,null,,7.87,-5.1,Africa,Oryza sativa,Cajanus cajan,cereal,legume,0,1,Row,60,40,60,40,,30,,30,,30,kg N ha−1,3,3,3,3,"Table 1, Figure 1, Figure 3, Section 3.1, Section 3.2",,,,,kg ha−1,,,
