paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,mas,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1997 and 1998,spring season,randomized block design,3 January 1997,3 January 1997,121 days after sowing,121 days after sowing,,,,Asia,Sesamum indicum,Phaseolus radiatus,oilseed,legume,0,0,Row,,,,,,6,2,,,,kg N ha−1,3,3,3,3,Table 1,665,663,435,146,kg/ha,,,1.17
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,mas,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1997 and 1998,spring season,randomized block design,3 January 1997,3 January 1997,121 days after sowing,81 days after sowing,,,,Asia,Sesamum indicum,Vigna mungo,oilseed,legume,0,0,Row,,,,,,6,2,,,,kg N ha−1,3,3,3,3,Table 1,665,700,426,136,kg/ha,,,1.12
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,mas,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1997 and 1998,spring season,randomized block design,3 January 1997,3 January 1997,121 days after sowing,78 days after sowing,,,,Asia,Sesamum indicum,Arachis hypogaea,oilseed,oilseed,0,0,Row,,,,,,6,3,,,,kg N ha−1,3,3,3,3,Table 1,665,940,448,492,kg/ha,,,1.18
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,mas,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1997 and 1998,spring season,randomized block design,3 January 1997,3 January 1997,121 days after sowing,114 days after sowing,,,,Asia,Sesamum indicum,Helianthus annuus,oilseed,oilseed,0,0,Row,,,,,,6,4,,,,kg N ha−1,3,3,3,3,Table 1,665,153,414,401,kg/ha,,,1.01
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,mas,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1997 and 1998,spring season,randomized block design,3 January 1997,3 January 1997,121 days after sowing,121 days after sowing,,,,Asia,Sesamum indicum,Phaseolus radiatus,oilseed,legume,0,0,Row,,,,,,6,2,,,,kg N ha−1,3,3,3,3,Table 1,665,663,460,172,kg/ha,,,1.25
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,mas,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1997 and 1998,spring season,randomized block design,3 January 1997,3 January 1997,121 days after sowing,81 days after sowing,,,,Asia,Sesamum indicum,Vigna mungo,oilseed,legume,0,0,Row,,,,,,6,2,,,,kg N ha−1,3,3,3,3,Table 1,665,700,454,149,kg/ha,,,1.18
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,mas,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1997 and 1998,spring season,randomized block design,3 January 1997,3 January 1997,121 days after sowing,78 days after sowing,,,,Asia,Sesamum indicum,Arachis hypogaea,oilseed,oilseed,0,0,Row,,,,,,6,3,,,,kg N ha−1,3,3,3,3,Table 1,665,940,495,557,kg/ha,,,1.31
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,mas,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1997 and 1998,spring season,randomized block design,3 January 1997,3 January 1997,121 days after sowing,114 days after sowing,,,,Asia,Sesamum indicum,Helianthus annuus,oilseed,oilseed,0,0,Row,,,,,,6,4,,,,kg N ha−1,3,3,3,3,Table 1,665,153,420,417,kg/ha,,,1.03
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,mas,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1997 and 1998,spring season,randomized block design,3 January 1997,3 January 1997,121 days after sowing,121 days after sowing,,,,Asia,Sesamum indicum,Phaseolus radiatus,oilseed,legume,0,0,Row,,,,,,6,2,,,,kg N ha−1,3,3,3,3,Table 1,665,663,435,146,kg/ha,,,1.17
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,mas,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1997 and 1998,spring season,randomized block design,3 January 1997,3 January 1997,121 days after sowing,81 days after sowing,,,,Asia,Sesamum indicum,Vigna mungo,oilseed,legume,0,0,Row,,,,,,6,2,,,,kg N ha−1,3,3,3,3,Table 1,665,700,426,136,kg/ha,,,1.12
