paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-1999,2 growing seasons,Randomized Complete Block Design (RCBD),10 October 1998,10 October 1998,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lens culinaris,Triticum aestivum,legume,cereal,0,0,Row,,,,,,25,25,25,25,25,kg N ha-1,3,3,3,3,"Table 1, Table 2, Table 3",835.0,4192.0,268.0,646.0,kg/ha,0.32,0.26,0.58
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-1999,2 growing seasons,Randomized Complete Block Design (RCBD),10 October 1998,10 October 1998,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lens culinaris,Triticum aestivum,legume,cereal,0,0,Row,,,,,,25,25,25,25,25,kg N ha-1,3,3,3,3,"Table 1, Table 2, Table 3",835.0,4192.0,225.0,944.0,kg/ha,0.27,0.43,0.7
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-1999,2 growing seasons,Randomized Complete Block Design (RCBD),10 October 1998,10 October 1998,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lens culinaris,Triticum aestivum,legume,cereal,0,0,Row,,,,,,25,25,25,25,25,kg N ha-1,3,3,3,3,"Table 1, Table 2, Table 3",835.0,4192.0,200.0,860.0,kg/ha,0.24,0.79,1.03
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,2 growing seasons,Randomized Complete Block Design (RCBD),11 October 1999,11 October 1999,13 July 2000,26 July 2000,,38.4167,43.0333,Asia,Lens culinaris,Triticum aestivum,legume,cereal,0,0,Row,,,,,,25,25,25,25,25,kg N ha-1,3,3,3,3,"Table 1, Table 2, Table 3",570.0,6250.0,373.5,1280.0,kg/ha,0.66,0.3,0.96
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,2 growing seasons,Randomized Complete Block Design (RCBD),11 October 1999,11 October 1999,13 July 2000,26 July 2000,,38.4167,43.0333,Asia,Lens culinaris,Triticum aestivum,legume,cereal,0,0,Row,,,,,,25,25,25,25,25,kg N ha-1,3,3,3,3,"Table 1, Table 2, Table 3",570.0,6250.0,319.5,2155.0,kg/ha,0.56,0.5,1.06
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,2 growing seasons,Randomized Complete Block Design (RCBD),11 October 1999,11 October 1999,13 July 2000,26 July 2000,,38.4167,43.0333,Asia,Lens culinaris,Triticum aestivum,legume,cereal,0,0,Row,,,,,,25,25,25,25,25,kg N ha-1,3,3,3,3,"Table 1, Table 2, Table 3",570.0,6250.0,201.0,1117.0,kg/ha,0.35,0.53,0.88
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-1999,2 growing seasons,Randomized Complete Block Design (RCBD),10 October 1998,10 October 1998,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lens culinaris,Hordeum vulgare,legume,cereal,0,0,Row,,,,,,25,25,25,25,25,kg N ha-1,3,3,3,3,"Table 1, Table 2, Table 3",835.0,5740.0,342.0,1517.0,kg/ha,0.41,0.3,0.71
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-1999,2 growing seasons,Randomized Complete Block Design (RCBD),10 October 1998,10 October 1998,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lens culinaris,Hordeum vulgare,legume,cereal,0,0,Row,,,,,,25,25,25,25,25,kg N ha-1,3,3,3,3,"Table 1, Table 2, Table 3",835.0,5740.0,170.0,2180.0,kg/ha,0.41,0.38,0.79
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-1999,2 growing seasons,Randomized Complete Block Design (RCBD),10 October 1998,10 October 1998,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lens culinaris,Hordeum vulgare,legume,cereal,0,0,Row,,,,,,25,25,25,25,25,kg N ha-1,3,3,3,3,"Table 1, Table 2, Table 3",835.0,5740.0,150.0,3507.0,kg/ha,0.2,0.53,0.73
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,2 growing seasons,Randomized Complete Block Design (RCBD),11 October 1999,11 October 1999,13 July 2000,26 July 2000,,38.4167,43.0333,Asia,Lens culinaris,Hordeum vulgare,legume,cereal,0,0,Row,,,,,,25,25,25,25,25,kg N ha-1,3,3,3,3,"Table 1, Table 2, Table 3",570.0,5185.3,282.0,1650.3,kg/ha,0.49,0.34,0.83
