paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99 and 1999-2000,,randomized complete block with 3 replications,10 October (first year) and 11 October (second year),10 October (first year) and 11 October (second year),10 July (1999) and 13 July (2000),21 July (1999) and 26 July (2000),,38.4167,43.0333,Asia,Lens culinaris,Triticum aestivum,legume,cereal,0,0,Row,,,120,120,,25,25,25,25,25,kg N ha−1,3,3,3,3,"Table 1, Table 2, Table 3",835,1087,268,290,kg/ha,0.32,0.26,0.58
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99 and 1999-2000,,randomized complete block with 3 replications,10 October (first year) and 11 October (second year),10 October (first year) and 11 October (second year),10 July (1999) and 13 July (2000),21 July (1999) and 26 July (2000),,38.4167,43.0333,Asia,Lens culinaris,Triticum aestivum,legume,cereal,0,0,Row,,,120,120,,25,25,25,25,25,kg N ha−1,3,3,3,3,"Table 1, Table 2, Table 3",576,2123.3,373.5,627.3,kg/ha,0.66,0.3,0.96
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99 and 1999-2000,,randomized complete block with 3 replications,10 October (first year) and 11 October (second year),10 October (first year) and 11 October (second year),10 July (1999) and 13 July (2000),21 July (1999) and 26 July (2000),,38.4167,43.0333,Asia,Lens culinaris,Triticum aestivum,legume,cereal,0,0,Row,,,120,120,,25,25,25,25,25,kg N ha−1,3,3,3,3,"Table 1, Table 2, Table 3",835,1087,225,483,kg/ha,0.27,0.43,0.7
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99 and 1999-2000,,randomized complete block with 3 replications,10 October (first year) and 11 October (second year),10 October (first year) and 11 October (second year),10 July (1999) and 13 July (2000),21 July (1999) and 26 July (2000),,38.4167,43.0333,Asia,Lens culinaris,Triticum aestivum,legume,cereal,0,0,Row,,,120,120,,25,25,25,25,25,kg N ha−1,3,3,3,3,"Table 1, Table 2, Table 3",576,2123.3,319.5,1069,kg/ha,0.56,0.5,1.06
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99 and 1999-2000,,randomized complete block with 3 replications,10 October (first year) and 11 October (second year),10 October (first year) and 11 October (second year),10 July (1999) and 13 July (2000),21 July (1999) and 26 July (2000),,38.4167,43.0333,Asia,Lens culinaris,Triticum aestivum,legume,cereal,0,0,Row,,,120,120,,25,25,25,25,25,kg N ha−1,3,3,3,3,"Table 1, Table 2, Table 3",835,1087,200,860,kg/ha,0.24,0.79,1.03
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99 and 1999-2000,,randomized complete block with 3 replications,10 October (first year) and 11 October (second year),10 October (first year) and 11 October (second year),10 July (1999) and 13 July (2000),21 July (1999) and 26 July (2000),,38.4167,43.0333,Asia,Lens culinaris,Triticum aestivum,legume,cereal,0,0,Row,,,120,120,,25,25,25,25,25,kg N ha−1,3,3,3,3,"Table 1, Table 2, Table 3",576,2123.3,201,1117,kg/ha,0.35,0.53,0.88
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99 and 1999-2000,,randomized complete block with 3 replications,10 October (first year) and 11 October (second year),10 October (first year) and 11 October (second year),10 July (1999) and 13 July (2000),21 July (1999) and 26 July (2000),,38.4167,43.0333,Asia,Lens culinaris,Hordeum vulgare,legume,cereal,0,0,Row,,,120,170,,25,25,25,25,25,kg N ha−1,3,3,3,3,"Table 1, Table 2, Table 3",835,2233,342,840,kg/ha,0.41,0.3,0.71
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99 and 1999-2000,,randomized complete block with 3 replications,10 October (first year) and 11 October (second year),10 October (first year) and 11 October (second year),10 July (1999) and 13 July (2000),21 July (1999) and 26 July (2000),,38.4167,43.0333,Asia,Lens culinaris,Hordeum vulgare,legume,cereal,0,0,Row,,,120,170,,25,25,25,25,25,kg N ha−1,3,3,3,3,"Table 1, Table 2, Table 3",576,1991,282,701.7,kg/ha,0.49,0.34,0.83
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99 and 1999-2000,,randomized complete block with 3 replications,10 October (first year) and 11 October (second year),10 October (first year) and 11 October (second year),10 July (1999) and 13 July (2000),21 July (1999) and 26 July (2000),,38.4167,43.0333,Asia,Lens culinaris,Hordeum vulgare,legume,cereal,0,0,Row,,,120,170,,25,25,25,25,25,kg N ha−1,3,3,3,3,"Table 1, Table 2, Table 3",835,2233,170,1173,kg/ha,0.41,0.38,0.79
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99 and 1999-2000,,randomized complete block with 3 replications,10 October (first year) and 11 October (second year),10 October (first year) and 11 October (second year),10 July (1999) and 13 July (2000),21 July (1999) and 26 July (2000),,38.4167,43.0333,Asia,Lens culinaris,Hordeum vulgare,legume,cereal,0,0,Row,,,120,170,,25,25,25,25,25,kg N ha−1,3,3,3,3,"Table 1, Table 2, Table 3",576,1991,273,1281.7,kg/ha,0.48,0.35,0.83
