paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,mas,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,Zea mays sown 25 May,Phaseolus vulgaris sown 25 May,Zea mays harvested 138 days after sowing,Phaseolus vulgaris harvested 127 days after sowing,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,60000,55000,240000,,0,0,0,0,0,kg N ha-1,3,3,3,3,Table 1,5.828,4.972,3.777,1.62,kg ha-1,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,mas,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,Zea mays sown 25 May,Phaseolus vulgaris sown 25 May,Zea mays harvested 138 days after sowing,Phaseolus vulgaris harvested 127 days after sowing,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,60000,55000,240000,,50,0,50,0,50,kg N ha-1,3,3,3,3,Table 1,6.703,4.972,5.567,1.599,kg ha-1,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,mas,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,Zea mays sown 25 May,Phaseolus vulgaris sown 25 May,Zea mays harvested 138 days after sowing,Phaseolus vulgaris harvested 127 days after sowing,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,60000,55000,240000,,100,0,100,0,100,kg N ha-1,3,3,3,3,Table 1,7.029,4.972,6.035,1.69,kg ha-1,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,mas,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,Zea mays sown 25 May,Phaseolus vulgaris sown 25 May,Zea mays harvested 138 days after sowing,Phaseolus vulgaris harvested 127 days after sowing,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,120000,55000,240000,,0,0,0,0,0,kg N ha-1,3,3,3,3,Table 1,5.828,4.972,3.833,2.636,kg ha-1,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,mas,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,Zea mays sown 25 May,Phaseolus vulgaris sown 25 May,Zea mays harvested 138 days after sowing,Phaseolus vulgaris harvested 127 days after sowing,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,120000,55000,240000,,50,0,50,0,50,kg N ha-1,3,3,3,3,Table 1,6.703,4.972,5.486,2.327,kg ha-1,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,mas,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,Zea mays sown 25 May,Phaseolus vulgaris sown 25 May,Zea mays harvested 138 days after sowing,Phaseolus vulgaris harvested 127 days after sowing,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,120000,55000,240000,,100,0,100,0,100,kg N ha-1,3,3,3,3,Table 1,7.029,4.972,6.455,2.505,kg ha-1,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,mas,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,Zea mays sown 25 May,Phaseolus vulgaris sown 25 May,Zea mays harvested 138 days after sowing,Phaseolus vulgaris harvested 127 days after sowing,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,180000,55000,240000,,0,0,0,0,0,kg N ha-1,3,3,3,3,Table 1,5.828,4.972,3.155,3.207,kg ha-1,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,mas,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,Zea mays sown 25 May,Phaseolus vulgaris sown 25 May,Zea mays harvested 138 days after sowing,Phaseolus vulgaris harvested 127 days after sowing,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,180000,55000,240000,,50,0,50,0,50,kg N ha-1,3,3,3,3,Table 1,6.703,4.972,4.867,3.477,kg ha-1,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,mas,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,Zea mays sown 25 May,Phaseolus vulgaris sown 25 May,Zea mays harvested 138 days after sowing,Phaseolus vulgaris harvested 127 days after sowing,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,180000,55000,240000,,100,0,100,0,100,kg N ha-1,3,3,3,3,Table 1,7.029,4.972,5.019,3.936,kg ha-1,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,mas,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,Zea mays sown 25 May,Phaseolus vulgaris sown 25 May,Zea mays harvested 138 days after sowing,Phaseolus vulgaris harvested 127 days after sowing,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,60000,55000,240000,,0,0,0,0,0,kg N ha-1,3,3,3,3,Table 1,0.889,2.251,0.661,0.686,kg ha-1,,,
