paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,null,Completely randomized block design,May,May,null,null,,55.57,-113.52,North America,Triticum aestivum,Hordeum vulgare,cereal,cereal,0,0,Row,150,150,300,300,,,,,,,kg N ha-1,4,4,4,4,"Table 1, Table 2, Table 3",4434,4814,968,4194,kg ha-1,,,1.09
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,null,Completely randomized block design,May,May,null,null,,55.57,-113.52,North America,Triticum aestivum,Brassica napus,oilseed,oilseed,0,0,Row,150,45,300,90,,,,,,,kg N ha-1,4,4,4,4,"Table 1, Table 2, Table 3",4434,1541,4990,59,kg ha-1,,,1.17
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,null,Completely randomized block design,May,May,null,null,,55.57,-113.52,North America,Triticum aestivum,Pisum sativum,cereal,legume,0,0,Row,150,37.5,300,75,,,,,,,kg N ha-1,4,4,4,4,"Table 1, Table 2, Table 3",4434,3397,4389,323,kg ha-1,,,1.09
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,null,Completely randomized block design,May,May,null,null,,55.57,-113.52,North America,Triticum aestivum,Hordeum vulgare,cereal,cereal,0,0,Row,100,100,300,300,,,,,,,kg N ha-1,4,4,4,4,"Table 1, Table 2, Table 3",4434,4814,761,4464,kg ha-1,,,1.1
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,null,Completely randomized block design,May,May,null,null,,55.57,-113.52,North America,Triticum aestivum,Hordeum vulgare,cereal,cereal,0,0,Row,100,100,300,300,,,,,,,kg N ha-1,4,4,4,4,"Table 1, Table 2, Table 3",4434,4814,684,4437,kg ha-1,,,1.13
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,null,Completely randomized block design,May,May,null,null,,55.57,-113.52,North America,Triticum aestivum,Brassica napus,oilseed,oilseed,0,0,Row,150,45,300,90,,,,,,,kg N ha-1,4,4,4,4,"Table 1, Table 2, Table 3",4434,1541,3677,100,kg ha-1,,,0.99
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,null,Completely randomized block design,May,May,null,null,,55.57,-113.52,North America,Triticum aestivum,Hordeum vulgare,cereal,cereal,0,0,Row,75,75,300,300,,,,,,,kg N ha-1,4,4,4,4,"Table 1, Table 2, Table 3",4434,4814,672,4770,kg ha-1,,,1.17
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,null,Completely randomized block design,May,May,null,null,,52.87,-112.93,North America,Triticum aestivum,Hordeum vulgare,cereal,cereal,0,0,Row,150,150,300,300,,,,,,,kg N ha-1,4,4,4,4,"Table 1, Table 2, Table 3",2065,2661,787,1582,kg ha-1,,,0.98
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,null,Completely randomized block design,May,May,null,null,,52.87,-112.93,North America,Triticum aestivum,Brassica napus,oilseed,oilseed,0,0,Row,150,45,300,90,,,,,,,kg N ha-1,4,4,4,4,"Table 1, Table 2, Table 3",2065,206,1375,41,kg ha-1,,,1.13
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,null,Completely randomized block design,May,May,null,null,,52.87,-112.93,North America,Triticum aestivum,Pisum sativum,cereal,legume,0,0,Row,150,37.5,300,75,,,,,,,kg N ha-1,4,4,4,4,"Table 1, Table 2, Table 3",2065,109,1371,88,kg ha-1,,,1.26
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,null,Completely randomized block design,May,May,null,null,,52.87,-112.93,North America,Triticum aestivum,Hordeum vulgare,cereal,cereal,0,0,Row,100,100,300,300,,,,,,,kg N ha-1,4,4,4,4,"Table 1, Table 2, Table 3",2065,2661,646,1324,kg ha-1,,,0.99
