paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982-1983,null,Randomized block design,1 December 1982,1 December 1982,27 April 1983,27 April 1983,,-36,145,Australia,Zea mays,Lablab purpureus,cereal,legume,1,1,Row,7.8,3.3,7.2,,,260,,260,260,260,kg N ha-1,4,,4,4,Table 2,20.5,,19.1,0.9,t/ha,,,
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982-1983,null,Randomized block design,1 December 1982,1 December 1982,27 April 1983,27 April 1983,,-36,145,Australia,Zea mays,Lablab purpureus,cereal,legume,1,1,Row,4.5,4.2,7.2,,,260,,260,260,260,kg N ha-1,4,,4,4,Table 2,20.5,,15.4,2.5,t/ha,,,
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982-1983,null,Randomized block design,1 December 1982,1 December 1982,27 April 1983,27 April 1983,,-36,145,Australia,Zea mays,Lablab purpureus,cereal,legume,1,1,Row,3.5,6.0,7.2,,,260,,260,260,260,kg N ha-1,4,,4,4,Table 2,20.5,,13.9,3.0,t/ha,,,
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1983-1984,null,Randomised block design,14 December 1983,14 December 1983,13 April 1984,13 April 1984,,-36,145,Australia,Zea mays,Glycine max,cereal,legume,1,1,Row,7.0,,7.0,20,,260,260,260,260,260,kg N ha-1,4,4,4,4,Table 3,17.9,7.3,17.9,,t/ha,,,1.0
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1983-1984,null,Randomised block design,14 December 1983,14 December 1983,13 April 1984,13 April 1984,,-36,145,Australia,Zea mays,Glycine max,cereal,legume,1,1,Mixed,5.0,12.0,7.0,20,,260,260,260,260,260,kg N ha-1,4,4,4,4,Table 3,17.9,7.3,15.2,1.2,t/ha,0.85,0.16,1.01
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1983-1984,null,Randomised block design,14 December 1983,14 December 1983,13 April 1984,13 April 1984,,-36,145,Australia,Zea mays,Glycine max,cereal,legume,1,1,Row,4.7,6.7,7.0,20,,260,260,260,260,260,kg N ha-1,4,4,4,4,Table 3,17.9,7.3,12.0,1.7,t/ha,0.67,0.23,0.9
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1983-1984,null,Randomised block design,14 December 1983,14 December 1983,13 April 1984,13 April 1984,,-36,145,Australia,Zea mays,Glycine max,cereal,legume,1,1,Row,3.5,10.0,7.0,20,,260,260,260,260,260,kg N ha-1,4,4,4,4,Table 3,17.9,7.3,10.9,2.5,t/ha,0.61,0.35,0.96
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1984-1985,null,Randomised block design,20 November 1984,20 November 1984,25 March 1985,25 March 1985,,-36,145,Australia,Zea mays,Glycine max,cereal,legume,1,1,Row,4.8,6.7,7.2,20,,260,260,260,260,260,kg N ha-1,3,3,3,3,Table 4,17.1,8.6,13.0,2.1,t/ha,0.76,0.24,1.0
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1984-1985,null,Randomised block design,20 November 1984,20 November 1984,25 March 1985,25 March 1985,,-36,145,Australia,Zea mays,Glycine max,cereal,legume,1,1,Row,3.6,10.0,7.2,20,,260,260,260,260,260,kg N ha-1,3,3,3,3,Table 4,17.1,8.6,10.8,3.9,t/ha,0.63,0.45,1.09
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1984-1985,null,Randomised block design,20 November 1984,20 November 1984,25 March 1985,25 March 1985,,-36,145,Australia,Zea mays,Glycine max,cereal,legume,1,1,Row,2.4,13.5,7.2,20,,260,260,260,260,260,kg N ha-1,3,3,3,3,Table 4,17.1,8.6,6.4,4.8,t/ha,0.37,0.56,0.93
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1984-1985,null,Randomised block design,20 November 1984,20 November 1984,25 March 1985,25 March 1985,,-36,145,Australia,Zea mays,Lablab purpureus,cereal,legume,1,1,Row,7.2,10.0,7.2,20,,260,260,260,260,260,kg N ha-1,3,3,3,3,Table 4,17.1,8.3,15.8,0.8,t/ha,0.92,0.1,1.03
