paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005,null,Randomized Complete Block Design (RCBD),Early May,Early May,null,null,,38.15,46.17,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,Row,5.3,55,5.3,55,,150,150,150,150,150,kg N ha-1,3,3,3,3,"Table 2, Table 3, Table 5",16.01,3.037,13.54,1.268,ton/ha,0.83,0.42,1.25
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005,null,Randomized Complete Block Design (RCBD),Early May,Early May,null,null,,38.15,46.17,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,Row,5.3,45,5.3,45,,150,150,150,150,150,kg N ha-1,3,3,3,3,"Table 2, Table 3, Table 5",15.77,2.787,13.77,1.108,ton/ha,0.85,0.39,1.24
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005,null,Randomized Complete Block Design (RCBD),Early May,Early May,null,null,,38.15,46.17,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,Row,4.7,55,4.7,55,,150,150,150,150,150,kg N ha-1,3,3,3,3,"Table 2, Table 3, Table 5",16.01,3.037,12.55,1.322,ton/ha,0.79,0.44,1.23
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005,null,Randomized Complete Block Design (RCBD),Early May,Early May,null,null,,38.15,46.17,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,Row,4.7,45,4.7,45,,150,150,150,150,150,kg N ha-1,3,3,3,3,"Table 2, Table 3, Table 5",15.77,2.787,12.9,1.16,ton/ha,0.8,0.41,1.21
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005,null,Randomized Complete Block Design (RCBD),Early May,Early May,null,null,,38.15,46.17,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,Row,5.3,55,5.3,55,,150,150,150,150,150,kg N ha-1,3,3,3,3,"Table 2, Table 3, Table 5",16.01,3.037,14.36,0.8917,ton/ha,0.88,0.29,1.17
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005,null,Randomized Complete Block Design (RCBD),Early May,Early May,null,null,,38.15,46.17,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,Row,5.3,45,5.3,45,,150,150,150,150,150,kg N ha-1,3,3,3,3,"Table 2, Table 3, Table 5",15.77,2.787,14.83,0.793,ton/ha,0.91,0.28,1.19
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005,null,Randomized Complete Block Design (RCBD),Early May,Early May,null,null,,38.15,46.17,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,Row,4.7,55,4.7,55,,150,150,150,150,150,kg N ha-1,3,3,3,3,"Table 2, Table 3, Table 5",16.01,3.037,13.49,0.9392,ton/ha,0.85,0.31,1.16
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005,null,Randomized Complete Block Design (RCBD),Early May,Early May,null,null,,38.15,46.17,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,Row,4.7,45,4.7,45,,150,150,150,150,150,kg N ha-1,3,3,3,3,"Table 2, Table 3, Table 5",15.77,2.787,13.76,0.8195,ton/ha,0.86,0.3,1.16
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2006,null,Randomized Complete Block Design (RCBD),Early May,Early May,null,null,,38.15,46.17,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,Row,5.3,55,5.3,55,,150,150,150,150,150,kg N ha-1,3,3,3,3,"Table 2, Table 3, Table 5",16.01,3.037,13.54,1.268,ton/ha,0.86,0.41,1.27
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2006,null,Randomized Complete Block Design (RCBD),Early May,Early May,null,null,,38.15,46.17,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,Row,5.3,45,5.3,45,,150,150,150,150,150,kg N ha-1,3,3,3,3,"Table 2, Table 3, Table 5",15.77,2.787,13.77,1.108,ton/ha,0.87,0.37,1.24
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2006,null,Randomized Complete Block Design (RCBD),Early May,Early May,null,null,,38.15,46.17,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,Row,4.7,55,4.7,55,,150,150,150,150,150,kg N ha-1,3,3,3,3,"Table 2, Table 3, Table 5",16.01,3.037,12.55,1.322,ton/ha,0.8,0.42,1.22
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2006,null,Randomized Complete Block Design (RCBD),Early May,Early May,null,null,,38.15,46.17,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,Row,4.7,45,4.7,45,,150,150,150,150,150,kg N ha-1,3,3,3,3,"Table 2, Table 3, Table 5",15.77,2.787,12.9,1.16,ton/ha,0.82,0.39,1.21
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2006,null,Randomized Complete Block Design (RCBD),Early May,Early May,null,null,,38.15,46.17,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,Row,5.3,55,5.3,55,,150,150,150,150,150,kg N ha-1,3,3,3,3,"Table 2, Table 3, Table 5",16.01,3.037,14.36,0.8917,ton/ha,0.91,0.29,1.2
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2006,null,Randomized Complete Block Design (RCBD),Early May,Early May,null,null,,38.15,46.17,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,Row,5.3,45,5.3,45,,150,150,150,150,150,kg N ha-1,3,3,3,3,"Table 2, Table 3, Table 5",15.77,2.787,14.83,0.793,ton/ha,0.94,0.27,1.21
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2006,null,Randomized Complete Block Design (RCBD),Early May,Early May,null,null,,38.15,46.17,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,Row,4.7,55,4.7,55,,150,150,150,150,150,kg N ha-1,3,3,3,3,"Table 2, Table 3, Table 5",16.01,3.037,13.49,0.9392,ton/ha,0.85,0.32,1.17
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2006,null,Randomized Complete Block Design (RCBD),Early May,Early May,null,null,,38.15,46.17,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,Row,4.7,45,4.7,45,,150,150,150,150,150,kg N ha-1,3,3,3,3,"Table 2, Table 3, Table 5",15.77,2.787,13.76,0.8195,ton/ha,0.88,0.27,1.15
