paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,mas,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,Randomized Complete Block Design (RCBD),Early May,Early May,,,,38.25,46.28,Asia,Solanum tuberosum,Phaseolus vulgaris,root crop,legume,0,0,Row,,,5.3,,,,,,,,,3,3,3,3,Table 2,1.595,,,,kg/m²,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,mas,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,Randomized Complete Block Design (RCBD),Early May,Early May,,,,38.25,46.28,Asia,Solanum tuberosum,Phaseolus vulgaris,root crop,legume,0,0,Row,,,4.7,,,,,,,,,3,3,3,3,Table 2,1.577,,,,kg/m²,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,mas,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,Randomized Complete Block Design (RCBD),Early May,Early May,,,,38.25,46.28,Asia,Solanum tuberosum,Phaseolus vulgaris,root crop,legume,0,0,Row,,,,55,,,,,,,,3,3,3,3,Table 4,,303.7,,,g/m²,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,mas,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,Randomized Complete Block Design (RCBD),Early May,Early May,,,,38.25,46.28,Asia,Solanum tuberosum,Phaseolus vulgaris,root crop,legume,0,0,Row,,,,45,,,,,,,,3,3,3,3,Table 4,,288.06,,,g/m²,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,mas,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,Randomized Complete Block Design (RCBD),Early May,Early May,,,,38.25,46.28,Asia,Solanum tuberosum,Phaseolus vulgaris,root crop,legume,0,0,Row,5.3,55,5.3,55,,,,,,,,3,3,3,3,"Table 2, Table 4, Table 5",1.595,303.7,2.032,372.66,"kg/m² (Potato), g/m² (Bean)",0.83,0.42,1.25
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,mas,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,Randomized Complete Block Design (RCBD),Early May,Early May,,,,38.25,46.28,Asia,Solanum tuberosum,Phaseolus vulgaris,root crop,legume,0,0,Row,5.3,45,5.3,45,,,,,,,,3,3,3,3,"Table 2, Table 4, Table 5",1.577,288.06,2.067,326.73,"kg/m² (Potato), g/m² (Bean)",0.85,0.39,1.24
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,mas,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,Randomized Complete Block Design (RCBD),Early May,Early May,,,,38.25,46.28,Asia,Solanum tuberosum,Phaseolus vulgaris,root crop,legume,0,0,Row,4.7,55,4.7,55,,,,,,,,3,3,3,3,"Table 2, Table 4, Table 5",1.577,303.7,1.884,389.01,"kg/m² (Potato), g/m² (Bean)",0.79,0.44,1.23
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,mas,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,Randomized Complete Block Design (RCBD),Early May,Early May,,,,38.25,46.28,Asia,Solanum tuberosum,Phaseolus vulgaris,root crop,legume,0,0,Row,4.7,45,4.7,45,,,,,,,,3,3,3,3,"Table 2, Table 4, Table 5",1.577,288.06,1.935,341.33,"kg/m² (Potato), g/m² (Bean)",0.8,0.41,1.21
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,mas,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,Randomized Complete Block Design (RCBD),Early May,Early May,,,,38.25,46.28,Asia,Solanum tuberosum,Phaseolus vulgaris,root crop,legume,0,0,Row,5.3,55,5.3,55,,,,,,,,3,3,3,3,"Table 2, Table 4, Table 5",1.595,303.7,1.915,357,"kg/m² (Potato), g/m² (Bean)",0.88,0.29,1.17
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,mas,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,Randomized Complete Block Design (RCBD),Early May,Early May,,,,38.25,46.28,Asia,Solanum tuberosum,Phaseolus vulgaris,root crop,legume,0,0,Row,5.3,45,5.3,45,,,,,,,,3,3,3,3,"Table 2, Table 4, Table 5",1.595,288.06,1.977,317.63,"kg/m² (Potato), g/m² (Bean)",0.91,0.28,1.19
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,mas,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,Randomized Complete Block Design (RCBD),Early May,Early May,,,,38.25,46.28,Asia,Solanum tuberosum,Phaseolus vulgaris,root crop,legume,0,0,Row,4.7,55,4.7,55,,,,,,,,3,3,3,3,"Table 2, Table 4, Table 5",1.577,303.7,1.8,374.66,"kg/m² (Potato), g/m² (Bean)",0.85,0.31,1.16
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,mas,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,Randomized Complete Block Design (RCBD),Early May,Early May,,,,38.25,46.28,Asia,Solanum tuberosum,Phaseolus vulgaris,root crop,legume,0,0,Row,4.7,45,4.7,45,,,,,,,,3,3,3,3,"Table 2, Table 4, Table 5",1.577,288.06,1.832,329.66,"kg/m² (Potato), g/m² (Bean)",0.86,0.3,1.16
