paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/1983,null,Randomized Complete Block Design,null,null,null,null,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,13,6,14,27,,,,,,,,,,,,"Table 1, Table 4",605,387,230,288,kg/ha,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/1983,null,Randomized Complete Block Design,null,null,null,null,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,23,12,42,27,,,,,,,,,,,,"Table 1, Table 4",286,238,142,152,kg/ha,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/1983,null,Randomized Complete Block Design,null,null,null,null,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,42,16,42,27,,,,,,,,,,,,"Table 1, Table 4",277,238,142,152,kg/ha,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/1983,null,Randomized Complete Block Design,null,null,null,null,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,26,12,50,27,,,,,,,,,,,,"Table 1, Table 4",207,238,91,226,kg/ha,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/1983,null,Randomized Complete Block Design,null,null,null,null,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,47,23,50,27,,,,,,,,,,,,"Table 1, Table 4",207,238,91,226,kg/ha,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/1983,null,Randomized Complete Block Design,null,null,null,null,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,92,36,92,27,,,,,,,,,,,,"Table 1, Table 4",220,238,6,128,kg/ha,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1983/1984,null,Randomized Complete Block Design,null,null,null,null,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,13,6,14,27,,,,,,,,,,,,"Table 1, Table 4",135,0,80,0,kg/ha,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1983/1984,null,Randomized Complete Block Design,null,null,null,null,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,23,12,42,27,,,,,,,,,,,,"Table 1, Table 4",37,0,81,0,kg/ha,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1983/1984,null,Randomized Complete Block Design,null,null,null,null,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,42,16,42,27,,,,,,,,,,,,"Table 1, Table 4",37,0,81,0,kg/ha,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1983/1984,null,Randomized Complete Block Design,null,null,null,null,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,26,12,50,27,,,,,,,,,,,,"Table 1, Table 4",7,0,7,0,kg/ha,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1983/1984,null,Randomized Complete Block Design,null,null,null,null,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,47,23,50,27,,,,,,,,,,,,"Table 1, Table 4",9,0,9,0,kg/ha,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1983/1984,null,Randomized Complete Block Design,null,null,null,null,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,92,36,92,27,,,,,,,,,,,,"Table 1, Table 4",26,0,26,0,kg/ha,,,
