paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,mas,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,additive experimental design,Sorghum bicolor sown 1982/3,Vigna unguiculata sown 1982/3,Sorghum bicolor harvested 1982/3,Vigna unguiculata harvested 1982/3,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,13,0,13,0,,,,,,,,,,,,"Table 1, Table 4",605,,231,288,kg ha-1,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,mas,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,additive experimental design,Sorghum bicolor sown 1982/3,Vigna unguiculata sown 1982/3,Sorghum bicolor harvested 1982/3,Vigna unguiculata harvested 1982/3,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,53,0,53,0,,,,,,,,,,,,"Table 1, Table 4",475,,28,158,kg ha-1,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,mas,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,additive experimental design,Sorghum bicolor sown 1982/3,Vigna unguiculata sown 1982/3,Sorghum bicolor harvested 1982/3,Vigna unguiculata harvested 1982/3,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,53,0,53,0,,,,,,,,,,,,"Table 1, Table 4",562,,52,257,kg ha-1,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,mas,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,additive experimental design,Sorghum bicolor sown 1982/3,Vigna unguiculata sown 1982/3,Sorghum bicolor harvested 1982/3,Vigna unguiculata harvested 1982/3,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,107,0,107,0,,,,,,,,,,,,"Table 1, Table 4",483,,54,21,kg ha-1,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,mas,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,additive experimental design,Sorghum bicolor sown 1982/3,Vigna unguiculata sown 1982/3,Sorghum bicolor harvested 1982/3,Vigna unguiculata harvested 1982/3,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,0,27,0,27,,,,,,,,,,,,"Table 1, Table 4",,387,,387,kg ha-1,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,mas,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,additive experimental design,Sorghum bicolor sown 1982/3,Vigna unguiculata sown 1982/3,Sorghum bicolor harvested 1982/3,Vigna unguiculata harvested 1982/3,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,13,7,13,7,,,,,,,,,,,,"Table 1, Table 4",605,387,231,288,kg ha-1,0.54,0.55,1.09
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,mas,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,additive experimental design,Sorghum bicolor sown 1982/3,Vigna unguiculata sown 1982/3,Sorghum bicolor harvested 1982/3,Vigna unguiculata harvested 1982/3,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,27,13,27,27,,,,,,,,,,,,"Table 1, Table 4",475,387,142,152,kg ha-1,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,mas,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,additive experimental design,Sorghum bicolor sown 1982/3,Vigna unguiculata sown 1982/3,Sorghum bicolor harvested 1982/3,Vigna unguiculata harvested 1982/3,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,53,27,53,27,,,,,,,,,,,,"Table 1, Table 4",475,387,215,141,kg ha-1,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,mas,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,additive experimental design,Sorghum bicolor sown 1982/3,Vigna unguiculata sown 1982/3,Sorghum bicolor harvested 1982/3,Vigna unguiculata harvested 1982/3,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,27,13,27,27,,,,,,,,,,,,"Table 1, Table 4",562,387,52,257,kg ha-1,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,mas,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,additive experimental design,Sorghum bicolor sown 1982/3,Vigna unguiculata sown 1982/3,Sorghum bicolor harvested 1982/3,Vigna unguiculata harvested 1982/3,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,53,27,53,27,,,,,,,,,,,,"Table 1, Table 4",562,387,55,318,kg ha-1,,,
