paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,static_workflow,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,Additive experimental design,,,,,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,,,14,,,,,,,,,,,,,"Table 3, Table 4",1833,,,,kg ha-1,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,static_workflow,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,Additive experimental design,,,,,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,,,42,,,,,,,,,,,,,"Table 3, Table 4",475,,,,kg ha-1,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,static_workflow,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,Additive experimental design,,,,,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,,,50,,,,,,,,,,,,,"Table 3, Table 4",562,,,,kg ha-1,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,static_workflow,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,Additive experimental design,,,,,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,,,92,,,,,,,,,,,,,"Table 3, Table 4",483,,,,kg ha-1,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,static_workflow,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,Additive experimental design,,,,,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,,,,27,,,,,,,,,,,,"Table 3, Table 4",,387,,,kg ha-1,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,static_workflow,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,Additive experimental design,,,,,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,13,6,,,,,,,,,,,,,,"Table 3, Table 4",,,230,288,kg ha-1,0.54,0.55,1.09
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,static_workflow,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,Additive experimental design,,,,,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,23,12,,,,,,,,,,,,,,Table 4,,,208,158,kg ha-1,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,static_workflow,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,Additive experimental design,,,,,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,42,16,,,,,,,,,,,,,,Table 4,,,215,140,kg ha-1,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,static_workflow,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,Additive experimental design,,,,,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,26,12,,,,,,,,,,,,,,Table 4,,,52,257,kg ha-1,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,static_workflow,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,Additive experimental design,,,,,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,47,23,,,,,,,,,,,,,,Table 4,,,55,318,kg ha-1,,,
