paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,Randomized split-plot design,16 April 1980,16 April 1980,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0.0,Mixed,30.0,154.0,63.0,275.0,,5.0,5.0,5.0,5.0,5.0,g N m-2,3.0,3.0,3.0,3.0,Table 3,456.0,412.0,,,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,Randomized split-plot design,16 April 1980,16 April 1980,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0.0,Mixed,30.0,154.0,63.0,275.0,,5.0,5.0,5.0,5.0,5.0,g N m-2,3.0,3.0,3.0,3.0,Table 3,357.0,550.0,,,g DM m-2,,,1.06
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,Randomized split-plot design,13 April 1981,13 April 1981,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0.0,Mixed,35.0,185.0,65.0,381.0,,5.0,5.0,5.0,5.0,5.0,g N m-2,3.0,3.0,3.0,3.0,Table 3,437.0,355.0,,,g DM m-2,,,1.31
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,Randomized split-plot design,13 April 1981,13 April 1981,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0.0,Mixed,35.0,185.0,65.0,381.0,,5.0,5.0,5.0,5.0,5.0,g N m-2,3.0,3.0,3.0,3.0,Table 3,456.0,467.0,,,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,Randomized split-plot design,7 April 1982,7 April 1982,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0.0,Mixed,45.0,167.0,88.0,299.0,,5.0,5.0,5.0,5.0,5.0,g N m-2,3.0,3.0,3.0,3.0,Table 3,714.0,473.0,,,g DM m-2,,,1.17
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,Randomized split-plot design,7 April 1982,7 April 1982,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0.0,Mixed,45.0,167.0,88.0,299.0,,5.0,5.0,5.0,5.0,5.0,g N m-2,3.0,3.0,3.0,3.0,Table 3,767.0,615.0,,,g DM m-2,,,1.02
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,Randomized split-plot design,16 April 1984,16 April 1984,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0.0,Mixed,48.0,178.0,88.0,356.0,,5.0,5.0,5.0,5.0,5.0,g N m-2,4.0,4.0,4.0,4.0,Table 3,659.0,332.0,,,g DM m-2,,,1.12
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,Randomized split-plot design,16 April 1984,16 April 1984,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0.0,Mixed,48.0,178.0,88.0,356.0,,5.0,5.0,5.0,5.0,5.0,g N m-2,4.0,4.0,4.0,4.0,Table 3,661.0,579.0,,,g DM m-2,,,1.0
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,2,direct_llm,"Hauggaard-Nielsen 2001 Interspecific competition, N use and interference with weeds in pea-barley",1998,111 days,Randomised Complete Block Design (RCBD),23 April 1998,23 April 1998,,,,55.69,1.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0.0,Mixed,135.0,580.0,70.0,300.0,,0.0,10.0,0.0,10.0,10.0,kg N ha-1,8.0,8.0,8.0,8.0,"Table 2, Section 2.2, Section 3.2",2.63,3.93,0.6,3.97,t DM ha-1,,,
004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr,4,4,direct_llm,Li 2001 Wheat-maize or wheat-soybean strip intercropping I. Yield advantage and inerspecific interactions,1997-1998,,2x2x3 split-split-plot,20 March,16 April,15 July,24 September,,38.6167,102.6667,Asia,Wheat,Maize,cereal,cereal,0,0.0,Strip,7500000.0,126000.0,7500000.0,126000.0,,300.0,300.0,300.0,300.0,300.0,kg N ha-1,3.0,3.0,3.0,3.0,Table 1,5.5,12.2,8.1,11.8,t/ha,,,
004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr,4,4,direct_llm,Li 2001 Wheat-maize or wheat-soybean strip intercropping I. Yield advantage and inerspecific interactions,1997-1998,,2x2x3 split-split-plot,20 March,16 April,15 July,24 September,,38.6167,102.6667,Asia,Wheat,Maize,cereal,cereal,0,0.0,Strip,11250000.0,675000.0,11250000.0,675000.0,,300.0,300.0,300.0,300.0,300.0,kg N ha-1,3.0,3.0,3.0,3.0,Table 1,5.2,8.6,7.3,14.9,t/ha,,,
004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr,4,4,direct_llm,Li 2001 Wheat-maize or wheat-soybean strip intercropping I. Yield advantage and inerspecific interactions,1997-1998,,2x2x3 split-split-plot,20 March,16 April,15 July,24 September,,38.6167,102.6667,Asia,Wheat,Maize,cereal,cereal,0,0.0,Strip,7500000.0,126000.0,7500000.0,126000.0,,300.0,300.0,300.0,300.0,300.0,kg N ha-1,3.0,3.0,3.0,3.0,Table 1,4.7,10.8,8.4,12.9,t/ha,,,
004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr,4,4,direct_llm,Li 2001 Wheat-maize or wheat-soybean strip intercropping I. Yield advantage and inerspecific interactions,1997-1998,,2x2x3 split-split-plot,20 March,16 April,15 July,24 September,,38.6167,102.6667,Asia,Wheat,Maize,cereal,cereal,0,0.0,Strip,11250000.0,675000.0,11250000.0,675000.0,,300.0,300.0,300.0,300.0,300.0,kg N ha-1,3.0,3.0,3.0,3.0,Table 1,5.9,12.9,9.2,17.1,t/ha,,,
004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr,4,4,direct_llm,Li 2001 Wheat-maize or wheat-soybean strip intercropping I. Yield advantage and inerspecific interactions,1997-1998,,split-plot,25 March,14 April,25 July,22 September,,37.0833,104.6667,Asia,Wheat,Soybean,cereal,legume,0,0.0,Strip,6000000.0,330000.0,6000000.0,330000.0,,225.0,225.0,225.0,225.0,225.0,kg N ha-1,3.0,3.0,3.0,3.0,Table 2,5.8,1.5,7.4,1.5,t/ha,,,
004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr,4,4,direct_llm,Li 2001 Wheat-maize or wheat-soybean strip intercropping I. Yield advantage and inerspecific interactions,1997-1998,,split-plot,25 March,14 April,25 July,22 September,,37.0833,104.6667,Asia,Wheat,Soybean,cereal,legume,0,0.0,Strip,6000000.0,330000.0,6000000.0,330000.0,,225.0,225.0,225.0,225.0,225.0,kg N ha-1,3.0,3.0,3.0,3.0,Table 2,6.4,1.6,8.3,1.8,t/ha,,,
005_Li_1999_Interspecific_complementary_and_competitiv,5,5,direct_llm,Li 1999 Interspecific complementary and competitive interactions between intercropped maize and faba bean,1997,,Split-plot with three replicates,16 April 1997,27 March 1997,20 September 1997,25 July 1997,,37.0,104.4,Asia,Zea mays,Vicia faba,cereal,legume,0,0.0,Row,6.75,7.64,10.12,22.95,,225.0,225.0,225.0,225.0,225.0,kg N ha-1,3.0,3.0,3.0,3.0,"Table 1, Table 2, Materials and methods",23622.0,10870.0,27338.0,14222.0,kg DM ha-1,,,1.23
005_Li_1999_Interspecific_complementary_and_competitiv,5,5,direct_llm,Li 1999 Interspecific complementary and competitive interactions between intercropped maize and faba bean,1997,,Split-plot with three replicates,16 April 1997,27 March 1997,20 September 1997,25 July 1997,,37.0,104.4,Asia,Zea mays,Vicia faba,cereal,legume,0,0.0,Row,6.75,7.64,10.12,22.95,,225.0,225.0,225.0,225.0,225.0,kg N ha-1,3.0,3.0,3.0,3.0,"Table 1, Table 2, Materials and methods",30799.0,10914.0,33031.0,15976.0,kg DM ha-1,,,1.21
005_Li_1999_Interspecific_complementary_and_competitiv,5,5,direct_llm,Li 1999 Interspecific complementary and competitive interactions between intercropped maize and faba bean,1997,,Split-plot with three replicates,16 April 1997,27 March 1997,20 September 1997,25 July 1997,,37.0,104.4,Asia,Zea mays,Vicia faba,cereal,legume,0,0.0,Row,6.75,7.64,10.12,22.95,,225.0,225.0,225.0,225.0,225.0,kg N ha-1,3.0,3.0,3.0,3.0,"Table 2, Materials and methods",8282.0,5259.0,8928.0,6508.0,kg DM ha-1,,,1.23
005_Li_1999_Interspecific_complementary_and_competitiv,5,5,direct_llm,Li 1999 Interspecific complementary and competitive interactions between intercropped maize and faba bean,1997,,Split-plot with three replicates,16 April 1997,27 March 1997,20 September 1997,25 July 1997,,37.0,104.4,Asia,Zea mays,Vicia faba,cereal,legume,0,0.0,Row,6.75,7.64,10.12,22.95,,225.0,225.0,225.0,225.0,225.0,kg N ha-1,3.0,3.0,3.0,3.0,"Table 2, Materials and methods",9284.0,5012.0,10886.0,8202.0,kg DM ha-1,,,1.21
005_Li_1999_Interspecific_complementary_and_competitiv,5,5,direct_llm,Li 1999 Interspecific complementary and competitive interactions between intercropped maize and faba bean,1997,,Split-plot with three replicates,25 March 1997,27 March 1997,5 July 1997,25 July 1997,,37.0,104.4,Asia,Pisum sativum,Vicia faba,legume,legume,0,0.0,Row,56.0,,56.0,,,225.0,225.0,225.0,225.0,225.0,kg N ha-1,3.0,3.0,3.0,3.0,"Table 3, Materials and methods",8571.0,10914.0,8358.0,9543.0,kg DM ha-1,,,0.93
005_Li_1999_Interspecific_complementary_and_competitiv,5,5,direct_llm,Li 1999 Interspecific complementary and competitive interactions between intercropped maize and faba bean,1997,,Split-plot with three replicates,25 March 1997,27 March 1997,5 July 1997,25 July 1997,,37.0,104.4,Asia,Pisum sativum,Vicia faba,legume,legume,0,0.0,Row,56.0,,56.0,,,225.0,225.0,225.0,225.0,225.0,kg N ha-1,3.0,3.0,3.0,3.0,"Table 3, Materials and methods",3776.0,5012.0,4013.0,4784.0,kg DM ha-1,,,1.01
006_Hauggaard_Nielson_2003_The_comparison_of_nitrogen_,6,6,direct_llm,Hauggaard-Nielson 2003 The comparison of nitrogen use and leaching in sole cropped versus intercropped,1998,2 years (1998-2000),Randomized Complete Block Design (RCBD),21 April 1998,21 April 1998,13 August 1998,13 August 1998,,55.74,12.05,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0.0,Row,110.0,340.0,110.0,340.0,,0.0,0.0,0.0,0.0,0.0,kg N ha-1,6.0,6.0,6.0,6.0,"Abstract, Results, Figure 3",4.9,2.6,1.4,2.7,Mg ha-1,,,1.17
006_Hauggaard_Nielson_2003_The_comparison_of_nitrogen_,6,6,direct_llm,Hauggaard-Nielson 2003 The comparison of nitrogen use and leaching in sole cropped versus intercropped,1998,2 years (1998-2000),Randomized Complete Block Design (RCBD),21 April 1998,21 April 1998,13 August 1998,13 August 1998,,55.74,12.05,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0.0,Row,110.0,340.0,110.0,340.0,,0.0,0.0,0.0,0.0,0.0,kg N ha-1,6.0,6.0,6.0,6.0,"Abstract, Results, Figure 3",4.9,2.6,1.4,2.7,Mg ha-1,,,1.31
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,direct_llm,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1982,,Randomized split-plot design,7 April 1982,7 April 1982,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0.0,Mixed,40.0,175.0,80.0,350.0,,0.0,0.0,0.0,0.0,0.0,kg N ha-1,3.0,3.0,3.0,3.0,"Table 2, Table 3, Section 2.1, Section 2.3",,,,,Mg ha-1,,,1.22
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,direct_llm,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1982,,Randomized split-plot design,7 April 1982,7 April 1982,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0.0,Mixed,40.0,175.0,80.0,350.0,,40.0,40.0,40.0,40.0,40.0,kg N ha-1,3.0,3.0,3.0,3.0,"Table 2, Table 3, Section 2.1, Section 2.3",,,,,Mg ha-1,,,1.08
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,direct_llm,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1984,,Lattice square design,16 April 1984,16 April 1984,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0.0,Mixed,40.0,175.0,80.0,350.0,,0.0,0.0,0.0,0.0,0.0,kg N ha-1,3.0,3.0,3.0,3.0,"Table 2, Table 3, Section 2.1, Section 2.3",,,,,Mg ha-1,,,1.17
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,direct_llm,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1984,,Lattice square design,16 April 1984,16 April 1984,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0.0,Mixed,40.0,175.0,80.0,350.0,,50.0,50.0,50.0,50.0,50.0,kg N ha-1,3.0,3.0,3.0,3.0,"Table 2, Table 3, Section 2.1, Section 2.3",,,,,Mg ha-1,,,1.05
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,direct_llm,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1984,,Lattice square design,16 April 1984,16 April 1984,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0.0,Mixed,40.0,175.0,80.0,350.0,,0.0,0.0,0.0,0.0,0.0,kg N ha-1,3.0,3.0,3.0,3.0,Table 3,6.0,3.9,2.2,2.9,Mg ha-1,,,
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,direct_llm,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1984,,Lattice square design,16 April 1984,16 April 1984,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0.0,Mixed,40.0,175.0,80.0,350.0,,50.0,50.0,50.0,50.0,50.0,kg N ha-1,3.0,3.0,3.0,3.0,Table 3,5.9,5.9,1.1,4.9,Mg ha-1,,,
008_Li_et_al_2006_Root_distribution_and_interactions_b,8,8,direct_llm,Li et al 2006 Root distribution and interactions between intercropped species,1998,,Single factor field experiment with three replicates,27 March 1998,15 April 1998,20 July 1998,26 September 1998,,38.62,102.67,Asia,Triticum aestivum,Zea mays,cereal,cereal,0,0.0,Strip,,,,,,300.0,300.0,,,300.0,kg N ha-1,3.0,3.0,3.0,3.0,Table 2,4815.0,13310.0,7128.0,15430.0,kg ha-1,,,
008_Li_et_al_2006_Root_distribution_and_interactions_b,8,8,direct_llm,Li et al 2006 Root distribution and interactions between intercropped species,1998,,Single factor field experiment with three replicates,27 March 1998,15 April 1998,1 August 1998,26 September 1998,,38.62,102.67,Asia,Vicia faba,Zea mays,legume,cereal,0,0.0,Strip,76400.0,67500.0,229500.0,101200.0,,300.0,300.0,,,300.0,kg N ha-1,3.0,3.0,3.0,3.0,Table 2,6945.0,13310.0,7238.0,16410.0,kg ha-1,,,
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,9,direct_llm,"Ghosh 2004 Growth, yield, competition and economics of groundnut-cereal fodder intercropping systems",1997–1998,105 days,Completely Randomized Block Design,First week of February,First week of February,105 days after sowing,"50 days after sowing (first cut), 95 days after sowing (second cut)",,21.55,70.6,Asia,Arachis hypogaea,Zea mays,legume,cereal,0,1.0,Row,300000.0,50000.0,300000.0,50000.0,,125.0,60.0,,60.0,60.0,kg N ha−1,4.0,4.0,4.0,4.0,"Table 1, Table 2, Table 3",2.43,10.25,2.29,9.0,t ha−1,0.38,2.64,1.68
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,9,direct_llm,"Ghosh 2004 Growth, yield, competition and economics of groundnut-cereal fodder intercropping systems",1997–1998,105 days,Completely Randomized Block Design,First week of February,First week of February,105 days after sowing,"50 days after sowing (first cut), 95 days after sowing (second cut)",,21.55,70.6,Asia,Arachis hypogaea,Sorghum bicolor,legume,cereal,0,1.0,Row,300000.0,50000.0,300000.0,50000.0,,125.0,60.0,,60.0,60.0,kg N ha−1,4.0,4.0,4.0,4.0,"Table 1, Table 2, Table 3",2.43,9.1,2.2,7.98,t ha−1,0.4,2.45,1.34
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,9,direct_llm,"Ghosh 2004 Growth, yield, competition and economics of groundnut-cereal fodder intercropping systems",1997–1998,105 days,Completely Randomized Block Design,First week of February,First week of February,105 days after sowing,"50 days after sowing (first cut), 95 days after sowing (second cut)",,21.55,70.6,Asia,Arachis hypogaea,Pennisetum glaucum,legume,cereal,0,1.0,Row,300000.0,50000.0,300000.0,50000.0,,125.0,60.0,,60.0,60.0,kg N ha−1,4.0,4.0,4.0,4.0,"Table 1, Table 2, Table 3",2.43,12.6,2.19,11.81,t ha−1,0.32,3.06,1.49
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,9,direct_llm,"Ghosh 2004 Growth, yield, competition and economics of groundnut-cereal fodder intercropping systems",1997–1998,105 days,Completely Randomized Block Design,First week of February,First week of February,105 days after sowing,"50 days after sowing (first cut), 95 days after sowing (second cut)",,21.55,70.6,Asia,Arachis hypogaea,Sorghum bicolor,legume,cereal,0,1.0,Row,300000.0,50000.0,300000.0,50000.0,,125.0,80.0,,80.0,80.0,kg N ha−1,4.0,4.0,4.0,4.0,"Table 1, Table 2, Table 3",2.43,14.96,2.04,10.8,t ha−1,0.34,2.92,1.43
