paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,Randomized split-plot design,Pisum sativum sown 16 April 1980,Hordeum vulgare sown 16 April 1980,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,30,154,63,275,,,,,,,g N m-2,3.0,3.0,3.0,3.0,Table 3,456,412,139,340,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,Randomized split-plot design,Pisum sativum sown 16 April 1980,Hordeum vulgare sown 16 April 1980,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,30,154,63,275,,,,,,,g N m-2,3.0,3.0,3.0,3.0,Table 3,357,550,81,460,g DM m-2,,,1.06
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,Randomized split-plot design,Pisum sativum sown 13 April 1981,Hordeum vulgare sown 13 April 1981,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,35,185,65,381,,,,,,,g N m-2,3.0,3.0,3.0,3.0,Table 3,437,355,234,275,g DM m-2,,,1.31
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,Randomized split-plot design,Pisum sativum sown 13 April 1981,Hordeum vulgare sown 13 April 1981,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,35,185,65,381,,,,,,,g N m-2,3.0,3.0,3.0,3.0,Table 3,456,467,78,441,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,Randomized split-plot design,Pisum sativum sown 7 April 1982,Hordeum vulgare sown 7 April 1982,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,45,167,88,299,,,,,,,g N m-2,3.0,3.0,3.0,3.0,Table 3,714,473,309,349,g DM m-2,,,1.17
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,Randomized split-plot design,Pisum sativum sown 7 April 1982,Hordeum vulgare sown 7 April 1982,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,45,167,88,299,,,,,,,g N m-2,3.0,3.0,3.0,3.0,Table 3,767,615,200,465,g DM m-2,,,1.02
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,Randomized split-plot design,Pisum sativum sown 16 April 1984,Hordeum vulgare sown 16 April 1984,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,48,178,88,356,,,,,,,g N m-2,4.0,4.0,4.0,4.0,Table 3,659,332,376,185,g DM m-2,,,1.12
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,Randomized split-plot design,Pisum sativum sown 16 April 1984,Hordeum vulgare sown 16 April 1984,,,,55.68,12.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,48,178,88,356,,,,,,,g N m-2,4.0,4.0,4.0,4.0,Table 3,661,579,206,401,g DM m-2,,,1.0
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,2,mas,"Hauggaard-Nielsen 2001 Interspecific competition, N use and interference with weeds in pea-barley",1998,111 days,Randomised Complete Block Design (RCBD),Pisum sativum sown 23 April 1998,Hordeum vulgare sown 23 April 1998,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,0.45,0.45,70,300,,0,0,10,10,10,kg N ha−1,8.0,8.0,8.0,8.0,"Table 2, Section 3.2",2.63,3.93,0.6,3.97,t DM ha−1,,,1.25
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,2,mas,"Hauggaard-Nielsen 2001 Interspecific competition, N use and interference with weeds in pea-barley",1998,111 days,Randomised Complete Block Design (RCBD),Pisum sativum sown 23 April 1998,Hordeum vulgare sown 23 April 1998,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,0.45,0.45,70,300,,0,0,10,10,10,kg N ha−1,8.0,8.0,8.0,8.0,"Table 2, Section 3.2",2.63,3.93,0.6,3.97,t N ha−1,,,1.25
