paper_id,study_id,method,status,n_records,path
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,direct_llm,skipped,8,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and___direct_llm.csv
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,static_workflow,skipped,8,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and___static_workflow.csv
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,mas,skipped,8,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and___mas.csv
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,direct_llm,skipped,1,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/002_Hauggaard_Nielsen_2001_Interspecific_competition_N__direct_llm.csv
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,static_workflow,skipped,2,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/002_Hauggaard_Nielsen_2001_Interspecific_competition_N__static_workflow.csv
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,mas,skipped,2,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/002_Hauggaard_Nielsen_2001_Interspecific_competition_N__mas.csv
004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr,4,direct_llm,skipped,6,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr__direct_llm.csv
004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr,4,static_workflow,skipped,6,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr__static_workflow.csv
004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr,4,mas,skipped,6,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr__mas.csv
005_Li_1999_Interspecific_complementary_and_competitiv,5,direct_llm,skipped,6,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/005_Li_1999_Interspecific_complementary_and_competitiv__direct_llm.csv
005_Li_1999_Interspecific_complementary_and_competitiv,5,static_workflow,skipped,6,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/005_Li_1999_Interspecific_complementary_and_competitiv__static_workflow.csv
005_Li_1999_Interspecific_complementary_and_competitiv,5,mas,skipped,9,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/005_Li_1999_Interspecific_complementary_and_competitiv__mas.csv
006_Hauggaard_Nielson_2003_The_comparison_of_nitrogen_,6,static_workflow,skipped_gap,0,
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,direct_llm,skipped,6,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c__direct_llm.csv
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,static_workflow,skipped,4,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c__static_workflow.csv
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,mas,skipped,8,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c__mas.csv
008_Li_et_al_2006_Root_distribution_and_interactions_b,8,direct_llm,skipped,2,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/008_Li_et_al_2006_Root_distribution_and_interactions_b__direct_llm.csv
008_Li_et_al_2006_Root_distribution_and_interactions_b,8,static_workflow,skipped,2,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/008_Li_et_al_2006_Root_distribution_and_interactions_b__static_workflow.csv
008_Li_et_al_2006_Root_distribution_and_interactions_b,8,mas,skipped,2,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/008_Li_et_al_2006_Root_distribution_and_interactions_b__mas.csv
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,static_workflow,skipped_gap,0,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,direct_llm,skipped,8,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/010_Dhima_2006_Competition_indices_of_common_vetch_and__direct_llm.csv
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,static_workflow,skipped,8,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/010_Dhima_2006_Competition_indices_of_common_vetch_and__static_workflow.csv
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,mas,skipped,8,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/010_Dhima_2006_Competition_indices_of_common_vetch_and__mas.csv
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,direct_llm,skipped,8,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/011_Andersen_2004_Biomass_production_symbiotic_nitroge__direct_llm.csv
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,static_workflow,skipped,8,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/011_Andersen_2004_Biomass_production_symbiotic_nitroge__static_workflow.csv
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,mas,skipped,14,/home/com3dian/Github/meta_analysis_agents/outputs/surf_Qwen-Qwen3-6-35B-A3B-FP8_42fields/by_paper/011_Andersen_2004_Biomass_production_symbiotic_nitroge__mas.csv
