paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,Randomized split-plot design,16 April 1980,16 April 1980,,,,55.6833,12.0833,Europe,Hordeum vulgare,Pisum sativum,cereal,legume,0,0,Mixed,154,30,275,63,,,,5.0,5.0,,g N m-2,3,3,3,3,"Table 1, Table 2, Table 3",412.0,456.0,,479.0,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,Randomized split-plot design,16 April 1980,16 April 1980,,,,55.6833,12.0833,Europe,Hordeum vulgare,Pisum sativum,cereal,legume,0,0,Mixed,154,30,275,63,,,,5.0,5.0,,g N m-2,3,3,3,3,"Table 1, Table 2, Table 3",550.0,357.0,,541.0,g DM m-2,,,1.06
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,Randomized split-plot design,13 April 1981,13 April 1981,,,,55.6833,12.0833,Europe,Hordeum vulgare,Pisum sativum,cereal,legume,0,0,Mixed,185,35,381,65,,,,5.0,5.0,,g N m-2,3,3,3,3,"Table 1, Table 2, Table 3",355.0,437.0,,509.0,g DM m-2,,,1.31
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,Randomized split-plot design,13 April 1981,13 April 1981,,,,55.6833,12.0833,Europe,Hordeum vulgare,Pisum sativum,cereal,legume,0,0,Mixed,185,35,381,65,,,,5.0,5.0,,g N m-2,3,3,3,3,"Table 1, Table 2, Table 3",467.0,456.0,,519.0,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,Randomized split-plot design,7 April 1982,7 April 1982,,,,55.6833,12.0833,Europe,Hordeum vulgare,Pisum sativum,cereal,legume,0,0,Mixed,167,45,299,88,,,,5.0,5.0,,g N m-2,3,3,3,3,"Table 1, Table 2, Table 3",473.0,714.0,,658.0,g DM m-2,,,1.17
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,Randomized split-plot design,7 April 1982,7 April 1982,,,,55.6833,12.0833,Europe,Hordeum vulgare,Pisum sativum,cereal,legume,0,0,Mixed,167,45,299,88,,,,5.0,5.0,,g N m-2,3,3,3,3,"Table 1, Table 2, Table 3",615.0,767.0,,665.0,g DM m-2,,,1.02
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,Randomized split-plot design,16 April 1984,16 April 1984,,,,55.6833,12.0833,Europe,Hordeum vulgare,Pisum sativum,cereal,legume,0,0,Mixed,178,48,356,88,,,,5.0,5.0,,g N m-2,4,4,4,4,"Table 1, Table 2, Table 3",332.0,659.0,,561.0,g DM m-2,,,1.12
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,Randomized split-plot design,16 April 1984,16 April 1984,,,,55.6833,12.0833,Europe,Hordeum vulgare,Pisum sativum,cereal,legume,0,0,Mixed,178,48,356,88,,,,5.0,5.0,,g N m-2,4,4,4,4,"Table 1, Table 2, Table 3",579.0,661.0,,607.0,g DM m-2,,,1.0
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,2,static_workflow,"Hauggaard-Nielsen 2001 Interspecific competition, N use and interference with weeds in pea-barley",1998,111 days,complete one-factorial randomised design,23 April,1 May,111 days after emergence,111 days after emergence,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,,,70,300,,,,10.0,,,kg N ha-1,8,8,8,8,Table 2,2630.0,3927.0,604.0,3974.0,kg DM ha-1,,,1.25
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,2,static_workflow,"Hauggaard-Nielsen 2001 Interspecific competition, N use and interference with weeds in pea-barley",1998,111 days,complete one-factorial randomised design,23 April,1 May,111 days after emergence,111 days after emergence,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,,,70,300,,,,10.0,,,kg N ha-1,8,8,8,8,Table 2,2630.0,3927.0,604.0,3974.0,kg DM ha-1,,,1.29
