paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,static_workflow,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2001,,randomised complete block,June 21 in 2001,,November 20 in 2001,,,0.05,38.5,Ethiopia,barley (Hordeum vulgare L.),faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,125 kg ha-1,,125 kg ha-1,200 kg ha-1,,41/20 kg N P ha-1,18/20 kg N P ha-1,,,,kg N P ha-1,,,4,,Table 3,,,2744,1470,kg ha-1,0.88,0.39,1.07
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,static_workflow,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2002,,randomised complete block,June 22 in 2002,,November 14 in 2002,,,0.05,38.5,Ethiopia,barley (Hordeum vulgare L.),faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,125 kg ha-1,,125 kg ha-1,200 kg ha-1,,41/20 kg N P ha-1,18/20 kg N P ha-1,,,,kg N P ha-1,,,4,,Table 3,,,1488,665,kg ha-1,0.81,0.55,1.17
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,static_workflow,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2003,,randomised complete block,June 24 in 2003,,November 7 in 2003,,,0.05,38.5,Ethiopia,barley (Hordeum vulgare L.),faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,125 kg ha-1,,125 kg ha-1,200 kg ha-1,,41/20 kg N P ha-1,18/20 kg N P ha-1,,,,kg N P ha-1,,,4,,Table 3,,,1896,1320,kg ha-1,0.85,0.46,1.16
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,static_workflow,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2001-2003,,randomised complete block,,,,,,0.05,38.5,Ethiopia,barley (Hordeum vulgare L.),faba bean (Vicia faba L.),cereal,legume,0,0,Sole barley,,,125 kg ha-1,200 kg ha-1,,41/20 kg N P ha-1,18/20 kg N P ha-1,,,,kg N P ha-1,,,4,,Table 3,2396,,,,kg ha-1,1.00,,1.00
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,static_workflow,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2001-2003,,randomised complete block,,,,,,0.05,38.5,Ethiopia,barley (Hordeum vulgare L.),faba bean (Vicia faba L.),cereal,legume,0,0,Sole faba bean,,,125 kg ha-1,200 kg ha-1,,41/20 kg N P ha-1,18/20 kg N P ha-1,,,,kg N P ha-1,,,4,,Table 3,,2521,,,kg ha-1,,1.00,1.00
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,static_workflow,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2001-2003,,randomised complete block,,,,,,0.05,38.5,Ethiopia,barley (Hordeum vulgare L.),faba bean (Vicia faba L.),cereal,legume,0,0,Barley/FB (100:12.5),125 kg ha-1,25 kg ha-1,125 kg ha-1,200 kg ha-1,,41/20 kg N P ha-1,18/20 kg N P ha-1,,,,kg N P ha-1,,,4,,Table 3,,,2237,312,kg ha-1,0.93,0.12,1.05
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,static_workflow,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2001-2003,,randomised complete block,,,,,,0.05,38.5,Ethiopia,barley (Hordeum vulgare L.),faba bean (Vicia faba L.),cereal,legume,0,0,Barley/FB (100:25),125 kg ha-1,50 kg ha-1,125 kg ha-1,200 kg ha-1,,41/20 kg N P ha-1,18/20 kg N P ha-1,,,,kg N P ha-1,,,4,,Table 3,,,2036,576,kg ha-1,0.85,0.23,1.08
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,static_workflow,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2001-2003,,randomised complete block,,,,,,0.05,38.5,Ethiopia,barley (Hordeum vulgare L.),faba bean (Vicia faba L.),cereal,legume,0,0,Barley/FB (100:37.5),125 kg ha-1,75 kg ha-1,125 kg ha-1,200 kg ha-1,,41/20 kg N P ha-1,18/20 kg N P ha-1,,,,kg N P ha-1,,,4,,Table 3,,,2042,945,kg ha-1,0.85,0.38,1.23
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,static_workflow,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2001-2003,,randomised complete block,,,,,,0.05,38.5,Ethiopia,barley (Hordeum vulgare L.),faba bean (Vicia faba L.),cereal,legume,0,0,Barley/FB (100:50),125 kg ha-1,100 kg ha-1,125 kg ha-1,200 kg ha-1,,41/20 kg N P ha-1,18/20 kg N P ha-1,,,,kg N P ha-1,,,4,,Table 3,,,1831,1023,kg ha-1,0.76,0.41,1.17
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,static_workflow,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2001-2003,,randomised complete block,,,,,,0.05,38.5,Ethiopia,barley (Hordeum vulgare L.),faba bean (Vicia faba L.),cereal,legume,0,0,Barley/FB (100:62.5),125 kg ha-1,125 kg ha-1,125 kg ha-1,200 kg ha-1,,41/20 kg N P ha-1,18/20 kg N P ha-1,,,,kg N P ha-1,,,4,,Table 3,,,1762,1203,kg ha-1,0.73,0.48,1.21
