paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,direct_llm,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,,Randomized Complete Block Design,,,,,,4.0833,11.55,Africa,Maize,Cassava,cereal,root crop,false,false,Row,26667,4444,53333,10000,,,,,,,,4,4,4,4,"Table 4, Table 6",3.88,3.96,1.91,3.65,t ha-1,,,1.67
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,direct_llm,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,,Randomized Complete Block Design,,,,,,4.0833,11.55,Africa,Maize,Cassava,cereal,root crop,false,false,Row,20000,5000,53333,10000,,,,,,,,4,4,4,4,"Table 4, Table 6",3.88,3.96,2.15,3.64,t ha-1,,,1.72
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,direct_llm,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,,Randomized Complete Block Design,,,,,,4.0833,11.55,Africa,Maize,Cowpea,cereal,legume,false,false,Row,26667,53333,53333,106667,,,,,,,,4,4,4,4,"Table 4, Table 6",3.88,1.19,1.91,0.92,t ha-1,,,1.47
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,direct_llm,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,,Randomized Complete Block Design,,,,,,4.0833,11.55,Africa,Maize,Cowpea,cereal,legume,false,false,Row,26667,53333,53333,106667,,,,,,,,4,4,4,4,"Table 4, Table 6",3.88,1.19,1.87,0.77,t ha-1,,,1.3
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,direct_llm,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,,Randomized Complete Block Design,,,,,,4.0833,11.55,Africa,Maize,Soybean,cereal,legume,false,false,Row,26667,133333,53333,266667,,,,,,,,4,4,4,4,"Table 4, Table 6",3.88,1.54,1.99,0.96,t ha-1,,,1.32
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,direct_llm,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,,Randomized Complete Block Design,,,,,,4.0833,11.55,Africa,Maize,Soybean,cereal,legume,false,false,Row,26667,106667,53333,266667,,,,,,,,4,4,4,4,"Table 4, Table 6",3.88,1.54,1.92,0.79,t ha-1,,,1.26
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,direct_llm,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,,Randomized Complete Block Design,,,,,,4.0833,11.55,Africa,Maize,Cassava,cereal,root crop,false,false,Row,2.1,4.4,5.3,1.0,,,,,,,,4,4,4,4,Table 4,4.15,4.67,2.55,4.1,t ha-1,,,
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,direct_llm,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,,Randomized Complete Block Design,,,,,,4.0833,11.55,Africa,Maize,Cassava,cereal,root crop,false,false,Row,2.1,4.4,5.3,1.0,,,,,,,,4,4,4,4,Table 4,4.15,4.67,2.19,4.1,t ha-1,,,
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,direct_llm,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2003,,Randomized Complete Block Design,,,,,,4.0833,11.55,Africa,Maize,Cassava,cereal,root crop,false,false,Row,26667,4444,53333,10000,,,,,,,,4,4,4,4,"Table 4, Table 6",4.97,4.31,2.52,3.91,t ha-1,,,
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,direct_llm,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2003,,Randomized Complete Block Design,,,,,,4.0833,11.55,Africa,Maize,Cassava,cereal,root crop,false,false,Row,20000,5000,53333,10000,,,,,,,,4,4,4,4,"Table 4, Table 6",4.97,4.31,2.68,4.16,t ha-1,,,
