paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,randomized complete blocks design,7 May 1988,7 May 1988,between 8 and 10 September 1988,between 8 and 10 September 1988,,61.2,,Europe,oats (Avena sativa L.),faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,100,20,150,20,,80,40,,,40,kgN / ha,4,4,4,4,Table 5,432.4,157.0,356.0,68.2,g dry matter/m2,0.70,0.20,0.90
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,randomized complete blocks design,7 May 1988,7 May 1988,between 8 and 10 September 1988,between 8 and 10 September 1988,,61.2,,Europe,oats (Avena sativa L.),faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,100,40,300,40,,80,40,,,40,kgN / ha,4,4,4,4,Table 5,430.6,253.0,337.6,92.4,g dry matter/m2,0.66,0.26,0.92
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,randomized complete blocks design,7 May 1988,7 May 1988,between 8 and 10 September 1988,between 8 and 10 September 1988,,61.2,,Europe,oats (Avena sativa L.),faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,100,60,450,70,,80,40,,,40,kgN / ha,4,4,4,4,Table 5,466.1,271.8,345.6,126.8,g dry matter/m2,0.68,0.36,1.04
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,randomized complete blocks design,7 May 1988,7 May 1988,between 8 and 10 September 1988,between 8 and 10 September 1988,,61.2,,Europe,oats (Avena sativa L.),faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,100,80,600,100,,80,40,,,40,kgN / ha,4,4,4,4,Table 5,510.0,331.0,302.2,138.3,g dry matter/m2,0.59,0.40,0.99
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,randomized complete blocks design,7 May 1988,7 May 1988,between 8 and 10 September 1988,between 8 and 10 September 1988,,61.2,,Europe,oats (Avena sativa L.),faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,250,20,150,20,,80,40,,,40,kgN / ha,4,4,4,4,Table 5,432.4,157.0,431.1,41.7,g dry matter/m2,0.84,0.12,0.96
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,randomized complete blocks design,7 May 1988,7 May 1988,between 8 and 10 September 1988,between 8 and 10 September 1988,,61.2,,Europe,oats (Avena sativa L.),faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,250,40,300,40,,80,40,,,40,kgN / ha,4,4,4,4,Table 5,430.6,253.0,478.3,57.6,g dry matter/m2,0.94,0.16,1.10
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,randomized complete blocks design,7 May 1988,7 May 1988,between 8 and 10 September 1988,between 8 and 10 September 1988,,61.2,,Europe,oats (Avena sativa L.),faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,250,60,450,70,,80,40,,,40,kgN / ha,4,4,4,4,Table 5,466.1,271.8,428.5,65.2,g dry matter/m2,0.84,0.19,1.03
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,randomized complete blocks design,7 May 1988,7 May 1988,between 8 and 10 September 1988,between 8 and 10 September 1988,,61.2,,Europe,oats (Avena sativa L.),faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,400,20,150,20,,80,40,,,40,kgN / ha,4,4,4,4,Table 5,432.4,157.0,459.6,27.5,g dry matter/m2,0.90,0.08,0.98
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,randomized complete blocks design,7 May 1988,7 May 1988,between 8 and 10 September 1988,between 8 and 10 September 1988,,61.2,,Europe,oats (Avena sativa L.),faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,400,40,300,40,,80,40,,,40,kgN / ha,4,4,4,4,Table 5,430.6,253.0,468.1,47.5,g dry matter/m2,0.92,0.14,1.06
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,randomized complete blocks design,7 May 1988,7 May 1988,between 8 and 10 September 1988,between 8 and 10 September 1988,,61.2,,Europe,oats (Avena sativa L.),faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,400,60,450,70,,80,40,,,40,kgN / ha,4,4,4,4,Table 5,466.1,271.8,444.2,61.6,g dry matter/m2,0.87,0.18,1.05
