paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,90-107 days,randomized complete blocks design,7 May 1988,7 May 1988,8-10 September 1988,8-10 September 1988,,61.2,,Europe,oats (Avena sativa L.),faba bean (Vicia faba L.),cereal,legume,0,0,Row,,,150,20,,80,40,,40,,kg N/ha,4,4,4,4,"Table 4, Table 5",904.0,298.4,,,g dry matter/m2,,,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,90-107 days,randomized complete blocks design,7 May 1988,7 May 1988,8-10 September 1988,8-10 September 1988,,61.2,,Europe,oats (Avena sativa L.),faba bean (Vicia faba L.),cereal,legume,0,0,Row,,,300,40,,80,40,,40,,kg N/ha,4,4,4,4,"Table 4, Table 5",998.1,440.1,,,g dry matter/m2,,,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,90-107 days,randomized complete blocks design,7 May 1988,7 May 1988,8-10 September 1988,8-10 September 1988,,61.2,,Europe,oats (Avena sativa L.),faba bean (Vicia faba L.),cereal,legume,0,0,Row,,,450,70,,80,40,,40,,kg N/ha,4,4,4,4,"Table 4, Table 5",962.2,516.7,,,g dry matter/m2,,,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,90-107 days,randomized complete blocks design,7 May 1988,7 May 1988,8-10 September 1988,8-10 September 1988,,61.2,,Europe,oats (Avena sativa L.),faba bean (Vicia faba L.),cereal,legume,0,0,Row,,,600,100,,80,40,,40,,kg N/ha,4,4,4,4,"Table 4, Table 5",1155.4,620.1,,,g dry matter/m2,,,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,90-107 days,randomized complete blocks design,7 May 1988,7 May 1988,8-10 September 1988,8-10 September 1988,,61.2,,Europe,oats (Avena sativa L.),faba bean (Vicia faba L.),cereal,legume,0,0,Row,,,750,130,,80,40,,40,,kg N/ha,4,4,4,4,"Table 4, Table 5",975.1,698.8,,,g dry matter/m2,,,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,90-107 days,randomized complete blocks design,7 May 1988,7 May 1988,8-10 September 1988,8-10 September 1988,,61.2,,Europe,oats (Avena sativa L.),faba bean (Vicia faba L.),cereal,legume,0,0,Row,100,20,,,,,,,40,,kg N/ha,,,4,4,"Table 4, Table 5",,,760.3,134.0,g dry matter/m2,,,0.85
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,90-107 days,randomized complete blocks design,7 May 1988,7 May 1988,8-10 September 1988,8-10 September 1988,,61.2,,Europe,oats (Avena sativa L.),faba bean (Vicia faba L.),cereal,legume,0,0,Row,100,40,,,,,,,40,,kg N/ha,,,4,4,"Table 4, Table 5",,,700.0,188.5,g dry matter/m2,,,0.87
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,90-107 days,randomized complete blocks design,7 May 1988,7 May 1988,8-10 September 1988,8-10 September 1988,,61.2,,Europe,oats (Avena sativa L.),faba bean (Vicia faba L.),cereal,legume,0,0,Row,100,60,,,,,,,40,,kg N/ha,,,4,4,"Table 4, Table 5",,,759.1,253.2,g dry matter/m2,,,1.02
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,90-107 days,randomized complete blocks design,7 May 1988,7 May 1988,8-10 September 1988,8-10 September 1988,,61.2,,Europe,oats (Avena sativa L.),faba bean (Vicia faba L.),cereal,legume,0,0,Row,100,80,,,,,,,40,,kg N/ha,,,4,4,"Table 4, Table 5",,,672.9,286.7,g dry matter/m2,,,0.99
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,90-107 days,randomized complete blocks design,7 May 1988,7 May 1988,8-10 September 1988,8-10 September 1988,,61.2,,Europe,oats (Avena sativa L.),faba bean (Vicia faba L.),cereal,legume,0,0,Row,250,20,,,,,,,40,,kg N/ha,,,4,4,"Table 4, Table 5",,,891.7,77.2,g dry matter/m2,,,0.88
