paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,static_workflow,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1998,3-year period (1997-1999),randomized complete block design,2 July 1998,0 DARS,,,,7.8667,-5.1,Africa,Rice (V4),Cajanus cajan,cereal,legume,0,1,Row,,40,60,40,,30,,,,,kg ha-1,,,3,3,Table 2,,10365,,10176,kg ha-1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,static_workflow,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1998,3-year period (1997-1999),randomized complete block design,2 July 1998,0 DARS,,,,7.8667,-5.1,Africa,Rice (WAB56-50),Cajanus cajan,cereal,legume,0,1,Row,,40,60,40,,30,,,,,kg ha-1,,,3,3,Table 2,,10365,,8225,kg ha-1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,static_workflow,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1998,3-year period (1997-1999),randomized complete block design,2 July 1998,14 DARS,,,,7.8667,-5.1,Africa,Rice (V4),Cajanus cajan,cereal,legume,0,1,Row,,40,60,40,,30,,,,,kg ha-1,,,3,3,Table 2,,9620,,8711,kg ha-1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,static_workflow,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1998,3-year period (1997-1999),randomized complete block design,2 July 1998,14 DARS,,,,7.8667,-5.1,Africa,Rice (WAB56-50),Cajanus cajan,cereal,legume,0,1,Row,,40,60,40,,30,,,,,kg ha-1,,,3,3,Table 2,,9620,,7299,kg ha-1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,static_workflow,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1998,3-year period (1997-1999),randomized complete block design,2 July 1998,28 DARS,,,,7.8667,-5.1,Africa,Rice (V4),Cajanus cajan,cereal,legume,0,1,Row,,40,60,40,,30,,,,,kg ha-1,,,3,3,Table 2,,6358,,3107,kg ha-1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,static_workflow,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1998,3-year period (1997-1999),randomized complete block design,2 July 1998,28 DARS,,,,7.8667,-5.1,Africa,Rice (WAB56-50),Cajanus cajan,cereal,legume,0,1,Row,,40,60,40,,30,,,,,kg ha-1,,,3,3,Table 2,,6358,,4226,kg ha-1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,static_workflow,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1998,3-year period (1997-1999),randomized complete block design,2 July 1998,56 DARS,,,,7.8667,-5.1,Africa,Rice (V4),Cajanus cajan,cereal,legume,0,1,Row,,40,60,40,,30,,,,,kg ha-1,,,3,3,Table 2,,1578,,146,kg ha-1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,static_workflow,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1998,3-year period (1997-1999),randomized complete block design,2 July 1998,56 DARS,,,,7.8667,-5.1,Africa,Rice (WAB56-50),Cajanus cajan,cereal,legume,0,1,Row,,40,60,40,,30,,,,,kg ha-1,,,3,3,Table 2,,1578,,339,kg ha-1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,static_workflow,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1998,3-year period (1997-1999),randomized complete block design,2 July 1998,0 DARS,,,,7.8667,-5.1,Africa,Rice (V4),Stylosanthes hamata,cereal,legume,0,1,Row,,160,60,160,,30,,,,,kg ha-1,,,3,3,Table 2,,4954,,4497,kg ha-1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,static_workflow,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1998,3-year period (1997-1999),randomized complete block design,2 July 1998,0 DARS,,,,7.8667,-5.1,Africa,Rice (WAB56-50),Stylosanthes hamata,cereal,legume,0,1,Row,,160,60,160,,30,,,,,kg ha-1,,,3,3,Table 2,,4954,,5040,kg ha-1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,static_workflow,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1998,3-year period (1997-1999),randomized complete block design,2 July 1998,14 DARS,,,,7.8667,-5.1,Africa,Rice (V4),Stylosanthes hamata,cereal,legume,0,1,Row,,160,60,160,,30,,,,,kg ha-1,,,3,3,Table 2,,4011,,4195,kg ha-1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,static_workflow,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1998,3-year period (1997-1999),randomized complete block design,2 July 1998,14 DARS,,,,7.8667,-5.1,Africa,Rice (WAB56-50),Stylosanthes hamata,cereal,legume,0,1,Row,,160,60,160,,30,,,,,kg ha-1,,,3,3,Table 2,,4011,,3701,kg ha-1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,static_workflow,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1998,3-year period (1997-1999),randomized complete block design,2 July 1998,28 DARS,,,,7.8667,-5.1,Africa,Rice (V4),Stylosanthes hamata,cereal,legume,0,1,Row,,160,60,160,,30,,,,,kg ha-1,,,3,3,Table 2,,2803,,1876,kg ha-1,,,
045_Akanvou_et_al_2001_Evaluating_the_use_of_two_contr,45,45,static_workflow,Akanvou et al 2001 Evaluating the use of two contrasting legume species as realy intercrop,1998,3-year period (1997-1999),randomized complete block design,2 July 1998,28 DARS,,,,7.8667,-5.1,Africa,Rice (WAB56-50),Stylosanthes hamata,cereal,legume,0,1,Row,,160,60,160,,30,,,,,kg ha-1,,,3,3,Table 2,,2803,,1492,kg ha-1,,,
