paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,static_workflow,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982/83,120 days,Randomized Complete Block Design,19 December 1982,19 December 1982,120 days after sowing,120 days after sowing,,-32.85,115.9167,Western Australia,maize,cowpea,cereal,legume,0,0,Row,50 x 10^3 plants ha-1,100 x 10^3 plants ha-1,50 x 10^3 plants ha-1,100 x 10^3 plants ha-1,,80,,80,,80,kgNha-1,4,4,4,4,Table 2,,,109.9,67.1,kg N ha-1,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,static_workflow,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982/83,120 days,Randomized Complete Block Design,19 December 1982,19 December 1982,120 days after sowing,120 days after sowing,,-32.85,115.9167,Western Australia,maize,cowpea,cereal,legume,0,0,Row,50 x 10^3 plants ha-1,100 x 10^3 plants ha-1,50 x 10^3 plants ha-1,100 x 10^3 plants ha-1,,80,,80,,80,kgNha-1,4,4,4,4,Table 2,,,108.4,11.7,kg N ha-1,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,static_workflow,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982/83,120 days,Randomized Complete Block Design,19 December 1982,19 December 1982,120 days after sowing,120 days after sowing,,-32.85,115.9167,Western Australia,maize,cowpea,cereal,legume,0,0,Row,50 x 10^3 plants ha-1,100 x 10^3 plants ha-1,50 x 10^3 plants ha-1,100 x 10^3 plants ha-1,,80,,80,,80,kgNha-1,4,4,4,4,Table 2,,,94.1,25.3,kg N ha-1,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,static_workflow,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982/83,120 days,Randomized Complete Block Design,19 December 1982,19 December 1982,120 days after sowing,120 days after sowing,,-32.85,115.9167,Western Australia,maize,cowpea,cereal,legume,0,0,Row,50 x 10^3 plants ha-1,100 x 10^3 plants ha-1,50 x 10^3 plants ha-1,100 x 10^3 plants ha-1,,80,,80,,80,kgNha-1,4,4,4,4,Table 2,,,91.3,30.2,kg N ha-1,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,static_workflow,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982/83,120 days,Randomized Complete Block Design,19 December 1982,19 December 1982,120 days after sowing,120 days after sowing,,-32.85,115.9167,Western Australia,maize,cowpea,cereal,legume,0,0,Row,50 x 10^3 plants ha-1,100 x 10^3 plants ha-1,50 x 10^3 plants ha-1,100 x 10^3 plants ha-1,,80,,80,,80,kgNha-1,4,4,4,4,Table 2,,,71.7,40.7,kg N ha-1,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,static_workflow,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982/83,120 days,Randomized Complete Block Design,19 December 1982,19 December 1982,120 days after sowing,120 days after sowing,,-32.85,115.9167,Western Australia,maize,cowpea,cereal,legume,0,0,Row,50 x 10^3 plants ha-1,100 x 10^3 plants ha-1,50 x 10^3 plants ha-1,100 x 10^3 plants ha-1,,80,,80,,80,kgNha-1,4,4,4,4,Table 2,,,63.7,51.8,kg N ha-1,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,static_workflow,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982/83,120 days,Randomized Complete Block Design,19 December 1982,19 December 1982,120 days after sowing,120 days after sowing,,-32.85,115.9167,Western Australia,maize,cowpea,cereal,legume,0,0,Row,35 x 10^3 plants ha-1,70 x 10^3 plants ha-1,50 x 10^3 plants ha-1,100 x 10^3 plants ha-1,,80,,80,,80,kgNha-1,4,4,4,4,Table 4,,,106.9,65.3,kg N ha-1,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,static_workflow,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982/83,120 days,Randomized Complete Block Design,19 December 1982,19 December 1982,120 days after sowing,120 days after sowing,,-32.85,115.9167,Western Australia,maize,cowpea,cereal,legume,0,0,Row,35 x 10^3 plants ha-1,100 x 10^3 plants ha-1,50 x 10^3 plants ha-1,100 x 10^3 plants ha-1,,80,,80,,80,kgNha-1,4,4,4,4,Table 4,,,62.9,25.9,kg N ha-1,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,static_workflow,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982/83,120 days,Randomized Complete Block Design,19 December 1982,19 December 1982,120 days after sowing,120 days after sowing,,-32.85,115.9167,Western Australia,maize,cowpea,cereal,legume,0,0,Row,35 x 10^3 plants ha-1,140 x 10^3 plants ha-1,50 x 10^3 plants ha-1,100 x 10^3 plants ha-1,,80,,80,,80,kgNha-1,4,4,4,4,Table 4,,,63.4,32.5,kg N ha-1,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,static_workflow,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982/83,120 days,Randomized Complete Block Design,19 December 1982,19 December 1982,120 days after sowing,120 days after sowing,,-32.85,115.9167,Western Australia,maize,cowpea,cereal,legume,0,0,Row,50 x 10^3 plants ha-1,70 x 10^3 plants ha-1,50 x 10^3 plants ha-1,100 x 10^3 plants ha-1,,80,,80,,80,kgNha-1,4,4,4,4,Table 4,,,65.7,50.5,kg N ha-1,,,
