paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,static_workflow,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1985,,randomised block design,27 June 1985,27 June 1985,,,,18.0,78.0,India,pearl millet,groundnut,cereal,legume,0,0,Row,,,222 plants m-2,33 plants m-2,,96,16,36,16,,kg ha-1 N,3,3,3,3,Table,1.23,,,,tha-1,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,static_workflow,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1985,,randomised block design,27 June 1985,27 June 1985,,,,18.0,78.0,India,pearl millet,groundnut,cereal,legume,0,0,Row,,,222 plants m-2,33 plants m-2,,96,16,36,16,,kg ha-1 N,3,3,3,3,Table,,0.93,,,tha-1,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,static_workflow,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1985,,randomised block design,27 June 1985,27 June 1985,,,,18.0,78.0,India,pearl millet,groundnut,cereal,legume,0,0,Row,,,222 plants m-2,33 plants m-2,,96,16,36,16,,kg ha-1 N,3,3,3,3,Table,,1.48,,,tha-1,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,static_workflow,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1985,,randomised block design,27 June 1985,27 June 1985,,,,18.0,78.0,India,pearl millet,groundnut,cereal,legume,0,0,Row,,,222 plants m-2,33 plants m-2,,96,16,36,16,,kg ha-1 N,3,3,3,3,Table,1.23,0.93,0.85,0.82,tha-1,1.34,,1.57
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,static_workflow,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1985,,randomised block design,27 June 1985,27 June 1985,,,,18.0,78.0,India,pearl millet,groundnut,cereal,legume,0,0,Row,,,222 plants m-2,33 plants m-2,,96,16,36,16,,kg ha-1 N,3,3,3,3,Table,1.23,0.93,0.92,1.36,tha-1,1.42,,1.67
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,static_workflow,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1986,,randomised block design,8 July 1986,8 July 1986,,,,18.0,78.0,India,pearl millet,groundnut,cereal,legume,0,0,Row,,,222 plants m-2,33 plants m-2,,96,16,36,16,,kg ha-1 N,3,3,3,3,Table,1.81,,,,tha-1,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,static_workflow,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1986,,randomised block design,8 July 1986,8 July 1986,,,,18.0,78.0,India,pearl millet,groundnut,cereal,legume,0,0,Row,,,222 plants m-2,33 plants m-2,,96,16,36,16,,kg ha-1 N,3,3,3,3,Table,,0.16,,,tha-1,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,static_workflow,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1986,,randomised block design,8 July 1986,8 July 1986,,,,18.0,78.0,India,pearl millet,groundnut,cereal,legume,0,0,Row,,,222 plants m-2,33 plants m-2,,96,16,36,16,,kg ha-1 N,3,3,3,3,Table,,0.21,,,tha-1,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,static_workflow,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1986,,randomised block design,8 July 1986,8 July 1986,,,,18.0,78.0,India,pearl millet,groundnut,cereal,legume,0,0,Row,,,222 plants m-2,33 plants m-2,,96,16,36,16,,kg ha-1 N,3,3,3,3,Table,1.81,0.16,1.04,0.05,tha-1,1.26,,0.88
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,static_workflow,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1986,,randomised block design,8 July 1986,8 July 1986,,,,18.0,78.0,India,pearl millet,groundnut,cereal,legume,0,0,Row,,,222 plants m-2,33 plants m-2,,96,16,36,16,,kg ha-1 N,3,3,3,3,Table,1.81,0.16,0.80,0.20,tha-1,1.19,,1.39
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,static_workflow,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1987,,randomised block design,1 July 1987,1 July 1987,,,,18.0,78.0,India,pearl millet,groundnut,cereal,legume,0,0,Row,,,222 plants m-2,33 plants m-2,,96,16,36,16,,kg ha-1 N,3,3,3,3,Table,2.21,,,,tha-1,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,static_workflow,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1987,,randomised block design,1 July 1987,1 July 1987,,,,18.0,78.0,India,pearl millet,groundnut,cereal,legume,0,0,Row,,,222 plants m-2,33 plants m-2,,96,16,36,16,,kg ha-1 N,3,3,3,3,Table,,1.89,,,tha-1,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,static_workflow,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1987,,randomised block design,1 July 1987,1 July 1987,,,,18.0,78.0,India,pearl millet,groundnut,cereal,legume,0,0,Row,,,222 plants m-2,33 plants m-2,,96,16,36,16,,kg ha-1 N,3,3,3,3,Table,,2.80,,,tha-1,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,static_workflow,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1987,,randomised block design,1 July 1987,1 July 1987,,,,18.0,78.0,India,pearl millet,groundnut,cereal,legume,0,0,Row,,,222 plants m-2,33 plants m-2,,96,16,36,16,,kg ha-1 N,3,3,3,3,Table,2.21,1.89,0.87,1.25,tha-1,1.08,,1.05
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,static_workflow,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1987,,randomised block design,1 July 1987,1 July 1987,,,,18.0,78.0,India,pearl millet,groundnut,cereal,legume,0,0,Row,,,222 plants m-2,33 plants m-2,,96,16,36,16,,kg ha-1 N,3,3,3,3,Table,2.21,1.89,0.81,1.60,tha-1,1.02,,0.94
