paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
053_Vyas_2006_Productivity_and_economics_of_integrated,53,53,mas,4. Vyas 2006 Productivity and economics of integrated nutrient management in soybean (Glycine max) plus pigeonpea,"2002, 2003",,randomized block design,last week of June,last week of June,,,,,,Asia,soybean (Glycine max),pigeonpea (Cajanus cajan),legume,legume,0,0,Row,,,,,,27,27,,,,kg/ha,3,3,3,3,"Table 1, Table 2",2994,269,1285,2434,kg/ha,,,1.40
053_Vyas_2006_Productivity_and_economics_of_integrated,53,53,mas,4. Vyas 2006 Productivity and economics of integrated nutrient management in soybean (Glycine max) plus pigeonpea,"2002, 2003",,randomized block design,last week of June,last week of June,,,,,,Asia,soybean (Glycine max),pigeonpea (Cajanus cajan),legume,legume,0,0,Row,,,,,,27,27,,,,kg/ha,3,3,3,3,"Table 1, Table 2",2994,269,975,2338,kg/ha,,,1.31
053_Vyas_2006_Productivity_and_economics_of_integrated,53,53,mas,4. Vyas 2006 Productivity and economics of integrated nutrient management in soybean (Glycine max) plus pigeonpea,"2002, 2003",,randomized block design,last week of June,last week of June,,,,,,Asia,soybean (Glycine max),pigeonpea (Cajanus cajan),legume,legume,0,0,Row,,,,,,27,27,,,,kg/ha,3,3,3,3,"Table 1, Table 2",2994,269,881,2124,kg/ha,,,1.17
053_Vyas_2006_Productivity_and_economics_of_integrated,53,53,mas,4. Vyas 2006 Productivity and economics of integrated nutrient management in soybean (Glycine max) plus pigeonpea,"2002, 2003",,randomized block design,last week of June,last week of June,,,,,,Asia,soybean (Glycine max),pigeonpea (Cajanus cajan),legume,legume,0,0,Row,,,,,,27,27,,,,kg/ha,3,3,3,3,"Table 1, Table 2",2994,269,1072,2283,kg/ha,,,1.27
053_Vyas_2006_Productivity_and_economics_of_integrated,53,53,mas,4. Vyas 2006 Productivity and economics of integrated nutrient management in soybean (Glycine max) plus pigeonpea,"2002, 2003",,randomized block design,last week of June,last week of June,,,,,,Asia,soybean (Glycine max),pigeonpea (Cajanus cajan),legume,legume,0,0,Row,,,,,,27,27,,,,kg/ha,3,3,3,3,"Table 1, Table 2",2994,269,1295,2451,kg/ha,,,1.39
053_Vyas_2006_Productivity_and_economics_of_integrated,53,53,mas,4. Vyas 2006 Productivity and economics of integrated nutrient management in soybean (Glycine max) plus pigeonpea,"2002, 2003",,randomized block design,last week of June,last week of June,,,,,,Asia,soybean (Glycine max),pigeonpea (Cajanus cajan),legume,legume,0,0,Row,,,,,,27,27,,,,kg/ha,3,3,3,3,"Table 1, Table 2",2994,269,1224,2549,kg/ha,,,1.40
053_Vyas_2006_Productivity_and_economics_of_integrated,53,53,mas,4. Vyas 2006 Productivity and economics of integrated nutrient management in soybean (Glycine max) plus pigeonpea,"2002, 2003",,randomized block design,last week of June,last week of June,,,,,,Asia,soybean (Glycine max),pigeonpea (Cajanus cajan),legume,legume,0,0,Row,,,,,,27,27,,,,kg/ha,3,3,3,3,"Table 1, Table 2",2994,269,1144,2283,kg/ha,,,1.25
053_Vyas_2006_Productivity_and_economics_of_integrated,53,53,mas,4. Vyas 2006 Productivity and economics of integrated nutrient management in soybean (Glycine max) plus pigeonpea,"2002, 2003",,randomized block design,last week of June,last week of June,,,,,,Asia,soybean (Glycine max),pigeonpea (Cajanus cajan),legume,legume,0,0,Row,,,,,,27,27,,,,kg/ha,3,3,3,3,"Table 1, Table 2",2994,269,1156,2228,kg/ha,,,1.24
053_Vyas_2006_Productivity_and_economics_of_integrated,53,53,mas,4. Vyas 2006 Productivity and economics of integrated nutrient management in soybean (Glycine max) plus pigeonpea,"2002, 2003",,randomized block design,last week of June,last week of June,,,,,,Asia,soybean (Glycine max),pigeonpea (Cajanus cajan),legume,legume,0,0,Row,,,,,,27,27,,,,kg/ha,3,3,3,3,"Table 1, Table 2",2994,269,1146,2550,kg/ha,,,1.40
053_Vyas_2006_Productivity_and_economics_of_integrated,53,53,mas,4. Vyas 2006 Productivity and economics of integrated nutrient management in soybean (Glycine max) plus pigeonpea,"2002, 2003",,randomized block design,last week of June,last week of June,,,,,,Asia,soybean (Glycine max),pigeonpea (Cajanus cajan),legume,legume,0,0,Row,,,,,,27,27,,,,kg/ha,3,3,3,3,"Table 1, Table 2",2994,269,1249,2582,kg/ha,,,1.38
