paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
054_Morgado_2008_Optimum_plant_population_for_maize_be,54,54,mas,5. Morgado 2008 Optimum plant population for maize-bean intercropping system in the Brazilian semi-arid region,1990,115 days,Randomized Complete Block Design,February 01,February 01,115 DAS,78 DAS,,-9.09,-40.22,South America,Maize (Zea mays),Bean (Phaseolus vulgaris),cereal,legume,0,0,Row,"20,000","30,000","40,000","120,000",,0,,0,0,0,kg ha-1,3,3,3,3,"Table 3, Table 5, Table 6",4937,563,3175,104,kg ha-1,0.66,0.26,0.90
054_Morgado_2008_Optimum_plant_population_for_maize_be,54,54,mas,5. Morgado 2008 Optimum plant population for maize-bean intercropping system in the Brazilian semi-arid region,1990,115 days,Randomized Complete Block Design,February 01,February 01,115 DAS,78 DAS,,-9.09,-40.22,South America,Maize (Zea mays),Bean (Phaseolus vulgaris),cereal,legume,0,0,Row,"20,000","30,000","40,000","120,000",,30,,30,0,30,kg ha-1,3,3,3,3,"Table 3, Table 5, Table 6",6157,563,4603,104,kg ha-1,0.48,0.37,0.85
054_Morgado_2008_Optimum_plant_population_for_maize_be,54,54,mas,5. Morgado 2008 Optimum plant population for maize-bean intercropping system in the Brazilian semi-arid region,1990,115 days,Randomized Complete Block Design,February 01,February 01,115 DAS,78 DAS,,-9.09,-40.22,South America,Maize (Zea mays),Bean (Phaseolus vulgaris),cereal,legume,0,0,Row,"20,000","60,000","40,000","120,000",,0,,0,0,0,kg ha-1,3,3,3,3,"Table 3, Table 5, Table 6",4937,563,3781,169,kg ha-1,0.76,0.56,1.28
054_Morgado_2008_Optimum_plant_population_for_maize_be,54,54,mas,5. Morgado 2008 Optimum plant population for maize-bean intercropping system in the Brazilian semi-arid region,1990,115 days,Randomized Complete Block Design,February 01,February 01,115 DAS,78 DAS,,-9.09,-40.22,South America,Maize (Zea mays),Bean (Phaseolus vulgaris),cereal,legume,0,0,Row,"20,000","60,000","40,000","120,000",,30,,30,0,30,kg ha-1,3,3,3,3,"Table 3, Table 5, Table 6",6157,563,4593,261,kg ha-1,0.58,0.60,1.18
054_Morgado_2008_Optimum_plant_population_for_maize_be,54,54,mas,5. Morgado 2008 Optimum plant population for maize-bean intercropping system in the Brazilian semi-arid region,1990,115 days,Randomized Complete Block Design,February 01,February 01,115 DAS,78 DAS,,-9.09,-40.22,South America,Maize (Zea mays),Bean (Phaseolus vulgaris),cereal,legume,0,0,Row,"20,000","90,000","40,000","120,000",,0,,0,0,0,kg ha-1,3,3,3,3,"Table 3, Table 5, Table 6",4937,563,3181,131,kg ha-1,0.66,0.27,0.93
054_Morgado_2008_Optimum_plant_population_for_maize_be,54,54,mas,5. Morgado 2008 Optimum plant population for maize-bean intercropping system in the Brazilian semi-arid region,1990,115 days,Randomized Complete Block Design,February 01,February 01,115 DAS,78 DAS,,-9.09,-40.22,South America,Maize (Zea mays),Bean (Phaseolus vulgaris),cereal,legume,0,0,Row,"20,000","90,000","40,000","120,000",,30,,30,0,30,kg ha-1,3,3,3,3,"Table 3, Table 5, Table 6",6157,563,5628,123,kg ha-1,0.55,0.59,1.14
054_Morgado_2008_Optimum_plant_population_for_maize_be,54,54,mas,5. Morgado 2008 Optimum plant population for maize-bean intercropping system in the Brazilian semi-arid region,1990,115 days,Randomized Complete Block Design,February 01,February 01,115 DAS,78 DAS,,-9.09,-40.22,South America,Maize (Zea mays),Bean (Phaseolus vulgaris),cereal,legume,0,0,Row,"40,000","30,000","40,000","120,000",,0,,0,0,0,kg ha-1,3,3,3,3,"Table 3, Table 5, Table 6",4937,563,2951,64,kg ha-1,0.96,0.11,1.07
054_Morgado_2008_Optimum_plant_population_for_maize_be,54,54,mas,5. Morgado 2008 Optimum plant population for maize-bean intercropping system in the Brazilian semi-arid region,1990,115 days,Randomized Complete Block Design,February 01,February 01,115 DAS,78 DAS,,-9.09,-40.22,South America,Maize (Zea mays),Bean (Phaseolus vulgaris),cereal,legume,0,0,Row,"40,000","30,000","40,000","120,000",,30,,30,0,30,kg ha-1,3,3,3,3,"Table 3, Table 5, Table 6",6157,563,5512,50,kg ha-1,0.90,0.13,1.03
054_Morgado_2008_Optimum_plant_population_for_maize_be,54,54,mas,5. Morgado 2008 Optimum plant population for maize-bean intercropping system in the Brazilian semi-arid region,1990,115 days,Randomized Complete Block Design,February 01,February 01,115 DAS,78 DAS,,-9.09,-40.22,South America,Maize (Zea mays),Bean (Phaseolus vulgaris),cereal,legume,0,0,Row,"40,000","60,000","40,000","120,000",,0,,0,0,0,kg ha-1,3,3,3,3,"Table 3, Table 5, Table 6",4937,563,6195,89,kg ha-1,1.22,0.28,1.50
054_Morgado_2008_Optimum_plant_population_for_maize_be,54,54,mas,5. Morgado 2008 Optimum plant population for maize-bean intercropping system in the Brazilian semi-arid region,1990,115 days,Randomized Complete Block Design,February 01,February 01,115 DAS,78 DAS,,-9.09,-40.22,South America,Maize (Zea mays),Bean (Phaseolus vulgaris),cereal,legume,0,0,Row,"40,000","60,000","40,000","120,000",,30,,30,0,30,kg ha-1,3,3,3,3,"Table 3, Table 5, Table 6",6157,563,5512,128,kg ha-1,1.01,0.63,1.64
