paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
055_Reddy_et_al_1990_Genotype_effects_in_millet_cowpea,55,55,mas,8. Reddy et al 1990 Genotype effects in millet cowpea intercropping,1984,,randomized block design,30 June 1984,,,,,,,,pearl millet,cowpea,cereal,legume,0,0,Row,1 x 1 m,1 x 0.3 m,1 x 1 m,,,,,,,45 kg N ha-1,kg N ha-1,,,four,,Table 4,540,,360,80,kg ha-1,,,
055_Reddy_et_al_1990_Genotype_effects_in_millet_cowpea,55,55,mas,8. Reddy et al 1990 Genotype effects in millet cowpea intercropping,1984,,randomized block design,30 June 1984,,,,,,,,pearl millet,cowpea,cereal,legume,0,0,Row,1 x 1 m,1 x 0.3 m,1 x 1 m,,,,,,,45 kg N ha-1,kg N ha-1,,,four,,Table 4,690,,460,110,kg ha-1,,,
055_Reddy_et_al_1990_Genotype_effects_in_millet_cowpea,55,55,mas,8. Reddy et al 1990 Genotype effects in millet cowpea intercropping,1984,,randomized block design,30 June 1984,,,,,,,,pearl millet,cowpea,cereal,legume,0,0,Row,1 x 1 m,1 x 0.3 m,1 x 1 m,,,,,,,45 kg N ha-1,kg N ha-1,,,four,,Table 4,700,,440,150,kg ha-1,,,
055_Reddy_et_al_1990_Genotype_effects_in_millet_cowpea,55,55,mas,8. Reddy et al 1990 Genotype effects in millet cowpea intercropping,1985,,randomized block design,18 June 1985,,,,,,,,pearl millet,cowpea,cereal,legume,0,0,Row,1 x 1 m,1 x 0.3 m,1 x 1 m,,,,,,,45 kg N ha-1,kg N ha-1,,,four,,Table 4,510,,690,170,kg ha-1,,,
055_Reddy_et_al_1990_Genotype_effects_in_millet_cowpea,55,55,mas,8. Reddy et al 1990 Genotype effects in millet cowpea intercropping,1985,,randomized block design,18 June 1985,,,,,,,,pearl millet,cowpea,cereal,legume,0,0,Row,1 x 1 m,1 x 0.3 m,1 x 1 m,,,,,,,45 kg N ha-1,kg N ha-1,,,four,,Table 4,1600,,1070,160,kg ha-1,,,
055_Reddy_et_al_1990_Genotype_effects_in_millet_cowpea,55,55,mas,8. Reddy et al 1990 Genotype effects in millet cowpea intercropping,1985,,randomized block design,18 June 1985,,,,,,,,pearl millet,cowpea,cereal,legume,0,0,Row,1 x 1 m,1 x 0.3 m,1 x 1 m,,,,,,,45 kg N ha-1,kg N ha-1,,,four,,Table 4,1350,,990,260,kg ha-1,,,
055_Reddy_et_al_1990_Genotype_effects_in_millet_cowpea,55,55,mas,8. Reddy et al 1990 Genotype effects in millet cowpea intercropping,1985,,randomized block design,2 July 1985,12 days after the millet,,,,13.25,2.3,Africa,pearl millet,cowpea,cereal,legume,0,0,Row,1 x 1 m,1 x 0.3 m,1 x 1 m,,,,,,,,,,,four,,Table 5,980,,980,580,kg ha-1,,,
055_Reddy_et_al_1990_Genotype_effects_in_millet_cowpea,55,55,mas,8. Reddy et al 1990 Genotype effects in millet cowpea intercropping,1985,,randomized block design,2 July 1985,12 days after the millet,,,,13.25,2.3,Africa,pearl millet,cowpea,cereal,legume,0,0,Row,1 x 1 m,1 x 0.3 m,1 x 1 m,,,,,,,,,,,four,,Table 5,770,,770,530,kg ha-1,,,
055_Reddy_et_al_1990_Genotype_effects_in_millet_cowpea,55,55,mas,8. Reddy et al 1990 Genotype effects in millet cowpea intercropping,1985,,randomized block design,2 July 1985,12 days after the millet,,,,13.25,2.3,Africa,pearl millet,cowpea,cereal,legume,0,0,Row,1 x 1 m,1 x 0.3 m,1 x 1 m,,,,,,,,,,,four,,Table 5,750,,750,560,kg ha-1,,,
055_Reddy_et_al_1990_Genotype_effects_in_millet_cowpea,55,55,mas,8. Reddy et al 1990 Genotype effects in millet cowpea intercropping,1985,,randomized block design,2 July 1985,12 days after the millet,,,,13.25,2.3,Africa,pearl millet,cowpea,cereal,legume,0,0,Row,1 x 1 m,1 x 0.3 m,1 x 1 m,,,,,,,,,,,four,,Table 5,1240,,1240,190,kg ha-1,,,
