paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,Randomized Complete Block Design,10 October,10 October,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lentil (Lens culinaris),Wheat (Triticum aestivum),legume,cereal,0,0,Mixed,,,120,170,,25,25,,,25,kg/ha N,3,3,3,3,"Table 1, Table 2",835.0,4192.0,268.0,290.0,kg/ha,0.32,0.26,0.58
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,Randomized Complete Block Design,11 October,11 October,13 July 2000,26 July 2000,,38.4167,43.0333,Asia,Lentil (Lens culinaris),Wheat (Triticum aestivum),legume,cereal,0,0,Mixed,,,120,170,,25,25,,,25,kg/ha N,3,3,3,3,"Table 1, Table 2",570.0,6250.0,373.5,627.3,kg/ha,0.66,0.3,0.96
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,Randomized Complete Block Design,10 October,10 October,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lentil (Lens culinaris),Wheat (Triticum aestivum),legume,cereal,0,0,Mixed,,,120,170,,25,25,,,25,kg/ha N,3,3,3,3,"Table 1, Table 2",835.0,4192.0,225.0,483.0,kg/ha,0.27,0.43,0.7
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,Randomized Complete Block Design,11 October,11 October,13 July 2000,26 July 2000,,38.4167,43.0333,Asia,Lentil (Lens culinaris),Wheat (Triticum aestivum),legume,cereal,0,0,Mixed,,,120,170,,25,25,,,25,kg/ha N,3,3,3,3,"Table 1, Table 2",570.0,6250.0,319.5,1069.0,kg/ha,0.56,0.5,1.06
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,Randomized Complete Block Design,10 October,10 October,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lentil (Lens culinaris),Wheat (Triticum aestivum),legume,cereal,0,0,Mixed,,,120,170,,25,25,,,25,kg/ha N,3,3,3,3,"Table 1, Table 2",835.0,4192.0,200.0,860.0,kg/ha,0.24,0.79,1.03
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,Randomized Complete Block Design,11 October,11 October,13 July 2000,26 July 2000,,38.4167,43.0333,Asia,Lentil (Lens culinaris),Wheat (Triticum aestivum),legume,cereal,0,0,Mixed,,,120,170,,25,25,,,25,kg/ha N,3,3,3,3,"Table 1, Table 2",570.0,6250.0,201.0,1117.0,kg/ha,0.35,0.53,0.88
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,Randomized Complete Block Design,10 October,10 October,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lentil (Lens culinaris),Barley (Hordeum vulgare),legume,cereal,0,0,Mixed,,,120,170,,25,25,,,25,kg/ha N,3,3,3,3,"Table 1, Table 2",835.0,,342.0,603.0,kg/ha,0.41,0.3,0.71
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,Randomized Complete Block Design,11 October,11 October,13 July 2000,26 July 2000,,38.4167,43.0333,Asia,Lentil (Lens culinaris),Barley (Hordeum vulgare),legume,cereal,0,0,Mixed,,,120,170,,25,25,,,25,kg/ha N,3,3,3,3,"Table 1, Table 2",570.0,,282.0,681.7,kg/ha,0.49,0.34,0.83
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,Randomized Complete Block Design,10 October,10 October,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lentil (Lens culinaris),Barley (Hordeum vulgare),legume,cereal,0,0,Mixed,,,120,170,,25,25,,,25,kg/ha N,3,3,3,3,"Table 1, Table 2",835.0,,170.0,1173.0,kg/ha,0.41,0.38,0.79
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,Randomized Complete Block Design,11 October,11 October,13 July 2000,26 July 2000,,38.4167,43.0333,Asia,Lentil (Lens culinaris),Barley (Hordeum vulgare),legume,cereal,0,0,Mixed,,,120,170,,25,25,,,25,kg/ha N,3,3,3,3,"Table 1, Table 2",570.0,,273.0,1433.0,kg/ha,0.48,0.35,0.83
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,Randomized Complete Block Design,10 October,10 October,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lentil (Lens culinaris),Barley (Hordeum vulgare),legume,cereal,0,0,Mixed,,,120,170,,25,25,,,25,kg/ha N,3,3,3,3,"Table 1, Table 2",835.0,,150.0,2233.0,kg/ha,0.2,0.53,0.73
