paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,2 growing seasons,randomized complete block,1 October (first year),1 October (first year),1 July (lentil),21 July (cereals) in 1999,,38.4167,43.0333,Asia,lentil (Lens culinaris),wheat (Triticum aestivum),legume,cereal,0,0,Mixed,,,12 kg / ha,17 kg / ha,,25,25,,,25,kg / haN,3,3,3,3,"Table 1, Table 2",835,4192,268.0,290,kg/ha,0.32,0.26,0.58
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,2 growing seasons,randomized complete block,1 October (first year),1 October (first year),1 July (lentil),21 July (cereals) in 1999,,38.4167,43.0333,Asia,lentil (Lens culinaris),wheat (Triticum aestivum),legume,cereal,0,0,Mixed,,,12 kg / ha,17 kg / ha,,25,25,,,25,kg / haN,3,3,3,3,"Table 1, Table 2",835,4192,225.0,483,kg/ha,0.27,0.43,0.70
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,2 growing seasons,randomized complete block,1 October (first year),1 October (first year),1 July (lentil),21 July (cereals) in 1999,,38.4167,43.0333,Asia,lentil (Lens culinaris),wheat (Triticum aestivum),legume,cereal,0,0,Mixed,,,12 kg / ha,17 kg / ha,,25,25,,,25,kg / haN,3,3,3,3,"Table 1, Table 2",835,4192,200.0,860,kg/ha,0.24,0.79,1.03
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,2 growing seasons,randomized complete block,11 October (second year),11 October (second year),1 July (lentil),26 July (cereals) in 2000,,38.4167,43.0333,Asia,lentil (Lens culinaris),wheat (Triticum aestivum),legume,cereal,0,0,Mixed,,,12 kg / ha,17 kg / ha,,25,25,,,25,kg / haN,3,3,3,3,"Table 1, Table 2",576,6250,373.5,2037.3,kg/ha,0.66,0.30,0.96
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,2 growing seasons,randomized complete block,11 October (second year),11 October (second year),1 July (lentil),26 July (cereals) in 2000,,38.4167,43.0333,Asia,lentil (Lens culinaris),wheat (Triticum aestivum),legume,cereal,0,0,Mixed,,,12 kg / ha,17 kg / ha,,25,25,,,25,kg / haN,3,3,3,3,"Table 1, Table 2",576,6250,319.5,3333.3,kg/ha,0.56,0.50,1.06
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,2 growing seasons,randomized complete block,11 October (second year),11 October (second year),1 July (lentil),26 July (cereals) in 2000,,38.4167,43.0333,Asia,lentil (Lens culinaris),wheat (Triticum aestivum),legume,cereal,0,0,Mixed,,,12 kg / ha,17 kg / ha,,25,25,,,25,kg / haN,3,3,3,3,"Table 1, Table 2",576,6250,201.0,6093.3,kg/ha,0.35,0.53,0.88
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,2 growing seasons,randomized complete block,1 October (first year),1 October (first year),1 July (lentil),21 July (cereals) in 1999,,38.4167,43.0333,Asia,lentil (Lens culinaris),barley (Hordeum vulgare),legume,cereal,0,0,Mixed,,,12 kg / ha,17 kg / ha,,25,25,,,25,kg / haN,3,3,3,3,"Table 1, Table 2",835,3507,342.0,2357,kg/ha,0.41,0.30,0.71
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,2 growing seasons,randomized complete block,1 October (first year),1 October (first year),1 July (lentil),21 July (cereals) in 1999,,38.4167,43.0333,Asia,lentil (Lens culinaris),barley (Hordeum vulgare),legume,cereal,0,0,Mixed,,,12 kg / ha,17 kg / ha,,25,25,,,25,kg / haN,3,3,3,3,"Table 1, Table 2",835,3507,170.0,3353,kg/ha,0.41,0.38,0.79
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,2 growing seasons,randomized complete block,1 October (first year),1 October (first year),1 July (lentil),21 July (cereals) in 1999,,38.4167,43.0333,Asia,lentil (Lens culinaris),barley (Hordeum vulgare),legume,cereal,0,0,Mixed,,,12 kg / ha,17 kg / ha,,25,25,,,25,kg / haN,3,3,3,3,"Table 1, Table 2",835,3507,150.0,5740,kg/ha,0.20,0.53,0.73
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,2 growing seasons,randomized complete block,11 October (second year),11 October (second year),1 July (lentil),26 July (cereals) in 2000,,38.4167,43.0333,Asia,lentil (Lens culinaris),barley (Hordeum vulgare),legume,cereal,0,0,Mixed,,,12 kg / ha,17 kg / ha,,25,25,,,25,kg / haN,3,3,3,3,"Table 1, Table 2",576,3507,282.0,2352.0,kg/ha,0.49,0.34,0.83
