paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,randomized complete block,10 October,10 October,10 July,21 July,,38.4167,43.0333,"Van, Turkey",Sazak 91 lentil,Tir wheat,legume,cereal,0,0,100% L,233.3,,120,170,,25,,,,,kg / haN,,,3,3,Table 1,835.0,,835.0,,kg/ha,,,1.0
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,randomized complete block,11 October,11 October,13 July,26 July,,38.4167,43.0333,"Van, Turkey",Sazak 91 lentil,Tir wheat,legume,cereal,0,0,100% L,241.9,,120,170,,25,,,,,kg / haN,,,3,3,Table 1,570.0,,570.0,,kg/ha,,,1.0
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,randomized complete block,10 October,10 October,10 July,21 July,,38.4167,43.0333,"Van, Turkey",Sazak 91 lentil,Tir wheat,legume,cereal,0,0,90% + 10% W,161.7,,120,170,,25,,,,,kg / haN,,,3,3,"Table 1, Table 2",835.0,1087,268.0,290,kg/ha,,,0.58
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,randomized complete block,11 October,11 October,13 July,26 July,,38.4167,43.0333,"Van, Turkey",Sazak 91 lentil,Tir wheat,legume,cereal,0,0,90% + 10% W,174.3,,120,170,,25,,,,,kg / haN,,,3,3,"Table 1, Table 2",570.0,2123.3,373.5,627.3,kg/ha,,,0.96
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,randomized complete block,10 October,10 October,10 July,21 July,,38.4167,43.0333,"Van, Turkey",Sazak 91 lentil,Tir wheat,legume,cereal,0,0,80% L + 20% W,150.0,,120,170,,25,,,,,kg / haN,,,3,3,"Table 1, Table 2",835.0,1087,225.0,483,kg/ha,,,0.7
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,randomized complete block,11 October,11 October,13 July,26 July,,38.4167,43.0333,"Van, Turkey",Sazak 91 lentil,Tir wheat,legume,cereal,0,0,80% L + 20% W,164.7,,120,170,,25,,,,,kg / haN,,,3,3,"Table 1, Table 2",570.0,2123.3,319.5,1069.0,kg/ha,,,1.06
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,randomized complete block,10 October,10 October,10 July,21 July,,38.4167,43.0333,"Van, Turkey",Sazak 91 lentil,Tir wheat,legume,cereal,0,0,70% L + 30% W,126.7,,120,170,,25,,,,,kg / haN,,,3,3,"Table 1, Table 2",835.0,1087,200.0,860,kg/ha,,,1.03
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,randomized complete block,11 October,11 October,13 July,26 July,,38.4167,43.0333,"Van, Turkey",Sazak 91 lentil,Tir wheat,legume,cereal,0,0,70% L + 30% W,132.9,,120,170,,25,,,,,kg / haN,,,3,3,"Table 1, Table 2",570.0,2123.3,201.0,1117.0,kg/ha,,,0.88
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,randomized complete block,10 October,10 October,10 July,21 July,,38.4167,43.0333,"Van, Turkey",Sazak 91 lentil,Tokak 157/37 barley,legume,cereal,0,0,90% L + 10% B,180.0,,120,170,,25,,,,,kg / haN,,,3,3,"Table 1, Table 2",835.0,,342.0,840,kg/ha,,,0.71
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,randomized complete block,11 October,11 October,13 July,26 July,,38.4167,43.0333,"Van, Turkey",Sazak 91 lentil,Tokak 157/37 barley,legume,cereal,0,0,90% L + 10% B,209.9,,120,170,,25,,,,,kg / haN,,,3,3,"Table 1, Table 2",570.0,,282.0,701.7,kg/ha,,,0.83
