paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1992-1993,,Randomized Complete Block Design,"15 October 1992 (Lumle), 21 October 1992 (Lopre)","15 October 1992 (Lumle), 21 October 1992 (Lopre)",,,,,,Asia,Barley (Hordeum vulgare cv. Bonus),Peas (Pisum sativum cv. Tikot Local),cereal,legume,0,0,Mixed,100,,100,,,30,,,,30,kg N ha-1,3,3,3,3,Table 3,2.49,,,,t ha-1,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1992-1993,,Randomized Complete Block Design,"15 October 1992 (Lumle), 21 October 1992 (Lopre)","15 October 1992 (Lumle), 21 October 1992 (Lopre)",,,,,,Asia,Barley (Hordeum vulgare cv. Bonus),Peas (Pisum sativum cv. Tikot Local),cereal,legume,0,0,Mixed,100,40,100,60,,30,,,,30,kg N ha-1,3,3,3,3,Table 3,2.49,1.3,2.06,0.37,t ha-1,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1992-1993,,Randomized Complete Block Design,"15 October 1992 (Lumle), 21 October 1992 (Lopre)","15 October 1992 (Lumle), 21 October 1992 (Lopre)",,,,,,Asia,Barley (Hordeum vulgare cv. Bonus),Peas (Pisum sativum cv. Tikot Local),cereal,legume,0,0,Mixed,100,20,100,60,,30,,,,30,kg N ha-1,3,3,3,3,Table 3,2.49,1.3,2.69,0.34,t ha-1,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1992-1993,,Randomized Complete Block Design,"15 October 1992 (Lumle), 21 October 1992 (Lopre)","15 October 1992 (Lumle), 21 October 1992 (Lopre)",,,,,,Asia,Barley (Hordeum vulgare cv. Local),Peas (Pisum sativum cv. Tikot Local),cereal,legume,0,0,Mixed,100,,100,,,30,,,,30,kg N ha-1,3,3,3,3,Table 3,3.39,,,,t ha-1,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1992-1993,,Randomized Complete Block Design,"15 October 1992 (Lumle), 21 October 1992 (Lopre)","15 October 1992 (Lumle), 21 October 1992 (Lopre)",,,,,,Asia,Barley (Hordeum vulgare cv. Local),Peas (Pisum sativum cv. Tikot Local),cereal,legume,0,0,Mixed,100,40,100,60,,30,,,,30,kg N ha-1,3,3,3,3,Table 3,3.39,1.3,2.97,0.36,t ha-1,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1992-1993,,Randomized Complete Block Design,"15 October 1992 (Lumle), 21 October 1992 (Lopre)","15 October 1992 (Lumle), 21 October 1992 (Lopre)",,,,,,Asia,Barley (Hordeum vulgare cv. Local),Peas (Pisum sativum cv. Tikot Local),cereal,legume,0,0,Mixed,100,20,100,60,,30,,,,30,kg N ha-1,3,3,3,3,Table 3,3.39,1.3,2.35,0.29,t ha-1,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1993-1994,,Randomized Complete Block Design,"14 October 1993 (Lumle), 14 October 1993 (Lopre)","14 October 1993 (Lumle), 14 October 1993 (Lopre)",,,,,,Asia,Barley (Hordeum vulgare cv. Bonus),Peas (Pisum sativum cv. Tikot Local),cereal,legume,0,0,Mixed,100,,100,,,30,,,,30,kg N ha-1,3,3,3,3,Table 3,1.89,,,,t ha-1,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1993-1994,,Randomized Complete Block Design,"14 October 1993 (Lumle), 14 October 1993 (Lopre)","14 October 1993 (Lumle), 14 October 1993 (Lopre)",,,,,,Asia,Barley (Hordeum vulgare cv. Bonus),Peas (Pisum sativum cv. Tikot Local),cereal,legume,0,0,Mixed,100,40,100,60,,30,,,,30,kg N ha-1,3,3,3,3,Table 3,1.89,0.96,1.94,0.2,t ha-1,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1993-1994,,Randomized Complete Block Design,"14 October 1993 (Lumle), 14 October 1993 (Lopre)","14 October 1993 (Lumle), 14 October 1993 (Lopre)",,,,,,Asia,Barley (Hordeum vulgare cv. Bonus),Peas (Pisum sativum cv. Tikot Local),cereal,legume,0,0,Mixed,100,20,100,60,,30,,,,30,kg N ha-1,3,3,3,3,Table 3,1.89,0.96,2.48,0.28,t ha-1,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1993-1994,,Randomized Complete Block Design,"14 October 1993 (Lumle), 14 October 1993 (Lopre)","14 October 1993 (Lumle), 14 October 1993 (Lopre)",,,,,,Asia,Barley (Hordeum vulgare cv. Local),Peas (Pisum sativum cv. Tikot Local),cereal,legume,0,0,Mixed,100,,100,,,30,,,,30,kg N ha-1,3,3,3,3,Table 3,0.94,,,,t ha-1,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1993-1994,,Randomized Complete Block Design,"14 October 1993 (Lumle), 14 October 1993 (Lopre)","14 October 1993 (Lumle), 14 October 1993 (Lopre)",,,,,,Asia,Barley (Hordeum vulgare cv. Local),Peas (Pisum sativum cv. Tikot Local),cereal,legume,0,0,Mixed,100,40,100,60,,30,,,,30,kg N ha-1,3,3,3,3,Table 3,0.94,0.96,0.52,0.7,t ha-1,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1993-1994,,Randomized Complete Block Design,"14 October 1993 (Lumle), 14 October 1993 (Lopre)","14 October 1993 (Lumle), 14 October 1993 (Lopre)",,,,,,Asia,Barley (Hordeum vulgare cv. Local),Peas (Pisum sativum cv. Tikot Local),cereal,legume,0,0,Mixed,100,20,100,60,,30,,,,30,kg N ha-1,3,3,3,3,Table 3,0.94,0.96,0.7,0.47,t ha-1,,,
