paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,mas,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,June 28 1988 to January 9 1989,R.B.D,28 June 1988,28 June 1988,9 January 1989,7 October 1988,,,,Asia,pigeonpea,groundnut,legume,oilseed,0,0,Sole,,,,30 cm,,,2,,,,kg N,,3,,,Table 1,,8.49,,,q/ha,,,1.00
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,mas,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,June 28 1988 to January 9 1989,R.B.D,28 June 1988,28 June 1988,9 January 1989,7 October 1988,,,,Asia,pigeonpea,groundnut,legume,oilseed,0,0,Sole,,,60 cm,,,2,,,,,kg N,3,,,,Table 1,5.29,,,,q/ha,,,1.00
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,mas,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,June 28 1988 to January 9 1989,R.B.D,28 June 1988,28 June 1988,9 January 1989,7 October 1988,,,,Asia,pigeonpea,groundnut,legume,oilseed,0,0,Row,27 cm,8 rows,,,,,,2,2,4,kg N,,,3,3,Table 1,,,1.06,5.73,q/ha,,,0.97
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,mas,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,June 28 1988 to January 9 1989,R.B.D,28 June 1988,28 June 1988,9 January 1989,7 October 1988,,,,Asia,pigeonpea,groundnut,legume,oilseed,0,0,Row,21 cm,6 rows,,,,,,2,2,4,kg N,,,3,3,Table 1,,,1.79,4.96,q/ha,,,0.92
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,mas,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,June 28 1988 to January 9 1989,R.B.D,28 June 1988,28 June 1988,9 January 1989,7 October 1988,,,,Asia,pigeonpea,groundnut,legume,oilseed,0,0,Row,15 cm,4 rows,,,,,,2,2,4,kg N,,,3,3,Table 1,,,2.16,4.41,q/ha,,,0.93
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,mas,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,June 28 1988 to January 9 1989,R.B.D,28 June 1988,28 June 1988,9 January 1989,7 October 1988,,,,Asia,pigeonpea,groundnut,legume,oilseed,0,0,Row,12 cm,3 rows,,,,,,2,2,4,kg N,,,3,3,Table 1,,,3.42,4.30,q/ha,,,1.16
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,mas,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,June 28 1988 to January 9 1989,R.B.D,28 June 1988,28 June 1988,9 January 1989,7 October 1988,,,,Asia,pigeonpea,groundnut,legume,oilseed,0,0,Row,9 cm,2 rows,,,,,,2,2,4,kg N,,,3,3,Table 1,,,4.19,3.64,q/ha,,,1.22
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,mas,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,June 28 1988 to January 9 1989,R.B.D,28 June 1988,28 June 1988,9 January 1989,7 October 1988,,,,Asia,pigeonpea,groundnut,legume,oilseed,0,0,Sole,,,9/3 cm,,,2,,,,,kg N,3,,,,Table 1,4.96,,,,q/ha,,,1.00
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,mas,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,June 28 1988 to January 9 1989,R.B.D,28 June 1988,28 June 1988,9 January 1989,7 October 1988,,,,Asia,pigeonpea,groundnut,legume,oilseed,0,0,Strip,27/3 cm,8 rows,,,,,,2,2,4,kg N,,,3,3,Table 1,,,1.32,4.63,q/ha,,,0.82
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,mas,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,June 28 1988 to January 9 1989,R.B.D,28 June 1988,28 June 1988,9 January 1989,7 October 1988,,,,Asia,pigeonpea,groundnut,legume,oilseed,0,0,Strip,21/3 cm,6 rows,,,,,,2,2,4,kg N,,,3,3,Table 1,,,1.46,4.41,q/ha,,,0.81
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,mas,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,June 28 1988 to January 9 1989,R.B.D,28 June 1988,28 June 1988,9 January 1989,7 October 1988,,,,Asia,pigeonpea,groundnut,legume,oilseed,0,0,Strip,15/3 cm,4 rows,,,,,,2,2,4,kg N,,,3,3,Table 1,,,2.12,3.86,q/ha,,,0.88
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,mas,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,June 28 1988 to January 9 1989,R.B.D,28 June 1988,28 June 1988,9 January 1989,7 October 1988,,,,Asia,pigeonpea,groundnut,legume,oilseed,0,0,Strip,12/3 cm,3 rows,,,,,,2,2,4,kg N,,,3,3,Table 1,,,3.31,3.42,q/ha,,,1.07
