paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,static_workflow,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,,R.B.D,28 June,28 June,7 October 1988,9 January 1989,,,,Asia,groundnut,pigeonpea,legume,legume,0,0,Sole,,,,,,,,,,20 kg N,kg N,3,3,3,3,Table 1,8.49,,,,q/ha,,,1.00
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,static_workflow,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,,R.B.D,28 June,28 June,7 October 1988,9 January 1989,,,,Asia,groundnut,pigeonpea,legume,legume,0,0,Sole,,,,,,,,,,20 kg N,kg N,3,3,3,3,Table 1,,5.29,,,q/ha,,,1.00
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,static_workflow,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,,R.B.D,28 June,28 June,7 October 1988,9 January 1989,,,,Asia,groundnut,pigeonpea,legume,legume,0,0,Row,,,,,,,,,,20 kg N,kg N,3,3,3,3,Table 1,8.49,5.29,5.73,1.06,q/ha,,,0.97
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,static_workflow,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,,R.B.D,28 June,28 June,7 October 1988,9 January 1989,,,,Asia,groundnut,pigeonpea,legume,legume,0,0,Row,,,,,,,,,,20 kg N,kg N,3,3,3,3,Table 1,8.49,5.29,4.96,1.79,q/ha,,,0.92
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,static_workflow,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,,R.B.D,28 June,28 June,7 October 1988,9 January 1989,,,,Asia,groundnut,pigeonpea,legume,legume,0,0,Row,,,,,,,,,,20 kg N,kg N,3,3,3,3,Table 1,8.49,5.29,4.41,2.16,q/ha,,,0.93
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,static_workflow,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,,R.B.D,28 June,28 June,7 October 1988,9 January 1989,,,,Asia,groundnut,pigeonpea,legume,legume,0,0,Row,,,,,,,,,,20 kg N,kg N,3,3,3,3,Table 1,8.49,5.29,4.30,3.42,q/ha,,,1.16
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,static_workflow,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,,R.B.D,28 June,28 June,7 October 1988,9 January 1989,,,,Asia,groundnut,pigeonpea,legume,legume,0,0,Row,,,,,,,,,,20 kg N,kg N,3,3,3,3,Table 1,8.49,5.29,3.64,4.19,q/ha,,,1.22
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,static_workflow,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,,R.B.D,28 June,28 June,7 October 1988,9 January 1989,,,,Asia,groundnut,pigeonpea,legume,legume,0,0,Sole,,,,,,,,,,20 kg N,kg N,3,3,3,3,Table 1,,4.96,,,q/ha,,,1.00
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,static_workflow,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,,R.B.D,28 June,28 June,7 October 1988,9 January 1989,,,,Asia,groundnut,pigeonpea,legume,legume,0,0,Row,,,,,,,,,,20 kg N,kg N,3,3,3,3,Table 1,8.49,4.96,4.63,1.32,q/ha,,,0.82
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,static_workflow,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,,R.B.D,28 June,28 June,7 October 1988,9 January 1989,,,,Asia,groundnut,pigeonpea,legume,legume,0,0,Row,,,,,,,,,,20 kg N,kg N,3,3,3,3,Table 1,8.49,4.96,4.41,1.46,q/ha,,,0.81
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,static_workflow,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,,R.B.D,28 June,28 June,7 October 1988,9 January 1989,,,,Asia,groundnut,pigeonpea,legume,legume,0,0,Row,,,,,,,,,,20 kg N,kg N,3,3,3,3,Table 1,8.49,4.96,3.86,2.12,q/ha,,,0.88
070_Das_et_al_1991_Studies_on_pigeonpea_and_groundnut_,70,70,static_workflow,27. Das et al 1991 Studies on pigeonpea and groundnut intercropping system,1988,,R.B.D,28 June,28 June,7 October 1988,9 January 1989,,,,Asia,groundnut,pigeonpea,legume,legume,0,0,Row,,,,,,,,,,20 kg N,kg N,3,3,3,3,Table 1,8.49,4.96,3.42,3.31,q/ha,,,1.07
