paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,55.56,-113.51,North America,Wheat,Wheat,cereal,cereal,0,0,,,,300,,,116,,,,,kg ha-1,,,4,,Table I,4434,,,,kg ha-1,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,55.56,-113.51,North America,Wheat,Barley,cereal,cereal,0,0,Row,50,50,300,300,,116,,,,,kg ha-1,,,4,,"Table 2, Table 3",4434,4814,968,4194,kg ha-1,,,1.09
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,55.56,-113.51,North America,Wheat,Canola,cereal,oilseed,0,0,Row,50,50,300,90,,116,,,,,kg ha-1,,,4,,"Table 2, Table 3",4434,1541,4990,59,kg ha-1,,,1.17
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,55.56,-113.51,North America,Wheat,Pea,cereal,legume,0,0,Row,50,50,300,75,,116,,,,,kg ha-1,,,4,,"Table 2, Table 3",4434,3397,4389,323,kg ha-1,,,1.09
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,55.56,-113.51,North America,Wheat,"Barley, Canola",cereal,mixed,0,0,Row,33,33,300,,,116,,,,,kg ha-1,,,4,,"Table 2, Table 3",4434,,761,4472,kg ha-1,,,1.1
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,55.56,-113.51,North America,Wheat,"Barley, Pea",cereal,mixed,0,0,Row,33,33,300,,,116,,,,,kg ha-1,,,4,,"Table 2, Table 3",4434,,684,4537,kg ha-1,,,1.13
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,55.56,-113.51,North America,Wheat,"Canola, Pea",cereal,mixed,0,0,Row,33,33,300,,,116,,,,,kg ha-1,,,4,,"Table 2, Table 3",4434,,3677,435,kg ha-1,,,0.99
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,55.56,-113.51,North America,Wheat,"Barley, Canola, Pea",cereal,mixed,0,0,Row,25,25,300,,,116,,,,,kg ha-1,,,4,,"Table 2, Table 3",4434,,672,4835,kg ha-1,,,1.17
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,55.56,-113.51,North America,Wheat,Barley,cereal,cereal,0,0,Row,50,50,300,300,,,,,,,kg ha-1,,,4,,"Table 2, Table 3",2571,2874,669,2465,kg ha-1,,,1.15
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,55.56,-113.51,North America,Wheat,Canola,cereal,oilseed,0,0,Row,50,50,300,90,,,,,,,kg ha-1,,,4,,"Table 2, Table 3",2571,239,2062,22,kg ha-1,,,0.82
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,55.56,-113.51,North America,Wheat,Pea,cereal,legume,0,0,Row,50,50,300,75,,,,,,,kg ha-1,,,4,,"Table 2, Table 3",2571,162,2273,20,kg ha-1,,,1.64
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,55.56,-113.51,North America,Wheat,"Barley, Canola",cereal,mixed,0,0,Row,33,33,300,,,,,,,,kg ha-1,,,4,,"Table 2, Table 3",2571,,543,2196,kg ha-1,,,0.89
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,55.56,-113.51,North America,Wheat,"Barley, Pea",cereal,mixed,0,0,Row,33,33,300,,,,,,,,kg ha-1,,,4,,"Table 2, Table 3",2571,,479,2606,kg ha-1,,,1.39
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,55.56,-113.51,North America,Wheat,"Canola, Pea",cereal,mixed,0,0,Row,33,33,300,,,,,,,,kg ha-1,,,4,,"Table 2, Table 3",2571,,1733,89,kg ha-1,,,1.93
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,55.56,-113.51,North America,Wheat,"Barley, Canola, Pea",cereal,mixed,0,0,Row,25,25,300,,,,,,,,kg ha-1,,,4,,"Table 2, Table 3",2571,,556,2404,kg ha-1,,,1.13
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,52.86,-112.93,North America,Wheat,Barley,cereal,cereal,0,0,Row,50,50,300,300,,,,,,,kg ha-1,,,4,,"Table 2, Table 3",2065,2661,787,1582,kg ha-1,,,0.98
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,52.86,-112.93,North America,Wheat,Canola,cereal,oilseed,0,0,Row,50,50,300,90,,,,,,,kg ha-1,,,4,,"Table 2, Table 3",2065,206,1375,41,kg ha-1,,,1.13
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,52.86,-112.93,North America,Wheat,Pea,cereal,legume,0,0,Row,50,50,300,75,,,,,,,kg ha-1,,,4,,"Table 2, Table 3",2065,109,1371,88,kg ha-1,,,1.26
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,52.86,-112.93,North America,Wheat,"Barley, Canola",cereal,mixed,0,0,Row,33,33,300,,,,,,,,kg ha-1,,,4,,"Table 2, Table 3",2065,,646,1335,kg ha-1,,,0.99
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,52.86,-112.93,North America,Wheat,"Barley, Pea",cereal,mixed,0,0,Row,33,33,300,,,,,,,,kg ha-1,,,4,,"Table 2, Table 3",2065,,726,1465,kg ha-1,,,1.22
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,52.86,-112.93,North America,Wheat,"Canola, Pea",cereal,mixed,0,0,Row,33,33,300,,,,,,,,kg ha-1,,,4,,"Table 2, Table 3",2065,,1248,230,kg ha-1,,,1.74
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,completely randomized block experiment,May,May,,,,52.86,-112.93,North America,Wheat,"Barley, Canola, Pea",cereal,mixed,0,0,Row,25,25,300,,,,,,,,kg ha-1,,,4,,"Table 2, Table 3",2065,,527,1496,kg ha-1,,,1.27
