paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,randomized complete block design,early May,early May,,,,38.25,46.2833,Iran,potato,pinto bean,cereal,legume,0,0,Row,,,5.3,,,150,,,,,kg ha-1,3,,3,,Table 2,16.01,,,,ton,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,randomized complete block design,early May,early May,,,,38.25,46.2833,Iran,potato,pinto bean,cereal,legume,0,0,Row,,,4.7,,,150,,,,,kg ha-1,3,,3,,Table 2,15.77,,,,ton,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,randomized complete block design,early May,early May,,,,38.25,46.2833,Iran,potato,pinto bean,cereal,legume,0,0,Row,5.3,55,,,,150,,,,,kg ha-1,3,,3,,"Table 2, Table 4",,,13.54,1.268,ton,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,randomized complete block design,early May,early May,,,,38.25,46.2833,Iran,potato,pinto bean,cereal,legume,0,0,Row,5.3,45,,,,150,,,,,kg ha-1,3,,3,,"Table 2, Table 4",,,13.77,1.108,ton,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,randomized complete block design,early May,early May,,,,38.25,46.2833,Iran,potato,pinto bean,cereal,legume,0,0,Row,4.7,55,,,,150,,,,,kg ha-1,3,,3,,"Table 2, Table 4",,,12.55,1.322,ton,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,randomized complete block design,early May,early May,,,,38.25,46.2833,Iran,potato,pinto bean,cereal,legume,0,0,Row,4.7,45,,,,150,,,,,kg ha-1,3,,3,,"Table 2, Table 4",,,12.9,1.16,ton,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,randomized complete block design,early May,early May,,,,38.25,46.2833,Iran,potato,pinto bean,cereal,legume,0,0,Row,5.3,55,,,,150,,,,,kg ha-1,3,,3,,"Table 2, Table 4",,,14.36,0.8917,ton,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,randomized complete block design,early May,early May,,,,38.25,46.2833,Iran,potato,pinto bean,cereal,legume,0,0,Row,5.3,45,,,,150,,,,,kg ha-1,3,,3,,"Table 2, Table 4",,,14.83,0.793,ton,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,randomized complete block design,early May,early May,,,,38.25,46.2833,Iran,potato,pinto bean,cereal,legume,0,0,Row,4.7,55,,,,150,,,,,kg ha-1,3,,3,,"Table 2, Table 4",,,13.49,0.9392,ton,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,randomized complete block design,early May,early May,,,,38.25,46.2833,Iran,potato,pinto bean,cereal,legume,0,0,Row,4.7,45,,,,150,,,,,kg ha-1,3,,3,,"Table 2, Table 4",,,13.76,0.8195,ton,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,randomized complete block design,early May,early May,,,,38.25,46.2833,Iran,potato,pinto bean,cereal,legume,0,0,Row,,,,55,,,150,,,,kg ha-1,,3,3,,Table 4,,3.037,,,ton,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005-2006,,randomized complete block design,early May,early May,,,,38.25,46.2833,Iran,potato,pinto bean,cereal,legume,0,0,Row,,,,45,,,150,,,,kg ha-1,,3,3,,Table 4,,2.787,,,ton,,,
