paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,randomized split-plot designs,16 April 1980,16 April 1980,,,,55.683,12.083,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,30,154,80,350,1.0,0,0,0,0,0,g N m-2,3,3,3,3,Table 3,456.0,412.0,,,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,randomized split-plot designs,16 April 1980,16 April 1980,,,,55.683,12.083,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,30,154,80,350,1.0,5,5,5,5,5,g N m-2,3,3,3,3,Table 3,357.0,550.0,,,g DM m-2,,,1.06
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,randomized split-plot designs,13 April 1981,13 April 1981,,,,55.683,12.083,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,35,185,80,350,1.0,0,0,0,0,0,g N m-2,3,3,3,3,Table 3,437.0,355.0,,,g DM m-2,,,1.31
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,randomized split-plot designs,13 April 1981,13 April 1981,,,,55.683,12.083,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,35,185,80,350,1.0,5,5,5,5,5,g N m-2,3,3,3,3,Table 3,456.0,467.0,,,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,randomized split-plot designs,7 April 1982,7 April 1982,,,,55.683,12.083,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,45,167,80,350,1.0,0,0,0,0,0,g N m-2,3,3,3,3,Table 3,714.0,473.0,,,g DM m-2,,,1.17
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,randomized split-plot designs,7 April 1982,7 April 1982,,,,55.683,12.083,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,45,167,80,350,1.0,5,5,5,5,5,g N m-2,3,3,3,3,Table 3,767.0,615.0,,,g DM m-2,,,1.02
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,randomized split-plot designs,16 April 1984,16 April 1984,,,,55.683,12.083,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,48,178,80,350,1.0,0,0,0,0,0,g N m-2,4,4,4,4,Table 3,659.0,332.0,,,g DM m-2,,,1.12
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,randomized split-plot designs,16 April 1984,16 April 1984,,,,55.683,12.083,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,48,178,80,350,1.0,5,5,5,5,5,g N m-2,4,4,4,4,Table 3,661.0,579.0,,,g DM m-2,,,1.0
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,2,mas,"Hauggaard-Nielsen 2001 Interspecific competition, N use and interference with weeds in pea-barley",1998,111 days,complete one-factorial randomised design,23 April 1998,23 April 1998,111 days after emergence,111 days after emergence,,55.41,12.05,Europe,Field pea (Pisum sativum L.),Spring barley (Hordeum vulgare L.),legume,cereal,0,0,Mixed,0.45 * 70,0.45 * 300,70,300,,1,1,1,1,1,kg N ha-1,8,8,8,8,Table 2,263.0,3927.0,604.0,3974.0,kg DM ha-1,,,1.25-1.29
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,mas,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,mas,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,mas,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,mas,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,mas,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,mas,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,mas,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,mas,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,11,mas,"Andersen 2004 Biomass production, symbiotic nitrogen fixation and inorganic N use",2000,112 days,randomized split-plot design,27 April 2000,27 April 2000,August 2000,August 2000,,55.4,12.18,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,40,175,80,350,,0.5,0.5,0.5,0.5,0.5,g N m-2,4,4,4,4,Table 2,394.0,210.0,307.0,,g DM m-2,,,
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,11,mas,"Andersen 2004 Biomass production, symbiotic nitrogen fixation and inorganic N use",2000,112 days,randomized split-plot design,27 April 2000,27 April 2000,August 2000,August 2000,,55.4,12.18,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,40,175,80,350,,4.0,4.0,4.0,4.0,4.0,g N m-2,4,4,4,4,Table 2,388.0,287.0,307.0,,g DM m-2,,,
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,11,mas,"Andersen 2004 Biomass production, symbiotic nitrogen fixation and inorganic N use",2000,112 days,randomized split-plot design,27 April 2000,27 April 2000,August 2000,August 2000,,55.4,12.18,Europe,Pisum sativum,Brassica napus,legume,oilseed,0,0,Mixed,40,55,80,110,,0.5,0.5,0.5,0.5,0.5,g N m-2,4,4,4,4,Table 2,394.0,112.0,294.0,,g DM m-2,,,
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,11,mas,"Andersen 2004 Biomass production, symbiotic nitrogen fixation and inorganic N use",2000,112 days,randomized split-plot design,27 April 2000,27 April 2000,August 2000,August 2000,,55.4,12.18,Europe,Pisum sativum,Brassica napus,legume,oilseed,0,0,Mixed,40,55,80,110,,4.0,4.0,4.0,4.0,4.0,g N m-2,4,4,4,4,Table 2,388.0,157.0,278.0,,g DM m-2,,,
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,11,mas,"Andersen 2004 Biomass production, symbiotic nitrogen fixation and inorganic N use",2000,112 days,randomized split-plot design,27 April 2000,27 April 2000,August 2000,August 2000,,55.4,12.18,Europe,Hordeum vulgare,Brassica napus,cereal,oilseed,0,0,Mixed,175,55,350,110,,0.5,0.5,0.5,0.5,0.5,g N m-2,4,4,4,4,Table 2,210.0,112.0,242.0,,g DM m-2,,,
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,11,mas,"Andersen 2004 Biomass production, symbiotic nitrogen fixation and inorganic N use",2000,112 days,randomized split-plot design,27 April 2000,27 April 2000,August 2000,August 2000,,55.4,12.18,Europe,Hordeum vulgare,Brassica napus,cereal,oilseed,0,0,Mixed,175,55,350,110,,4.0,4.0,4.0,4.0,4.0,g N m-2,4,4,4,4,Table 2,287.0,157.0,241.0,,g DM m-2,,,
014_Corre_Hellou_2006_Interspecific_competition_for_so,14,14,mas,Corre-Hellou 2006 Interspecific competition for soil N and its interaction with N-2 fixation,2001,,randomized complete block design,1 April 2001,1 April 2001,,,,47.27,-2.4,Europe,"Field pea (Pisum sativum L., cv. Baccara)","spring barley (Hordeum vulgare L., cv. Scarlett)",legume,cereal,0,0,Row,78,32,8,25,,30,30,,,30,kg N ha-1,4,4,4,4,"Table 1, Table 2",570.0,440.0,350.0,190.0,g m-2,0.61,0.43,1.05
014_Corre_Hellou_2006_Interspecific_competition_for_so,14,14,mas,Corre-Hellou 2006 Interspecific competition for soil N and its interaction with N-2 fixation,2001,,randomized complete block design,1 April 2001,1 April 2001,,,,47.27,-2.4,Europe,"Field pea (Pisum sativum L., cv. Baccara)","spring barley (Hordeum vulgare L., cv. Scarlett)",legume,cereal,0,0,Row,75,69,8,25,,30,30,,,30,kg N ha-1,4,4,4,4,"Table 1, Table 2",570.0,440.0,300.0,270.0,g m-2,0.53,0.61,1.14
014_Corre_Hellou_2006_Interspecific_competition_for_so,14,14,mas,Corre-Hellou 2006 Interspecific competition for soil N and its interaction with N-2 fixation,2002,,randomized complete block design,28 March 2002,28 March 2002,,,,47.27,-2.4,Europe,"Field pea (Pisum sativum L., cv. Baccara)","spring barley (Hordeum vulgare L., cv. Scarlett)",legume,cereal,0,0,Row,55,36,8,12,,0,0,,,0,kg N ha-1,4,4,4,4,"Table 1, Table 2",620.0,380.0,340.0,130.0,g m-2,0.55,0.33,0.88
