paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,randomized split-plot designs,16 April 1980,,,,,55.6833,12.0833,Denmark,Pisum sativum L.,Hordeum vulgare L.,legume,cereal,0,0.0,mixed,30±1,154±1,63±1,275±3,,,,-N,,,gNm-2,3.0,3.0,3,3.0,"Table 2, Table 3",456.0,412.0,479.0,,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,randomized split-plot designs,16 April 1980,,,,,55.6833,12.0833,Denmark,Pisum sativum L.,Hordeum vulgare L.,legume,cereal,0,0.0,mixed,30±1,154±1,63±1,275±3,,,,+N,,5.0,gNm-2,3.0,3.0,3,3.0,"Table 2, Table 3",357.0,550.0,541.0,,g DM m-2,,,1.06
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,randomized split-plot designs,13 April 1981,,,,,55.6833,12.0833,Denmark,Pisum sativum L.,Hordeum vulgare L.,legume,cereal,0,0.0,mixed,35±2,185±2,65±1,381±9,,,,-N,,,gNm-2,3.0,3.0,3,3.0,"Table 2, Table 3",437.0,355.0,509.0,,g DM m-2,,,1.31
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,randomized split-plot designs,13 April 1981,,,,,55.6833,12.0833,Denmark,Pisum sativum L.,Hordeum vulgare L.,legume,cereal,0,0.0,mixed,35±2,185±2,65±1,381±9,,,,+N,,5.0,gNm-2,3.0,3.0,3,3.0,"Table 2, Table 3",456.0,467.0,519.0,,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,randomized split-plot designs,7 April 1982,,,,,55.6833,12.0833,Denmark,Pisum sativum L.,Hordeum vulgare L.,legume,cereal,0,0.0,mixed,45±3,167±3,88±1,299±2,,,,-N,,,gNm-2,3.0,3.0,3,3.0,"Table 2, Table 3",714.0,473.0,658.0,,g DM m-2,,,1.17
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,randomized split-plot designs,7 April 1982,,,,,55.6833,12.0833,Denmark,Pisum sativum L.,Hordeum vulgare L.,legume,cereal,0,0.0,mixed,45±3,167±3,88±1,299±2,,,,+N,,5.0,gNm-2,3.0,3.0,3,3.0,"Table 2, Table 3",767.0,615.0,665.0,,g DM m-2,,,1.02
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,randomized split-plot designs,16 April 1984,,,,,55.6833,12.0833,Denmark,Pisum sativum L.,Hordeum vulgare L.,legume,cereal,0,0.0,mixed,48±1,178±2,88±2,356±2,,,,-N,,,gNm-2,4.0,4.0,4,4.0,"Table 2, Table 3",659.0,332.0,561.0,,g DM m-2,,,1.12
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,randomized split-plot designs,16 April 1984,,,,,55.6833,12.0833,Denmark,Pisum sativum L.,Hordeum vulgare L.,legume,cereal,0,0.0,mixed,48±1,178±2,88±2,356±2,,,,+N,,5.0,gNm-2,4.0,4.0,4,4.0,"Table 2, Table 3",661.0,579.0,607.0,,g DM m-2,,,1.0
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,2,static_workflow,"Hauggaard-Nielsen 2001 Interspecific competition, N use and interference with weeds in pea-barley",1998,111 days after emergence,complete one-factorial randomised design,23 April,23 April,,,,55.6833,12.0833,Denmark,Pisum sativum L. cv. Focus,Hordeum vulgare L. cv. Otira,legume,cereal,0,0.0,mixed,,,70,300,,,,10,,10,kg N ha-1,8.0,8.0,8,,Table 2,2630.0,3927.0,604.0,3974.0,kg DM ha-1,0.23-0.35,0.9,1.25-1.29
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,11,static_workflow,"Andersen 2004 Biomass production, symbiotic nitrogen fixation and inorganic N use",2000,112 days,randomized split-plot design,27th of April,27th of April,,,,55.6667,12.3,Denmark,pea (Pisum sativum L.),barley (Hordeum vulgare L.),legume,cereal,0,0.0,Row,42,172,75,312.0,,,,,,0.5,g N m-2,4.0,4.0,4,4.0,Table 2,394.0,210.0,307.0,,g DM m-2,,,
