paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0,0,Mixed,25% RD (62.5 plants/m²),25% RD (6.25 plants/m²),25% RD (62.5 plants/m²),25% RD (6.25 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",0.92,0.69,0.41,0.35,t/ha,0.41,0.35,0.76
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0,0,Mixed,50% RD (125 plants/m²),25% RD (6.25 plants/m²),50% RD (125 plants/m²),25% RD (6.25 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",1.36,0.69,0.73,0.36,t/ha,0.73,0.36,1.06
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0,0,Mixed,75% RD (187.5 plants/m²),25% RD (6.25 plants/m²),75% RD (187.5 plants/m²),25% RD (6.25 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",1.35,0.69,0.78,0.24,t/ha,0.78,0.24,1.02
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0,0,Mixed,100% RD (250 plants/m²),25% RD (6.25 plants/m²),100% RD (250 plants/m²),25% RD (6.25 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",1.35,0.69,0.92,0.35,t/ha,0.92,0.35,1.27
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0,0,Mixed,25% RD (62.5 plants/m²),50% RD (12.5 plants/m²),25% RD (62.5 plants/m²),50% RD (12.5 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",0.92,1.38,0.32,0.54,t/ha,0.32,0.54,0.86
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0,0,Mixed,50% RD (125 plants/m²),50% RD (12.5 plants/m²),50% RD (125 plants/m²),50% RD (12.5 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",1.36,1.38,0.53,0.55,t/ha,0.53,0.55,1.08
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0,0,Mixed,75% RD (187.5 plants/m²),50% RD (12.5 plants/m²),75% RD (187.5 plants/m²),50% RD (12.5 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",1.35,1.38,0.75,0.31,t/ha,0.75,0.31,1.05
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0,0,Mixed,100% RD (250 plants/m²),50% RD (12.5 plants/m²),100% RD (250 plants/m²),50% RD (12.5 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",1.35,1.38,0.82,0.43,t/ha,0.82,0.43,1.25
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0,0,Mixed,25% RD (62.5 plants/m²),75% RD (18.75 plants/m²),25% RD (62.5 plants/m²),75% RD (18.75 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",0.92,2.07,0.32,0.63,t/ha,0.32,0.63,0.94
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0,0,Mixed,50% RD (125 plants/m²),75% RD (18.75 plants/m²),50% RD (125 plants/m²),75% RD (18.75 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",1.36,2.07,0.5,0.66,t/ha,0.5,0.66,1.16
