paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
005_Li_1999_Interspecific_complementary_and_competitiv,5,5,direct_llm,Li 1999 Interspecific complementary and competitive interactions between intercropped maize and faba bean,1997,,Split-plot with three replicates,16 April 1997,27 March 1997,20 September 1997,25 July 1997,,37.05,104.4,Asia,Zea mays,Vicia faba,cereal,legume,0,0,Strip,6.75,7.64,10.12,22.95,,225,225,150,75,225,kg N ha-1,3,3,3,3,Table 1,23622,10870,27338,14222,kg ha-1,,,1.23
005_Li_1999_Interspecific_complementary_and_competitiv,5,5,direct_llm,Li 1999 Interspecific complementary and competitive interactions between intercropped maize and faba bean,1997,,Split-plot with three replicates,16 April 1997,27 March 1997,20 September 1997,25 July 1997,,37.05,104.4,Asia,Zea mays,Vicia faba,cereal,legume,0,0,Strip,6.75,7.64,10.12,22.95,,225,225,150,75,225,kg N ha-1,3,3,3,3,Table 1,30799,10914,33031,15976,kg ha-1,,,1.21
005_Li_1999_Interspecific_complementary_and_competitiv,5,5,direct_llm,Li 1999 Interspecific complementary and competitive interactions between intercropped maize and faba bean,1997,,Split-plot with three replicates,16 April 1997,27 March 1997,20 September 1997,25 July 1997,,37.05,104.4,Asia,Zea mays,Vicia faba,cereal,legume,0,0,Strip,6.75,7.64,10.12,22.95,,225,225,150,75,225,kg N ha-1,3,3,3,3,Table 2,8282,5259,8928,6508,kg ha-1,,,1.23
005_Li_1999_Interspecific_complementary_and_competitiv,5,5,direct_llm,Li 1999 Interspecific complementary and competitive interactions between intercropped maize and faba bean,1997,,Split-plot with three replicates,16 April 1997,27 March 1997,20 September 1997,25 July 1997,,37.05,104.4,Asia,Zea mays,Vicia faba,cereal,legume,0,0,Strip,6.75,7.64,10.12,22.95,,225,225,150,75,225,kg N ha-1,3,3,3,3,Table 2,9284,5012,10886,8202,kg ha-1,,,1.21
005_Li_1999_Interspecific_complementary_and_competitiv,5,5,direct_llm,Li 1999 Interspecific complementary and competitive interactions between intercropped maize and faba bean,1997,,Split-plot with three replicates,25 March 1997,27 March 1997,5 July 1997,25 July 1997,,37.05,104.4,Asia,Pisum sativum,Vicia faba,legume,legume,0,0,Strip,56,22.95,56,22.95,,225,225,112.5,112.5,225,kg N ha-1,3,3,3,3,Table 3,8571,10914,8358,9543,kg ha-1,,,0.93
005_Li_1999_Interspecific_complementary_and_competitiv,5,5,direct_llm,Li 1999 Interspecific complementary and competitive interactions between intercropped maize and faba bean,1997,,Split-plot with three replicates,25 March 1997,27 March 1997,5 July 1997,25 July 1997,,37.05,104.4,Asia,Pisum sativum,Vicia faba,legume,legume,0,0,Strip,56,22.95,56,22.95,,225,225,112.5,112.5,225,kg N ha-1,3,3,3,3,Table 3,3776,5012,4013,4784,kg ha-1,,,1.01
005_Li_1999_Interspecific_complementary_and_competitiv,5,5,direct_llm,Li 1999 Interspecific complementary and competitive interactions between intercropped maize and faba bean,1997,,Split-plot with three replicates,16 April 1997,27 March 1997,20 September 1997,25 July 1997,,37.05,104.4,Asia,Zea mays,Vicia faba,cereal,legume,0,0,Strip,6.75,7.64,10.12,22.95,,225,225,150,75,225,kg N ha-1,3,3,3,3,Table 6,,,2432,525.7,g m-2,,,1.06
005_Li_1999_Interspecific_complementary_and_competitiv,5,5,direct_llm,Li 1999 Interspecific complementary and competitive interactions between intercropped maize and faba bean,1997,,Split-plot with three replicates,16 April 1997,27 March 1997,20 September 1997,25 July 1997,,37.05,104.4,Asia,Zea mays,Vicia faba,cereal,legume,0,0,Strip,6.75,7.64,10.12,22.95,,225,225,150,75,225,kg N ha-1,3,3,3,3,Table 6,,,2592,555.5,g m-2,,,1.12
005_Li_1999_Interspecific_complementary_and_competitiv,5,5,direct_llm,Li 1999 Interspecific complementary and competitive interactions between intercropped maize and faba bean,1997,,Split-plot with three replicates,16 April 1997,27 March 1997,20 September 1997,25 July 1997,,37.05,104.4,Asia,Zea mays,Vicia faba,cereal,legume,0,0,Strip,6.75,7.64,10.12,22.95,,225,225,150,75,225,kg N ha-1,3,3,3,3,Table 6,,,2659,646.9,g m-2,,,1.21
005_Li_1999_Interspecific_complementary_and_competitiv,5,5,direct_llm,Li 1999 Interspecific complementary and competitive interactions between intercropped maize and faba bean,1997,,Split-plot with three replicates,16 April 1997,27 March 1997,20 September 1997,25 July 1997,,37.05,104.4,Asia,Zea mays,Vicia faba,cereal,legume,0,0,Strip,6.75,7.64,10.12,22.95,,225,225,150,75,225,kg N ha-1,3,3,3,3,Table 7,,,,,,,,1.19
