paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997,,Randomized Complete Block Design,16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.0256,86.0533,Asia,Triticum aestivum,Cicer arietinum,cereal,legume,0,0,Row,,,,,,60,20,40,13.33,53.33,kg N ha-1,3,3,3,3,Table 1,1911,,,,kg ha-1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997,,Randomized Complete Block Design,16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.0256,86.0533,Asia,Triticum aestivum,Cicer arietinum,cereal,legume,0,0,Row,,,,,,60,20,40,13.33,53.33,kg N ha-1,3,3,3,3,Table 1,1667,,,,kg ha-1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997,,Randomized Complete Block Design,16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.0256,86.0533,Asia,Triticum aestivum,Cicer arietinum,cereal,legume,0,0,Row,,,,,,60,20,40,13.33,53.33,kg N ha-1,3,3,3,3,Table 1,2783,,,,kg ha-1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997,,Randomized Complete Block Design,16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.0256,86.0533,Asia,Triticum aestivum,Cicer arietinum,cereal,legume,0,0,Row,,,,,,60,20,40,13.33,53.33,kg N ha-1,3,3,3,3,Table 1,2478,,,,kg ha-1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997,,Randomized Complete Block Design,16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.0256,86.0533,Asia,Triticum aestivum,Cicer arietinum,cereal,legume,0,0,Row,,,,,,60,20,40,13.33,53.33,kg N ha-1,3,3,3,3,Table 1,3057,,,,kg ha-1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997,,Randomized Complete Block Design,16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.0256,86.0533,Asia,Triticum aestivum,Cicer arietinum,cereal,legume,0,0,Row,,,,,,60,20,40,13.33,53.33,kg N ha-1,3,3,3,3,Table 1,2679,,,,kg ha-1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997,,Randomized Complete Block Design,16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.0256,86.0533,Asia,Triticum aestivum,Cicer arietinum,cereal,legume,0,0,Row,,,,,,60,20,40,13.33,53.33,kg N ha-1,3,3,3,3,Table 1,,504,,,kg ha-1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997,,Randomized Complete Block Design,16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.0256,86.0533,Asia,Triticum aestivum,Cicer arietinum,cereal,legume,0,0,Row,,,,,,60,20,40,13.33,53.33,kg N ha-1,3,3,3,3,Table 1,,584,,,kg ha-1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997,,Randomized Complete Block Design,16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.0256,86.0533,Asia,Triticum aestivum,Cicer arietinum,cereal,legume,0,0,Row,,,,,,60,20,40,13.33,53.33,kg N ha-1,3,3,3,3,Table 1,,833,,,kg ha-1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997,,Randomized Complete Block Design,16 November 1997,16 November 1997,8 April 1997,12 April 1997,,24.0256,86.0533,Asia,Triticum aestivum,Cicer arietinum,cereal,legume,0,0,Row,,,,,,60,20,40,13.33,53.33,kg N ha-1,3,3,3,3,Table 1,,958,,,kg ha-1,,,
