paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,mas,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2001,3 growing seasons (2001–2003),Randomized Complete Block Design (RCBD),"June 21, 2001","June 21, 2001","November 20, 2001","November 20, 2001",,9.05,38.5,Africa,Barley (Hordeum vulgare L.),Faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,125 kg ha-1,25 kg ha-1,125 kg ha-1,200 kg ha-1,,41,18,41,41,41,kg N ha-1,4,4,4,4,Table 3,2396,2521,2237,312,kg ha-1,0.93,0.12,1.05
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,mas,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2001,3 growing seasons (2001–2003),Randomized Complete Block Design (RCBD),"June 21, 2001","June 21, 2001","November 20, 2001","November 20, 2001",,9.05,38.5,Africa,Barley (Hordeum vulgare L.),Faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,125 kg ha-1,50 kg ha-1,125 kg ha-1,200 kg ha-1,,41,18,41,41,41,kg N ha-1,4,4,4,4,Table 3,2396,2521,2036,576,kg ha-1,0.85,0.23,1.08
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,mas,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2001,3 growing seasons (2001–2003),Randomized Complete Block Design (RCBD),"June 21, 2001","June 21, 2001","November 20, 2001","November 20, 2001",,9.05,38.5,Africa,Barley (Hordeum vulgare L.),Faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,125 kg ha-1,75 kg ha-1,125 kg ha-1,200 kg ha-1,,41,18,41,41,41,kg N ha-1,4,4,4,4,Table 3,2396,2521,2042,945,kg ha-1,0.85,0.38,1.23
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,mas,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2001,3 growing seasons (2001–2003),Randomized Complete Block Design (RCBD),"June 21, 2001","June 21, 2001","November 20, 2001","November 20, 2001",,9.05,38.5,Africa,Barley (Hordeum vulgare L.),Faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,125 kg ha-1,100 kg ha-1,125 kg ha-1,200 kg ha-1,,41,18,41,41,41,kg N ha-1,4,4,4,4,Table 3,2396,2521,1831,1023,kg ha-1,0.76,0.41,1.17
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,mas,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2001,3 growing seasons (2001–2003),Randomized Complete Block Design (RCBD),"June 21, 2001","June 21, 2001","November 20, 2001","November 20, 2001",,9.05,38.5,Africa,Barley (Hordeum vulgare L.),Faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,125 kg ha-1,125 kg ha-1,125 kg ha-1,200 kg ha-1,,41,18,41,41,41,kg N ha-1,4,4,4,4,Table 3,2396,2521,1762,1203,kg ha-1,0.73,0.48,1.21
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,mas,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2002,3 growing seasons (2001–2003),Randomized Complete Block Design (RCBD),"June 22, 2002","June 22, 2002","November 14, 2002","November 14, 2002",,9.05,38.5,Africa,Barley (Hordeum vulgare L.),Faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,125 kg ha-1,25 kg ha-1,125 kg ha-1,200 kg ha-1,,41,18,41,41,41,kg N ha-1,4,4,4,4,Table 3,2396,2521,2237,312,kg ha-1,0.93,0.12,1.05
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,mas,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2002,3 growing seasons (2001–2003),Randomized Complete Block Design (RCBD),"June 22, 2002","June 22, 2002","November 14, 2002","November 14, 2002",,9.05,38.5,Africa,Barley (Hordeum vulgare L.),Faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,125 kg ha-1,50 kg ha-1,125 kg ha-1,200 kg ha-1,,41,18,41,41,41,kg N ha-1,4,4,4,4,Table 3,2396,2521,2036,576,kg ha-1,0.85,0.23,1.08
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,mas,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2002,3 growing seasons (2001–2003),Randomized Complete Block Design (RCBD),"June 22, 2002","June 22, 2002","November 14, 2002","November 14, 2002",,9.05,38.5,Africa,Barley (Hordeum vulgare L.),Faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,125 kg ha-1,75 kg ha-1,125 kg ha-1,200 kg ha-1,,41,18,41,41,41,kg N ha-1,4,4,4,4,Table 3,2396,2521,2042,945,kg ha-1,0.85,0.38,1.23
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,mas,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2002,3 growing seasons (2001–2003),Randomized Complete Block Design (RCBD),"June 22, 2002","June 22, 2002","November 14, 2002","November 14, 2002",,9.05,38.5,Africa,Barley (Hordeum vulgare L.),Faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,125 kg ha-1,100 kg ha-1,125 kg ha-1,200 kg ha-1,,41,18,41,41,41,kg N ha-1,4,4,4,4,Table 3,2396,2521,1831,1023,kg ha-1,0.76,0.41,1.17
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,mas,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2002,3 growing seasons (2001–2003),Randomized Complete Block Design (RCBD),"June 22, 2002","June 22, 2002","November 14, 2002","November 14, 2002",,9.05,38.5,Africa,Barley (Hordeum vulgare L.),Faba bean (Vicia faba L.),cereal,legume,0,0,Mixed,125 kg ha-1,125 kg ha-1,125 kg ha-1,200 kg ha-1,,41,18,41,41,41,kg N ha-1,4,4,4,4,Table 3,2396,2521,1762,1203,kg ha-1,0.73,0.48,1.21
