paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
025_Olasantan_et_al_1994_Effects_of_itnercropping_and_,25,25,direct_llm,Olasantan et al 1994 Effects of itnercropping and fertilizer application on weed control and performance,1989,,Randomized Complete Block Design (RCBD),11 May 1989,11 May 1989,,,,7.3,3.54,Africa,Cassava,Maize,root crop,cereal,0,0,Row,10000,40000,10000,40000,,0,0,0,0,0,kg N ha-1,3,3,3,3,Table 4,15.1,,10.9,1.9,t/ha,,,1.1
025_Olasantan_et_al_1994_Effects_of_itnercropping_and_,25,25,direct_llm,Olasantan et al 1994 Effects of itnercropping and fertilizer application on weed control and performance,1989,,Randomized Complete Block Design (RCBD),11 May 1989,11 May 1989,,,,7.3,3.54,Africa,Cassava,Maize,root crop,cereal,0,0,Row,10000,40000,10000,40000,,30,60,80,0,80,kg N ha-1,3,3,3,3,Table 4,21.3,,15.2,2.7,t/ha,,,1.54
025_Olasantan_et_al_1994_Effects_of_itnercropping_and_,25,25,direct_llm,Olasantan et al 1994 Effects of itnercropping and fertilizer application on weed control and performance,1989,,Randomized Complete Block Design (RCBD),11 May 1989,11 May 1989,,,,7.3,3.54,Africa,Cassava,Maize,root crop,cereal,0,0,Row,10000,40000,10000,40000,,30,60,80,0,80,kg N ha-1,3,3,3,3,Table 4,21.3,,17.0,2.8,t/ha,,,1.67
025_Olasantan_et_al_1994_Effects_of_itnercropping_and_,25,25,direct_llm,Olasantan et al 1994 Effects of itnercropping and fertilizer application on weed control and performance,1989,,Randomized Complete Block Design (RCBD),11 May 1989,11 May 1989,,,,7.3,3.54,Africa,Cassava,Maize,root crop,cereal,0,0,Row,10000,40000,10000,40000,,30,60,0,0,0,kg N ha-1,3,3,3,3,Table 4,21.3,,13.1,2.2,t/ha,,,1.29
025_Olasantan_et_al_1994_Effects_of_itnercropping_and_,25,25,direct_llm,Olasantan et al 1994 Effects of itnercropping and fertilizer application on weed control and performance,1989,,Randomized Complete Block Design (RCBD),11 May 1989,11 May 1989,,,,7.3,3.54,Africa,Cassava,Maize,root crop,cereal,0,0,Row,10000,40000,10000,40000,,30,60,60,0,60,kg N ha-1,3,3,3,3,Table 4,21.3,,15.6,2.9,t/ha,,,1.62
025_Olasantan_et_al_1994_Effects_of_itnercropping_and_,25,25,direct_llm,Olasantan et al 1994 Effects of itnercropping and fertilizer application on weed control and performance,1989,,Randomized Complete Block Design (RCBD),11 May 1989,11 May 1989,,,,7.3,3.54,Africa,Cassava,Maize,root crop,cereal,0,0,Row,10000,40000,10000,40000,,0,60,0,0,0,kg N ha-1,3,3,3,3,Table 4,,2.1,10.9,1.9,t/ha,,,1.1
025_Olasantan_et_al_1994_Effects_of_itnercropping_and_,25,25,direct_llm,Olasantan et al 1994 Effects of itnercropping and fertilizer application on weed control and performance,1989,,Randomized Complete Block Design (RCBD),11 May 1989,11 May 1989,,,,7.3,3.54,Africa,Cassava,Maize,root crop,cereal,0,0,Row,10000,40000,10000,40000,,30,60,80,0,80,kg N ha-1,3,3,3,3,Table 4,,3.3,15.2,2.7,t/ha,,,1.54
025_Olasantan_et_al_1994_Effects_of_itnercropping_and_,25,25,direct_llm,Olasantan et al 1994 Effects of itnercropping and fertilizer application on weed control and performance,1989,,Randomized Complete Block Design (RCBD),11 May 1989,11 May 1989,,,,7.3,3.54,Africa,Cassava,Maize,root crop,cereal,0,0,Row,10000,40000,10000,40000,,30,60,80,0,80,kg N ha-1,3,3,3,3,Table 4,,3.3,17.0,2.8,t/ha,,,1.67
025_Olasantan_et_al_1994_Effects_of_itnercropping_and_,25,25,direct_llm,Olasantan et al 1994 Effects of itnercropping and fertilizer application on weed control and performance,1989,,Randomized Complete Block Design (RCBD),11 May 1989,11 May 1989,,,,7.3,3.54,Africa,Cassava,Maize,root crop,cereal,0,0,Row,10000,40000,10000,40000,,30,60,0,0,0,kg N ha-1,3,3,3,3,Table 4,,3.3,13.1,2.2,t/ha,,,1.29
025_Olasantan_et_al_1994_Effects_of_itnercropping_and_,25,25,direct_llm,Olasantan et al 1994 Effects of itnercropping and fertilizer application on weed control and performance,1989,,Randomized Complete Block Design (RCBD),11 May 1989,11 May 1989,,,,7.3,3.54,Africa,Cassava,Maize,root crop,cereal,0,0,Row,10000,40000,10000,40000,,30,60,60,0,60,kg N ha-1,3,3,3,3,Table 4,,3.3,15.6,2.9,t/ha,,,1.62
025_Olasantan_et_al_1994_Effects_of_itnercropping_and_,25,25,direct_llm,Olasantan et al 1994 Effects of itnercropping and fertilizer application on weed control and performance,1990,,Randomized Complete Block Design (RCBD),30 May 1990,30 May 1990,,,,7.3,3.54,Africa,Cassava,Maize,root crop,cereal,0,0,Row,10000,40000,10000,40000,,0,0,0,0,0,kg N ha-1,3,3,3,3,Table 4,14.4,,9.8,1.4,t/ha,,,1.14
025_Olasantan_et_al_1994_Effects_of_itnercropping_and_,25,25,direct_llm,Olasantan et al 1994 Effects of itnercropping and fertilizer application on weed control and performance,1990,,Randomized Complete Block Design (RCBD),30 May 1990,30 May 1990,,,,7.3,3.54,Africa,Cassava,Maize,root crop,cereal,0,0,Row,10000,40000,10000,40000,,30,60,80,0,80,kg N ha-1,3,3,3,3,Table 4,17.6,,13.1,2.1,t/ha,,,1.64
025_Olasantan_et_al_1994_Effects_of_itnercropping_and_,25,25,direct_llm,Olasantan et al 1994 Effects of itnercropping and fertilizer application on weed control and performance,1990,,Randomized Complete Block Design (RCBD),30 May 1990,30 May 1990,,,,7.3,3.54,Africa,Cassava,Maize,root crop,cereal,0,0,Row,10000,40000,10000,40000,,30,60,80,0,80,kg N ha-1,3,3,3,3,Table 4,17.6,,13.5,2.2,t/ha,,,1.69
025_Olasantan_et_al_1994_Effects_of_itnercropping_and_,25,25,direct_llm,Olasantan et al 1994 Effects of itnercropping and fertilizer application on weed control and performance,1990,,Randomized Complete Block Design (RCBD),30 May 1990,30 May 1990,,,,7.3,3.54,Africa,Cassava,Maize,root crop,cereal,0,0,Row,10000,40000,10000,40000,,30,60,0,0,0,kg N ha-1,3,3,3,3,Table 4,17.6,,10.1,1.7,t/ha,,,1.28
