paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,direct_llm,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2002,,Randomized Complete Block Design (RCBD),4 November 2001,26 April 2002,,,,36.1167,116.3667,Asia,Triticum aestivum,Gossypium hirsutum,cereal,oilseed,0,0,Strip,,4.2,5.0,5.1,,,,,,,,4,4,4,4,Table 3,761,115.2,552,60.4,g m-2,,,1.25
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,direct_llm,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2002,,Randomized Complete Block Design (RCBD),4 November 2001,26 April 2002,,,,36.1167,116.3667,Asia,Triticum aestivum,Gossypium hirsutum,cereal,oilseed,0,0,Strip,,6.8,5.0,5.1,,,,,,,,4,4,4,4,Table 3,761,115.2,500,66.0,g m-2,,,1.23
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,direct_llm,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2002,,Randomized Complete Block Design (RCBD),4 November 2001,26 April 2002,,,,36.1167,116.3667,Asia,Triticum aestivum,Gossypium hirsutum,cereal,oilseed,0,0,Strip,,6.0,5.0,5.1,,,,,,,,4,4,4,4,Table 3,761,115.2,476,77.4,g m-2,,,1.3
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,direct_llm,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2002,,Randomized Complete Block Design (RCBD),4 November 2001,26 April 2002,,,,36.1167,116.3667,Asia,Triticum aestivum,Gossypium hirsutum,cereal,oilseed,0,0,Strip,,4.3,5.0,5.1,,,,,,,,4,4,4,4,Table 3,761,115.2,514,60.9,g m-2,,,1.2
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,direct_llm,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2003,,Randomized Complete Block Design (RCBD),2 November 2002,25 April 2003,,,,36.1167,116.3667,Asia,Triticum aestivum,Gossypium hirsutum,cereal,oilseed,0,0,Strip,509,5.2,712,6.7,,,,,,,,4,4,4,4,Table 3,521,93.3,416,57.4,g m-2,,,1.46
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,direct_llm,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2003,,Randomized Complete Block Design (RCBD),2 November 2002,25 April 2003,,,,36.1167,116.3667,Asia,Triticum aestivum,Gossypium hirsutum,cereal,oilseed,0,0,Strip,378,7.6,712,6.7,,,,,,,,4,4,4,4,Table 3,521,93.3,362,67.0,g m-2,,,1.41
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,direct_llm,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2003,,Randomized Complete Block Design (RCBD),2 November 2002,25 April 2003,,,,36.1167,116.3667,Asia,Triticum aestivum,Gossypium hirsutum,cereal,oilseed,0,0,Strip,452,6.4,712,6.7,,,,,,,,4,4,4,4,Table 3,521,93.3,392,58.1,g m-2,,,1.4
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,direct_llm,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2003,,Randomized Complete Block Design (RCBD),2 November 2002,25 April 2003,,,,36.1167,116.3667,Asia,Triticum aestivum,Gossypium hirsutum,cereal,oilseed,0,0,Strip,431,4.4,712,6.7,,,,,,,,4,4,4,4,Table 3,521,93.3,395,49.2,g m-2,,,1.3
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,direct_llm,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2004,,Randomized Complete Block Design (RCBD),3 November 2003,25 April 2004,,,,36.1167,116.3667,Asia,Triticum aestivum,Gossypium hirsutum,cereal,oilseed,0,0,Strip,540,5.3,738,6.6,,,,,,,,4,4,4,4,Table 3,683,117.0,585,69.5,g m-2,,,1.46
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,direct_llm,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2004,,Randomized Complete Block Design (RCBD),3 November 2003,25 April 2004,,,,36.1167,116.3667,Asia,Triticum aestivum,Gossypium hirsutum,cereal,oilseed,0,0,Strip,472,8.1,738,6.6,,,,,,,,4,4,4,4,Table 3,683,117.0,513,90.2,g m-2,,,1.53
