paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
030_Carruthers_et_al_2000_Intercropping_corn_with_soyb,30,30,mas,"Carruthers et al 2000 Intercropping corn with soybean, lupin and forages",1993,"2 growing seasons (1993, 1994)",Randomized Complete Block Design (RCBD),Mid May 1993,Mid May 1993,October 1993,October 1993,,,,North America,Corn (Zea mays L.),Soybean (Glycine max L.),cereal,legume,1,0,Row,80 000 plants ha-1,250 000 plants ha-1,80 000 plants ha-1,250 000 plants ha-1,,180 kg N ha-1,0,90 kg N ha-1,0,90,kg N ha-1,4,4,4,4,Table 5,7994,1662,7880,69,kg ha-1,,,1.09
030_Carruthers_et_al_2000_Intercropping_corn_with_soyb,30,30,mas,"Carruthers et al 2000 Intercropping corn with soybean, lupin and forages",1993,"2 growing seasons (1993, 1994)",Randomized Complete Block Design (RCBD),Mid May 1993,Mid May 1993,October 1993,October 1993,,,,North America,Corn (Zea mays L.),Lupin (Lupinus albus L.),cereal,legume,1,0,Row,80 000 plants ha-1,250 000 plants ha-1,80 000 plants ha-1,250 000 plants ha-1,,180 kg N ha-1,0,90 kg N ha-1,0,90,kg N ha-1,4,4,4,4,Table 5,7994,1591,7424,0,kg ha-1,,,1.0
030_Carruthers_et_al_2000_Intercropping_corn_with_soyb,30,30,mas,"Carruthers et al 2000 Intercropping corn with soybean, lupin and forages",1993,"2 growing seasons (1993, 1994)",Randomized Complete Block Design (RCBD),Mid May 1993,Mid May 1993,October 1993,October 1993,,,,North America,Corn (Zea mays L.),Soybean (Glycine max L.),cereal,legume,1,0,Row,80 000 plants ha-1,250 000 plants ha-1,80 000 plants ha-1,250 000 plants ha-1,,180 kg N ha-1,0,90 kg N ha-1,0,90,kg N ha-1,4,4,4,4,Table 6,7892,1769,8184,70,kg ha-1,,,1.11
030_Carruthers_et_al_2000_Intercropping_corn_with_soyb,30,30,mas,"Carruthers et al 2000 Intercropping corn with soybean, lupin and forages",1993,"2 growing seasons (1993, 1994)",Randomized Complete Block Design (RCBD),Mid May 1993,Mid May 1993,October 1993,October 1993,,,,North America,Corn (Zea mays L.),Lupin (Lupinus albus L.),cereal,legume,1,0,Row,80 000 plants ha-1,250 000 plants ha-1,80 000 plants ha-1,250 000 plants ha-1,,180 kg N ha-1,0,90 kg N ha-1,0,90,kg N ha-1,4,4,4,4,Table 6,7892,3257,8486,0,kg ha-1,,,1.18
030_Carruthers_et_al_2000_Intercropping_corn_with_soyb,30,30,mas,"Carruthers et al 2000 Intercropping corn with soybean, lupin and forages",1994,"2 growing seasons (1993, 1994)",Randomized Complete Block Design (RCBD),Mid May 1994,Mid May 1994,October 1994,October 1994,,,,North America,Corn (Zea mays L.),Soybean (Glycine max L.),cereal,legume,1,0,Row,80 000 plants ha-1,250 000 plants ha-1,80 000 plants ha-1,250 000 plants ha-1,,180 kg N ha-1,0,90 kg N ha-1,0,90,kg N ha-1,4,4,4,4,Table 7,6861,2059.6,3749,1329.5,kg ha-1,,,1.25
030_Carruthers_et_al_2000_Intercropping_corn_with_soyb,30,30,mas,"Carruthers et al 2000 Intercropping corn with soybean, lupin and forages",1994,"2 growing seasons (1993, 1994)",Randomized Complete Block Design (RCBD),Mid May 1994,Mid May 1994,October 1994,October 1994,,,,North America,Corn (Zea mays L.),Lupin (Lupinus albus L.),cereal,legume,1,0,Row,80 000 plants ha-1,250 000 plants ha-1,80 000 plants ha-1,250 000 plants ha-1,,180 kg N ha-1,0,90 kg N ha-1,0,90,kg N ha-1,4,4,4,4,Table 7,6861,664.3,2947,7.6,kg ha-1,,,0.46
030_Carruthers_et_al_2000_Intercropping_corn_with_soyb,30,30,mas,"Carruthers et al 2000 Intercropping corn with soybean, lupin and forages",1994,"2 growing seasons (1993, 1994)",Randomized Complete Block Design (RCBD),Mid May 1994,Mid May 1994,October 1994,October 1994,,,,North America,Corn (Zea mays L.),Soybean (Glycine max L.),cereal,legume,1,0,Row,80 000 plants ha-1,250 000 plants ha-1,80 000 plants ha-1,250 000 plants ha-1,,180 kg N ha-1,0,90 kg N ha-1,0,90,kg N ha-1,4,4,4,4,Table 8,8645,3161.3,7267,465.7,kg ha-1,,,1.0
030_Carruthers_et_al_2000_Intercropping_corn_with_soyb,30,30,mas,"Carruthers et al 2000 Intercropping corn with soybean, lupin and forages",1994,"2 growing seasons (1993, 1994)",Randomized Complete Block Design (RCBD),Mid May 1994,Mid May 1994,October 1994,October 1994,,,,North America,Corn (Zea mays L.),Lupin (Lupinus albus L.),cereal,legume,1,0,Row,80 000 plants ha-1,250 000 plants ha-1,80 000 plants ha-1,250 000 plants ha-1,,180 kg N ha-1,0,90 kg N ha-1,0,90,kg N ha-1,4,4,4,4,Table 8,8645,1223.6,6733,43.2,kg ha-1,,,0.84
030_Carruthers_et_al_2000_Intercropping_corn_with_soyb,30,30,mas,"Carruthers et al 2000 Intercropping corn with soybean, lupin and forages",1993,"2 growing seasons (1993, 1994)",Randomized Complete Block Design (RCBD),Mid May 1993,Mid May 1993,October 1993,October 1993,,,,North America,Corn (Zea mays L.),Soybean (Glycine max L.),cereal,legume,1,0,Row,80 000 plants ha-1,250 000 plants ha-1,80 000 plants ha-1,250 000 plants ha-1,,180 kg N ha-1,0,90 kg N ha-1,0,90,kg N ha-1,4,4,4,4,Table 9,8924,1379.4,2902,336.5,kg ha-1,,,0.58
030_Carruthers_et_al_2000_Intercropping_corn_with_soyb,30,30,mas,"Carruthers et al 2000 Intercropping corn with soybean, lupin and forages",1993,"2 growing seasons (1993, 1994)",Randomized Complete Block Design (RCBD),Mid May 1993,Mid May 1993,October 1993,October 1993,,,,North America,Corn (Zea mays L.),Lupin (Lupinus albus L.),cereal,legume,1,0,Row,80 000 plants ha-1,250 000 plants ha-1,80 000 plants ha-1,250 000 plants ha-1,,180 kg N ha-1,0,90 kg N ha-1,0,90,kg N ha-1,4,4,4,4,Table 9,8924,694.0,2846,239.5,kg ha-1,,,0.89
