paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,21 August 2001,21 August 2001,,55.67,12.18,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Row,43,134,86,267,,,,,,,,4,4,4,4,Table 2,490,339,455,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,21 August 2001,21 August 2001,,55.67,12.18,Europe,Vicia faba,Hordeum vulgare,legume,cereal,0,0,Row,19,,37,,,,,,,,,4,4,4,4,Table 2,347,339,394,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,21 August 2001,21 August 2001,,55.67,12.18,Europe,Lupinus angustifolius,Hordeum vulgare,legume,cereal,0,0,Row,55,,109,,,,,,,,,4,4,4,4,Table 2,416,339,337,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,23 August 2001,23 August 2001,,54.54,9.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Row,55,148,107,275,,,,,,,,4,4,4,4,Table 2,268,211,231,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,23 August 2001,23 August 2001,,54.54,9.08,Europe,Vicia faba,Hordeum vulgare,legume,cereal,0,0,Row,25,,47,,,,,,,,,4,4,4,4,Table 2,132,211,207,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,23 August 2001,23 August 2001,,54.54,9.08,Europe,Lupinus angustifolius,Hordeum vulgare,legume,cereal,0,0,Row,79,,135,,,,,,,,,4,4,4,4,Table 2,269,211,220,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,21 August 2001,21 August 2001,,55.67,12.18,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Row,43,134,86,267,,,50,,,,kg N ha-1,4,4,4,4,Table 2,490,430,455,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,21 August 2001,21 August 2001,,55.67,12.18,Europe,Vicia faba,Hordeum vulgare,legume,cereal,0,0,Row,19,,37,,,,50,,,,kg N ha-1,4,4,4,4,Table 2,347,430,394,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,21 August 2001,21 August 2001,,55.67,12.18,Europe,Lupinus angustifolius,Hordeum vulgare,legume,cereal,0,0,Row,55,,109,,,,50,,,,kg N ha-1,4,4,4,4,Table 2,416,430,337,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,23 August 2001,23 August 2001,,54.54,9.08,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Row,55,148,107,275,,,50,,,,kg N ha-1,4,4,4,4,Table 2,268,253,231,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,23 August 2001,23 August 2001,,54.54,9.08,Europe,Vicia faba,Hordeum vulgare,legume,cereal,0,0,Row,25,,47,,,,50,,,,kg N ha-1,4,4,4,4,Table 2,132,253,207,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,23 August 2001,23 August 2001,,54.54,9.08,Europe,Lupinus angustifolius,Hordeum vulgare,legume,cereal,0,0,Row,79,,135,,,,50,,,,kg N ha-1,4,4,4,4,Table 2,269,253,220,,g/m2,,,
